text,label
"Hoy el entrenamiento estuvo durísimo, terminé agotado.",1
Me frustró no bajar mi tiempo en la carrera.,1
Mañana tengo partido y ya ando un poco nervioso.,1
Traigo las piernas bien cansadas después de entrenar.,1
"No jugué como esperaba, pero toca seguir practicando.",1
El entrenador nos exigió muchísimo hoy.,1
Últimamente siento que me cuesta mejorar mi resistencia.,1
Necesito entrenar más si quiero quedar en el equipo titular.,1
Hoy fallé varios tiros y eso me dejó pensando.,1
Qué pesada estuvo la sesión de gimnasio 😅,1
Estoy regresando después de una lesión leve y todavía me siento lento.,1
El partido estuvo muy intenso y terminé sin energía.,1
Me cuesta combinar los entrenamientos con la universidad.,1
Perdimos el torneo por pocos puntos.,1
Hoy la natación me dejó completamente cansado.,1
No logré completar todas las repeticiones en el gimnasio.,1
El coach corrigió mucho mi técnica y tengo bastante por mejorar.,1
Estoy aprendiendo tenis y todavía fallo muchos golpes.,1
El viento hizo más difícil el entrenamiento de ciclismo.,1
Me preocupa un poco la competencia del fin de semana.,1
Hoy sentí que no rendí igual que otros días.,1
Se me cargaron los músculos después de correr tantos kilómetros.,1
El entrenamiento de artes marciales estuvo más pesado de lo normal.,1
Me faltó concentración en el segundo tiempo.,1
Ya quiero recuperarme para volver a entrenar al cien.,1
Hoy el equipo no logró coordinarse muy bien.,1
Estoy intentando mejorar mi saque en voleibol.,1
Corrí más lento de lo que esperaba.,1
Qué difícil fue terminar la última serie de ejercicios.,1
Entre el trabajo y el deporte casi no tengo tiempo para descansar.,1
Hoy sí terminé rendido después del entrenamiento.,1
Me costó seguir el ritmo del grupo en la rodada.,1
El entrenador cambió la rutina y estuvo bastante intensa.,1
"Perdimos el partido, pero al menos dimos pelea hasta el final.",1
"Estoy practicando mi técnica, aunque todavía me equivoco bastante.",1
Hoy me dolieron un poco las piernas después del ejercicio.,1
Necesito mejorar mi condición física para aguantar todo el partido.,1
Me ganó la presión en los últimos minutos del juego.,1
"Estoy algo cansado, pero mañana vuelvo a entrenar.",1
El rival fue muy fuerte y nos costó seguirle el paso.,1
Hoy la clase de spinning estuvo pesadísima.,1
"Quería romper mi marca personal, pero será para la próxima.",1
El calentamiento ya me dejó sin aire 😂,1
Estoy retomando el ejercicio después de unas semanas y sí cuesta.,1
Nos faltó comunicación dentro de la cancha.,1
"El entrenador dijo que vamos mejorando, aunque falta trabajo.",1
Hoy terminé con los brazos bien cansados de tanto nadar.,1
Espero llegar en buena forma a la competencia.,1
"Cada entrenamiento me deja cansado, pero siento que voy avanzando poco a poco.",1
Esta semana ha estado pesada con tantos entrenamientos seguidos.,1
"El entrenamiento de hoy me liquidó por completo, no podía ni levantar las piernas en las pasadas finales",1
"Me da mucha bronca haber errado ese penal en el último minuto, perdimos el pase a la final por mi culpa",1
"Siento que estoy re estancado con los pesos del gimnasio, hace un mes que no logro subirle kilos a la barra",1
"Tengo los gemelos que me laten del dolor después de correr los 15k, apenas puedo pisar",1
Ando con un nudo en la garganta de los puros nervios por el torneo de taekwondo de este fin de semana,1
"No jugué a nada en el partido de hoy, me sentí pesado en la cancha y llegué tarde a todas las pelotas",1
Me frustra un montón no bajar mi marca en los 100 metros libres por más que nade cuatro días a la semana,1
El profe de básquet me sacó en el segundo cuarto por desconcentrarme en defensa y me quedé re caliente,1
Tengo el hombro medio cargado del saque de tenis y me da miedo forzarlo antes del interclubes,1
Qué impotencia romperte el lomo entrenando todo el mes para quedar afuera en la primera ronda del torneo,1
"Se me complicó con los horarios del trabajo y falté tres días seguidos al box, siento que perdí el ritmo",1
"Terminé el fondo de ciclismo con calambres en los dos cuádriceps, el viento en contra me liquidó la cabeza",1
Me cuesta horrores volver a tomar confianza para saltar después del esguince de tobillo que tuve el mes pasado,1
"El preparador físico nos mató con las series de resistencia bajo el sol, salí con la vista nublada",1
Me tiene re preocupado no llegar en peso a la categoría para el pesaje del viernes en judo,1
Qué bronca cuando el árbitro te condiciona todo el partido con faltas inventadas y te saca de foco,1
Siento que por más que practique la técnica del revés no me sale natural y termino regalando puntos fáciles,1
Ando con una contractura tremenda en la espalda baja por tirar sentadilla pesada sin faja,1
