text,label
"Ya no soporto más este dolor, quiero que termine todo.",3
"Creo que todos estarían mejor sin mí en sus vidas.",3
"Esta noche voy a hacerlo, ya no puedo seguir así.",3
"Solo quiero que el sufrimiento se acabe de una vez.",3
"Estoy listo para irme, ya no tengo fuerzas para nada.",3
"Me duele tanto existir que prefiero no hacerlo.",3
"Ya tomé mi decisión, solo espero que me perdonen.",3
"No veo ninguna salida, ya no queda nada por hacer.",3
"El mundo será un lugar mejor sin mi presencia.",3
"Quiero dormir y no despertar nunca más.",3
"Ya no hay nada que me ate a esta vida.",3
"Siento que ya cumplí mi ciclo, es hora de irme.",3
"Por favor, no intenten detenerme, ya es tarde.",3
"Mi mente solo piensa en cómo terminar con todo esto.",3
"Estoy cansado de fingir que todo está bien cuando no es así.",3
"El dolor es tan grande que ya no puedo con él.",3
"Ya no quiero ser una carga para nadie.",3
"Todo lo que toco se desmorona, mejor me voy.",3
"Solo quiero paz, y sé que no la encontraré aquí.",3
"He perdido toda esperanza de que las cosas mejoren.",3
"Ya no tiene sentido seguir luchando contra esto.",3
"Esta noche me iré para siempre, lo siento.",3
"No encuentro razones para seguir existiendo.",3
"Mi vida se ha vuelto insoportable, necesito que acabe.",3
"Sé que esto lastimará a algunos, pero ya no puedo más.",3
"El vacío me consume y no veo otra salida.",3
"Quiero dejar de sentir este dolor que no se va.",3
"Ya no sirvo para nada, mejor me retiro de todo.",3
"El sufrimiento diario es demasiado para mí.",3
"Creo que ha llegado el momento de decir adiós.",3
"No puedo seguir viviendo con esta angustia constante.",3
"Mi existencia solo causa problemas, mejor me voy.",3
"El silencio me llama y quiero ir hacia él.",3
"Ya no aguanto esta presión, necesito que pare.",3
"Toda mi vida ha sido un fracaso, no merezco seguir.",3
"Quiero desconectarme de todo para siempre.",3
"El dolor emocional es peor que cualquier otro.",3
"No tengo ganas de seguir intentando, ya fue suficiente.",3
"Mi corazón está tan cansado que quiere dejar de latir.",3
"Todo esto ya no tiene sentido para mí.",3
"Me voy porque sé que es lo mejor para todos.",3
"La oscuridad me envuelve y ya no quiero luchar.",3
"No veo futuro, solo un vacío sin fin.",3
"Ya he sufrido bastante, es hora de descansar.",3
"Sé que no volveré, pero al menos dejaré de sufrir.",3
"Mi mente ya no da para más, necesito salir de aquí.",3
"La vida me ha vencido, ya no puedo seguir peleando.",3
"Quiero encontrar la paz que no tengo en este mundo.",3
"Ya no hay vuelta atrás, todo está decidido.",3
"Me voy porque el dolor es más fuerte que yo.",3
"Ya no encuentro razones para seguir respirando un día más.",3
"Esta noche voy a ponerle fin a todo este sufrimiento.",3
"Sé que no soy suficiente para nadie, mejor me retiro.",3
"El mundo seguirá girando sin mí, eso me da tranquilidad.",3
"Mi cabeza no para de decirme que ya es hora de irme.",3
"Quiero cerrar los ojos y que todo se apague para siempre.",3
"No soporto la idea de despertar otra vez mañana.",3
"Por favor, no me busquen, ya tomé mi decisión.",3
"El dolor es tan intenso que no veo otra alternativa.",3
"Creo que finalmente entendí que no hay solución.",3
"Mi vida no vale la pena seguir viviéndola.",3
"Ya no quiero ser un problema para nadie más.",3
"La única paz que puedo encontrar es en el descanso eterno.",3
"Estoy tan agotado de fingir que quiero seguir aquí.",3
"Ya no importa nada, todo ha perdido su sentido.",3
"Mis fuerzas se agotaron, no puedo continuar.",3
"Quiero soltar todo y no tener que cargar más.",3
"El sufrimiento ha sido mi única compañía, y ya es suficiente.",3
"Sé que esto duele, pero es la única salida que veo.",3
"Mi mente está hecha un caos y no encuentro calma.",3
"Ya no quiero sentir nada, ni dolor, ni alegría, nada.",3
"Todo lo que construí se derrumbó, no queda nada.",3
"El vacío me devora y ya no tengo fuerzas para luchar.",3
"Creo que es momento de cerrar este capítulo para siempre.",3
"No hay razón para seguir despertando cada mañana.",3
"El peso de la vida se ha vuelto insoportable.",3
"Mi alma está tan cansada que quiere descansar.",3
"No encuentro ninguna luz al final de este túnel.",3
"Las palabras de aliento ya no me llegan, todo es en vano.",3
"El silencio me llama y quiero ir con él.",3
"Ya no tengo esperanza, ni siquiera la más pequeña.",3
"Mi vida ha sido una cadena de fracasos, ya es suficiente.",3
"Quiero dejar de ser una carga para quienes quiero.",3
"El dolor se ha vuelto parte de mí y ya no lo soporto.",3
"Nunca voy a poder salir de esta oscuridad.",3
"Mis noches son eternas y mis días insoportables.",3
"No quiero que me recuerden, solo quiero irme.",3
"El futuro no me ofrece nada, solo más dolor.",3
"Ya no puedo sostener esta máscara ni un día más.",3
"Todo se ha vuelto irrelevante, no hay razones para quedarme.",3
"La tristeza me ha consumido por completo.",3
"Mi existencia no tiene propósito, mejor me voy.",3
"El cansancio de vivir es más fuerte que yo.",3
"Quiero encontrar la paz que este mundo no me da.",3
"Ya no importa lo que pase, nada cambiará mi decisión.",3
"El dolor de mi corazón no se calma con nada.",3
"Mi mente me dice que esta es la única salida.",3
"El mundo será mejor sin mí, eso lo sé.",3
"Ya no puedo seguir así, no hay vuelta atrás.",3
"La noche me espera y quiero perderme en ella.",3
"Me rindo, ya no tengo fuerzas para seguir luchando.",3
"El dolor es tan grande que no encuentro otra salida.",3
"Mi vida ha perdido todo sentido, no merece la pena.",3
"Esta noche quiero dormir y no despertar jamás.",3
"Los demás estarían más tranquilos si yo no estuviera.",3
"No soporto la idea de tener que levantarme mañana.",3
"He perdido la batalla, ya no queda nada por hacer.",3
"Quiero que todo esto termine, no puedo más.",3
"Mi mente me dice que esta es la única solución.",3
"El sufrimiento es insoportable, ya no aguanto.",3
"Creo que es hora de decir adiós para siempre.",3
"No encuentro ninguna razón para seguir adelante.",3
"Mi corazón está tan roto que no puede repararse.",3
"El vacío me consume y no veo ninguna luz.",3
"Ya no quiero ser un peso para nadie más.",3
"La desesperanza se ha apoderado de mí por completo.",3
"Estoy listo para dejar de existir, ya fue suficiente.",3
"Nada de lo que intento funciona, todo es en vano.",3
"Quiero desaparecer y que nadie me recuerde.",3
"El cansancio de vivir es más grande que yo.",3
"Ya no hay nada que pueda salvar esta situación.",3
"Mi alma está tan herida que no puede sanar.",3
"La vida me ha derrotado, ya no puedo levantarme.",3
"Quiero que este dolor termine de una vez.",3
"No hay esperanza para mí, eso lo sé muy bien.",3
"Todo lo que toco se convierte en sufrimiento.",3
"Ya no quiero seguir fingiendo que todo está bien.",3
"El abismo me llama y quiero responderle.",3
"Nunca voy a encontrar paz en este mundo.",3
"Mi existencia solo trae problemas a los demás.",3
"Ya no tengo ganas de intentarlo ni una vez más.",3
"La oscuridad es mi única compañera fiel.",3
"Quiero dormir y que el sueño sea eterno.",3
"Ya no hay vuelta atrás, mi decisión está tomada.",3
"El dolor es demasiado fuerte para seguir soportándolo.",3
"No quiero despertar, prefiero quedarme dormido.",3
"Siento que nada ni nadie puede ayudarme ya.",3
"Mi vida no tiene valor, mejor me retiro.",3
"Quiero que todo se acabe, no puedo más.",3
"El sufrimiento me ha consumido por completo.",3
"Ya no veo ningún futuro para mí.",3
"Mi corazón está tan cansado que quiere parar.",3
"Quiero irme a un lugar donde no haya dolor.",3
"No hay salida, todo está perdido para siempre.",3
"La vida me ha quitado todo, ya no queda nada.",3
"Quiero que el silencio me envuelva y no salga.",3
"Ya no creo que las cosas puedan mejorar.",3
"Mi mente está en un lugar muy oscuro.",3
"No quiero ser una molestia para nadie más.",3
"El dolor me ha vencido, ya no puedo luchar.",3
"Siento que ya no hay nada que pueda salvarme de esto.",3
"Mis pensamientos solo giran en torno a dejar de existir.",3
"El dolor es tan insoportable que prefiero no seguir.",3
"Ya no encuentro sentido a nada, todo es en vano.",3
"He decidido que esta noche será la última.",3
"Todos estarían más en paz si yo no estuviera aquí.",3
"Mi mente ya no da para más, estoy completamente agotado.",3
"No quiero seguir siendo un estorbo para nadie.",3
"El sufrimiento es tan grande que no puedo soportarlo más.",3
"Creo que ya es hora de dejar este mundo atrás.",3
"No hay ninguna razón para que siga aquí.",3
"Mi corazón está tan pesado que no puede latir más.",3
"Ya no tengo fuerzas ni para llorar, solo para irme.",3
"El abismo me llama y no puedo resistirme.",3
"Toda mi vida ha sido un error, mejor terminar con esto.",3
