text,label
Llevo semanas intentando avanzar con este proyecto y siento que mi cabeza ya no da para más.,2
Últimamente me cuesta muchísimo concentrarme cuando programo.,2
"Antes disfrutaba escribir código, ahora todo se siente agotador.",2
Paso horas viendo la pantalla y casi no avanzo con el desarrollo.,2
Cada bug nuevo me deja más cansado que el anterior.,2
Siento que mi rendimiento programando ha bajado muchísimo desde hace meses.,2
Llevo semanas atorado con el mismo módulo y ya me cuesta pensar con claridad.,2
Desde hace tiempo tardo el doble en resolver problemas que antes hacía rápido.,2
Me está costando abrir el editor porque ya asocio programar con puro desgaste.,2
Los code reviews me generan una tensión constante desde hace meses.,2
Estoy tan agotado que releo el mismo bloque de código varias veces sin entenderlo.,2
Cada sprint termino completamente drenado y nunca alcanzo a recuperarme.,2
El proyecto en producción me tiene con estrés todos los días y ya afecta cómo trabajo.,2
Llevo meses durmiendo mal por pensar en los pendientes del desarrollo.,2
Me cuesta muchísimo enfocarme cuando intento depurar errores.,2
Desde hace semanas siento que cualquier tarea de programación me rebasa.,2
Mi productividad cayó porque ya no logro mantener la concentración.,2
Estoy emocionalmente agotado de perseguir bugs que nunca terminan.,2
Cada nueva tecnología que tengo que aprender se siente imposible con el cansancio que traigo.,2
Trabajo como freelance y llevo meses sintiéndome completamente saturado de proyectos.,2
"Antes resolvía problemas con calma, ahora me bloqueo con cosas básicas.",2
La presión por entregar software ya me acompaña incluso cuando cierro la laptop.,2
Últimamente me cuesta hasta escribir funciones sencillas sin distraerme.,2
Paso tantas horas frente al monitor que termino sin energía para cualquier otra cosa.,2
Desde hace tiempo siento que programo en automático y aun así avanzo muy poco.,2
Estoy tan cansado mentalmente que cometo errores que antes jamás cometía.,2
Los cambios de último momento me están desgastando desde hace semanas.,2
Cada vez me cuesta más trabajo empezar una nueva tarea en el backlog.,2
Llevo meses sintiendo que nunca termino realmente el trabajo pendiente.,2
Mi confianza al programar ha bajado porque últimamente todo me cuesta demasiado.,2
Estoy tan saturado que abrir el IDE ya me provoca una sensación de agotamiento.,2
Cada incidente en producción me deja todavía más desgastado que el anterior.,2
El estrés acumulado ya está afectando cómo escribo código todos los días.,2
Me cuesta seguir el ritmo del equipo porque ya no logro concentrarme igual.,2
Desde hace semanas siento que cualquier ticket me toma muchísimo más tiempo.,2
Trabajo con React todo el día y ya no logro mantener la atención por mucho tiempo.,2
Los despliegues me tienen con una preocupación constante desde hace meses.,2
Estoy agotado de revisar logs durante horas sin encontrar la causa del problema.,2
Cada jornada termino tan cansado que al día siguiente vuelvo a empezar igual de mal.,2
Llevo demasiado tiempo sintiendo que mi cabeza ya no responde igual cuando programo.,2
Ni siquiera los fines de semana logro descansar porque sigo pensando en el proyecto.,2
Desde hace meses el desarrollo del sistema me consume toda la energía.,2
Me está costando aprender el nuevo framework porque ya vengo muy desgastado mentalmente.,2
Cada reunión técnica me deja todavía más saturado de lo que ya estaba.,2
Estoy tardando muchísimo en terminar tareas simples porque mi concentración desapareció.,2
La cantidad de pendientes me tiene completamente bloqueado desde hace varias semanas.,2
Últimamente revisar código ajeno me agota más de lo normal y pierdo el enfoque muy rápido.,2
Siento que llevo meses sobreviviendo a las entregas en lugar de disfrutar programar.,2
Mi desempeño como desarrollador ha bajado porque el agotamiento ya es constante.,2
"Programar sigue siendo mi trabajo, pero desde hace mucho tiempo cada día me cuesta muchísimo más hacerlo.",2
"Llevo semanas mirando la terminal en blanco sin poder tirar una sola línea coherente, me da pánico que descubran que ya no rindo",2
"El síndrome del impostor me está destrozando hace meses, siento que engañé a todos y que no sirvo para programar",2
"Abro el editor de código a la mañana y me da una taquicardia tremenda, no puedo concentrarme ni cinco minutos seguidos",2
"Hace dos meses que no duermo bien pensando en los errores del backend, me despierto sobresaltado creyendo que se cayó producción",2
Ayer me largué a llorar frente a la pantalla porque me pasé ocho horas trabado en un bug básico que antes resolvía en minutos,2
"Siento que la cabeza se me quemó por completo, antes me encantaba desarrollar y ahora abrir un repo me produce una angustia horrible",2
"Vengo arrastrando un burnout silencioso hace medio año, hago git commit por pura obligación pero mi código es un desastre",2
Me aterra que me toque hablar en la daily meeting porque llevo tres días seguidos sin avanzar absolutamente nada en mis tareas 😔,2
"Llevo un mes sintiendo náuseas cada vez que veo comentarios nuevos en mi pull request, la crítica constante me destruyó el autoestima",2
"El estrés acumulado por los sprints me está provocando migrañas crónicas, ya no tengo energía para razonar la lógica del sistema",2
"Miro las estructuras de datos y no logro entenderlas, siento como si mi cerebro hubiera perdido la capacidad de abstracción",2
"Hace semanas que funciono en piloto automático, me siento una cáscara vacía tecleando cosas sin sentido para fingir actividad",2
Me aislé de toda la comunidad dev y de mis amigos porque me da vergüenza profunda admitir que este framework me sobrepasó,2
Tengo el cuerpo lleno de contracturas y las manos temblorosas de la tensión que acumulo depurando código día tras día,2
"Llego al final del día con una sensación de fracaso permanente, siento que por más tutoriales que mire nunca voy a estar a la altura",2
Ayer cometí un error gravísimo en la base de datos por estar con la mente completamente nublada de tanto cansancio,2
"Llevo meses sintiendo que soy el cuello de botella del equipo, esa culpa me carcome por dentro y no me deja ni comer tranquilo",2
"Se me fue toda la pasión por el desarrollo de software, ahora solo siento un vacío enorme y ganas de apagar la computadora para siempre",2
"Paso tardes enteras scrolleando en Stack Overflow sin retener nada, tengo la concentración totalmente pulverizada hace semanas",2
"Cada notificación de error en la consola me detona una crisis de angustia en el pecho, no tolero más esta presión psicológica",2
Hace dos meses que vengo postergando la refactorización porque el solo hecho de clonar el proyecto me paraliza de miedo,2
"Siento una tristeza constante que no se me quita ni los fines de semana, sigo maquinando sobre las fallas de arquitectura en la cama",2
Mi productividad se cayó a pedazos este trimestre y por más que me esfuerzo en madrugar no logro sacar ni un ticket de Jira,2
"Me cuesta horrores hilar dos funciones seguidas, siento que el código espagueti que estoy escribiendo refleja cómo tengo la cabeza",2
"Llevo semanas con insomnio severo, cierro los ojos y veo líneas de código y excepciones que no sé cómo solucionar",2
"El maltrato técnico del líder de proyecto me tiene anulado, voy a trabajar sintiéndome el programador más incompetente del planeta",2
Siento que tiré años estudiando ingeniería para terminar estancado sin entender cómo conectar dos microservicios básicos,2
Me encierro en el baño de la oficina a respirar hondo porque la frustración con la API me deja al borde del colapso,2
Llevo semanas evitando pedir ayuda a los seniors por el pánico atroz a que se den cuenta de lo poco que sé en realidad,2
El agotamiento mental que cargo es tan pesado que tardo tres días en escribir un script que normalmente me tomaba dos horas,2
"Tengo una apatía total hacia mis proyectos personales, dejé todo tirado porque tocar una tecla me genera un rechazo visceral",2
"Siento que la carrera tecnológica me pasó por encima y me dejó totalmente obsoleto, esa desesperación me come la cabeza a diario",2
Ayer me dio un ataque de llanto en medio de un live coding técnico porque la mente se me puso totalmente en blanco,2
"Hace un mes que vivo con el estómago cerrado por la presión de las entregas, ya bajé tres kilos y sigo sin avanzar",2
"Miro el monitor y las letras parecen bailar, no puedo procesar un solo log de errores de tanta fatiga mental acumulada",2
"Siento una opresión en el pecho constante desde que me cambiaron al proyecto legacy, la deuda técnica me está ahogando",2
"No logro recordar conceptos básicos de programación orientada a objetos que dominaba hace meses, la memoria me está fallando feo",2
Llevo semanas fingiendo que entiendo la arquitectura del sistema por miedo a que me echen de la empresa,2
Termino cada jornada con los ojos inyectados en sangre y un dolor de cabeza que no cede con ningún analgésico,2
"Siento que estoy defraudando a todos los que confiaron en mí para este desarrollo, la culpa no me deja vivir en paz",2
"Hace semanas que la ansiedad no me deja sentarme en la silla ergonómica, me paro, doy vueltas y no puedo codear nada",2
Me da pánico abrir los canales de soporte de la empresa porque sé que hay bugs míos y me siento completamente acorralado,2
"Llevo dos meses funcionando por pura inercia, entregando parches atados con alambre porque ya no me da la capacidad de pensar",2
Siento un desgano tan profundo que ni siquiera tengo fuerzas para actualizar mis herramientas de trabajo ni el sistema operativo,2
"Ayer borré sin querer una rama entera por culpa del embotamiento mental que tengo, me temblaban las piernas del susto",2
