text,label
"Llevo semanas intentando terminar un libro y siempre me quedo en el mismo capítulo.",2
"Antes leía todas las noches, ahora abro un libro y mi cabeza se va a otro lado.",2
"Hace meses que compro libros con emoción, pero ninguno logro acabar.",2
"Leo el mismo párrafo cinco veces y sigo sin entender qué dice.",2
"Ya no disfruto leer como antes y eso me tiene muy frustrado.",2
"Últimamente cualquier lectura me deja mentalmente agotado.",2
"Me cuesta muchísimo concentrarme cuando intento leer para la universidad.",2
"Desde hace meses siento que perdí el hábito de leer y no logro recuperarlo.",2
"Cada vez que empiezo un libro termino dejándolo a la mitad.",2
"La pila de libros pendientes sigue creciendo y me siento cada vez más abrumado.",2
"Intento leer para distraerme, pero termino pensando en todo menos en el libro.",2
"Ni mi autor favorito consigue mantener mi atención últimamente.",2
"Paso más tiempo viendo la misma página que avanzando en la historia.",2
"Leer era mi momento favorito del día y ahora se siente como otra obligación.",2
"Llevo semanas preparando una lectura importante y simplemente no avanzo.",2
"Me desespera que antes podía leer horas y ahora apenas aguanto unos minutos.",2
"Cada intento de leer termina con la sensación de que no retuve nada.",2
"Estoy tan cansado mentalmente que cualquier libro me parece pesado.",2
"Últimamente abandono todos los libros aunque realmente me interesan.",2
"No sé qué me pasa, pero llevo meses sin poder terminar una novela.",2
"Leer artículos para el trabajo se volvió agotador y después ya no tengo energía para leer por gusto.",2
"Antes devoraba libros, ahora tardo semanas en avanzar unas cuantas páginas.",2
"Me cuesta enfocarme incluso en cuentos cortos.",2
"Desde hace tiempo leer dejó de relajarme y termino más cansado.",2
"Cada noche intento retomar mi libro, pero cierro los ojos sin haber avanzado nada.",2
"Estoy leyendo un libro excelente y aun así siento que no logro disfrutarlo.",2
"Mi comprensión bajó muchísimo, tengo que regresar varias páginas todo el tiempo.",2
"Me frustra no poder concentrarme porque siempre me gustó leer.",2
"Los libros siguen en mi mesa esperando y eso ya lleva meses.",2
"Leo por compromiso porque ya no encuentro la motivación de antes.",2
"Últimamente cualquier lectura académica me sobrepasa y termino bloqueado.",2
"Pensé que cambiar de género ayudaría, pero sigo sin poder engancharme.",2
"Abro el libro con ganas y a los pocos minutos ya estoy completamente distraído.",2
"Me siento agotado cada vez que intento estudiar leyendo.",2
"Desde hace semanas leer requiere un esfuerzo enorme para mí.",2
"Ya ni siquiera puedo disfrutar el club de lectura porque no logro terminar los capítulos.",2
"Me da pena porque todos comentan los libros y yo sigo atorado en las primeras páginas.",2
"Leer antes me calmaba, ahora siento que mi mente nunca descansa.",2
"Estoy tardando el triple en terminar cualquier lectura.",2
"Últimamente hasta los libros cortos se me hacen eternos.",2
"Paso horas con un libro abierto y avanzo muy poco.",2
"No dejo de distraerme cuando intento leer y eso lleva meses pasando.",2
"Me preocupa que mi rendimiento en la maestría bajó porque ya no logro concentrarme leyendo.",2
"Intento hacer anotaciones para entender mejor, pero igual termino agotado.",2
"Extraño cuando podía perderme en una historia, ahora simplemente no conecto.",2
"Desde hace meses siento que leer dejó de ser un descanso y se volvió una carga.",2
"Compré varios libros con mucha ilusión, pero siguen prácticamente nuevos.",2
"Cada sesión de lectura termina dejándome más cansado de lo que empezó.",2
"Ya no logro mantener la atención ni con audiolibros ni con libros físicos.",2
"Me cuesta aceptar que algo que disfrutaba tanto ahora me resulte tan difícil.",2
