text,label
Llevo semanas intentando terminar un libro y siempre me quedo en el mismo capítulo.,2
"Antes leía todas las noches, ahora abro un libro y mi cabeza se va a otro lado.",2
"Hace meses que compro libros con emoción, pero ninguno logro acabar.",2
Leo el mismo párrafo cinco veces y sigo sin entender qué dice.,2
Ya no disfruto leer como antes y eso me tiene muy frustrado.,2
Últimamente cualquier lectura me deja mentalmente agotado.,2
Me cuesta muchísimo concentrarme cuando intento leer para la universidad.,2
Desde hace meses siento que perdí el hábito de leer y no logro recuperarlo.,2
Cada vez que empiezo un libro termino dejándolo a la mitad.,2
La pila de libros pendientes sigue creciendo y me siento cada vez más abrumado.,2
"Intento leer para distraerme, pero termino pensando en todo menos en el libro.",2
Ni mi autor favorito consigue mantener mi atención últimamente.,2
Paso más tiempo viendo la misma página que avanzando en la historia.,2
Leer era mi momento favorito del día y ahora se siente como otra obligación.,2
Llevo semanas preparando una lectura importante y simplemente no avanzo.,2
Me desespera que antes podía leer horas y ahora apenas aguanto unos minutos.,2
Cada intento de leer termina con la sensación de que no retuve nada.,2
Estoy tan cansado mentalmente que cualquier libro me parece pesado.,2
Últimamente abandono todos los libros aunque realmente me interesan.,2
"No sé qué me pasa, pero llevo meses sin poder terminar una novela.",2
Leer artículos para el trabajo se volvió agotador y después ya no tengo energía para leer por gusto.,2
"Antes devoraba libros, ahora tardo semanas en avanzar unas cuantas páginas.",2
Me cuesta enfocarme incluso en cuentos cortos.,2
Desde hace tiempo leer dejó de relajarme y termino más cansado.,2
"Cada noche intento retomar mi libro, pero cierro los ojos sin haber avanzado nada.",2
Estoy leyendo un libro excelente y aun así siento que no logro disfrutarlo.,2
"Mi comprensión bajó muchísimo, tengo que regresar varias páginas todo el tiempo.",2
Me frustra no poder concentrarme porque siempre me gustó leer.,2
Los libros siguen en mi mesa esperando y eso ya lleva meses.,2
Leo por compromiso porque ya no encuentro la motivación de antes.,2
Últimamente cualquier lectura académica me sobrepasa y termino bloqueado.,2
"Pensé que cambiar de género ayudaría, pero sigo sin poder engancharme.",2
Abro el libro con ganas y a los pocos minutos ya estoy completamente distraído.,2
Me siento agotado cada vez que intento estudiar leyendo.,2
Desde hace semanas leer requiere un esfuerzo enorme para mí.,2
Ya ni siquiera puedo disfrutar el club de lectura porque no logro terminar los capítulos.,2
Me da pena porque todos comentan los libros y yo sigo atorado en las primeras páginas.,2
"Leer antes me calmaba, ahora siento que mi mente nunca descansa.",2
Estoy tardando el triple en terminar cualquier lectura.,2
Últimamente hasta los libros cortos se me hacen eternos.,2
Paso horas con un libro abierto y avanzo muy poco.,2
No dejo de distraerme cuando intento leer y eso lleva meses pasando.,2
Me preocupa que mi rendimiento en la maestría bajó porque ya no logro concentrarme leyendo.,2
"Intento hacer anotaciones para entender mejor, pero igual termino agotado.",2
"Extraño cuando podía perderme en una historia, ahora simplemente no conecto.",2
Desde hace meses siento que leer dejó de ser un descanso y se volvió una carga.,2
"Compré varios libros con mucha ilusión, pero siguen prácticamente nuevos.",2
Cada sesión de lectura termina dejándome más cansado de lo que empezó.,2
Ya no logro mantener la atención ni con audiolibros ni con libros físicos.,2
Me cuesta aceptar que algo que disfrutaba tanto ahora me resulte tan difícil.,2
"Llevo tres semanas intentando leer un capítulo para la facu y mi cerebro simplemente no retiene nada, estoy desesperado",2
"Antes leía un libro por semana y ahora llevo meses sin poder pasar de la primera página, me siento súper vacío",2
"Me encierro a leer fantasía para no pensar en mi realidad, pero la angustia es tan fuerte que las letras se me borran",2
"Son las 4 am y sigo mirando fijamente el libro abierto, no duermo hace semanas y el cansancio mental me está destruyendo",2
Tengo la mesa llena de libros pendientes que compré para animarme y verlos ahí juntando polvo solo me genera más culpa 😔,2
"Leo el mismo párrafo veinte veces seguidas y a los dos segundos me olvido de todo, siento que perdí por completo la concentración",2
Traté de retomar mi novela favorita para ver si me sacaba este nudo del pecho y a los diez minutos terminé llorando de impotencia,2
"Llevo un mes sin poder corregir las lecturas de mis alumnos, la apatía que siento es tan grande que me cuesta horrores trabajar",2
Agarro un libro para intentar bajar los decibeles y me empieza a dar taquicardia pensando en todo lo que estoy atrasado,2
"Terminé un libro larguísimo ayer y no sentí absolutamente nada, antes me emocionaba un montón y ahora solo siento indiferencia total",2
"Me paso las tardes sentado con el libro en las manos sin leer ni una palabra, la soledad me tiene la cabeza nublada hace meses",2
"La tesis me quemó la cabeza, veo un paper o un libro académico y me dan náuseas físicas, no sé cómo voy a seguir con esto",2
"Me compré un kindle para motivarme a leer y hace dos meses que lo tengo tirado en el cajón, no tengo energía ni para prenderlo",2
Intento leer de noche para calmar la ansiedad pero la cabeza me va a mil por hora y termino cerrando el libro con más nervios,2
"Mis amigas del club de lectura me preguntan por qué dejé de ir, me da demasiada vergüenza decirles que la depresión no me deja leer",2
"Siento que la lectura me abandonó, era mi único refugio y ahora intentarlo solo me recuerda lo roto que estoy por dentro",2
"Trato de leerle un cuento a mi nene a la noche y se me quiebra la voz de la nada, vengo acumulando una angustia tremenda",2
"El cansancio crónico me liquida, abro un libro y a los cinco minutos se me cierran los ojos de puro agotamiento mental",2
"Leo una frase y mi mente se dispara a maquinar problemas, me paso horas leyendo pero estoy atrapado en mis propios pensamientos",2
"Miro la biblioteca que armé con tanto amor y siento una desconexión total, como si esos libros fueran de una persona que ya no soy",2
"Llevo semanas postergando la lectura obligatoria del seminario, el pánico a fracasar me paraliza y no puedo ni abrir el pdf",2
"Ya no me entusiasman ni los finales felices, leo historias re lindas y sigo sintiendo esta pesadez en el cuerpo que me arrastra",2
"Las palabras parecen moverse en el papel, tengo un estrés tan sostenido que la vista se me nubla cada vez que intento leer",2
"Usaba los libros para evadirme y ahora ni eso me funciona, la realidad me aplasta tanto que no hay historia que me saque de este pozo",2
"Me obligo a leer diez páginas por día para sentir que hago algo, pero termino el capítulo con dolor de cabeza y sin retener nada",2
"Devolví los libros a la biblioteca sin tocarlos, hace un mes que los saqué con ilusión y me los pasé mirando el techo sintiéndome miserable",2
"La cantidad de lecturas de la maestría me sobrepasó, vivo con un nudo en el estómago y ataques de ansiedad al ver los apuntes",2
"Ayer intenté leer poesía que era lo que más me calmaba y lo sentí como si estuviera leyendo las instrucciones del microondas, cero emoción",2
"Llevo dos meses atascado en el mismo capítulo, la frustración de ver que mi cerebro ya no da más me hace llorar de bronca",2
"Me dan temblores en las manos cuando me siento a estudiar los manuales, la ansiedad me tiene el sistema nervioso reventado",2
"Antes leía todas las mañanas con el mate, hace semanas que me levanto tan desganado que a duras penas me preparo algo caliente",2
"Siento que ninguna historia tiene sentido, los libros de autoayuda me parecen una burla para el vacío enorme que siento hace meses",2
Me salí de todos los grupos de lectores de face porque ver a los demás compartir sus lecturas me hunde más en esta apatía insoportable,2
"Leo en voz alta para ver si así me concentro pero escucho mi propia voz y no entiendo el significado de las palabras, estoy colapsado",2
"Uso los audiolibros para tapar el silencio de mi casa, los dejo de fondo todo el día porque mis propios pensamientos me aterrorizan",2
"Haber perdido mis ganas de leer por culpa de este desánimo crónico me dejó sin saber quién soy, era mi personalidad entera",2
Escondí los libros en cajas porque verlos en los estantes me generaba un remordimiento y una ansiedad que me quitaban el aire,2
"Agarré un libro cualquiera en la librería y me largué a llorar en el pasillo, el agotamiento emocional que cargo me hace quebrar por todo",2
"Me regalaron el nuevo libro de mi autor favorito y ni siquiera le saqué el nylon, no tengo fuerzas ni para fingir interés",2
