text,label
"Hoy perdí todas las rankeds, qué mala racha.",1
El lag me hizo fallar el último disparo 😩,1
Necesito practicar más porque sigo cometiendo los mismos errores.,1
Mis compañeros se desconectaron en plena partida.,1
Ese jefe ya me ganó como diez veces seguidas.,1
La actualización cambió todo y todavía no me acostumbro.,1
"Qué mala conexión tuve hoy, casi no podía jugar.",1
Me frustra perder por un pequeño error al final.,1
Ya quiero que arreglen los servidores.,1
Hoy no salió ninguna partida buena.,1
Estoy aprendiendo un personaje nuevo y cuesta bastante.,1
El matchmaking estuvo rarísimo esta noche.,1
"Perdimos por segundos, estuvo muy cerca.",1
"El rival era muchísimo mejor, toca seguir practicando.",1
No entiendo por qué bajaron tanto mi rango.,1
Se bugueó la misión y tuve que empezar otra vez.,1
Entre el trabajo y la escuela casi no tengo tiempo para jugar.,1
Hoy jugué cansado y se notó bastante.,1
El equipo no se coordinó y terminamos perdiendo.,1
"Ya casi paso ese nivel, solo me falta mejorar un poco.",1
Qué difícil está el nuevo evento del juego.,1
El ping estaba por las nubes otra vez.,1
"Perdí la final del torneo, pero estuvo divertida.",1
Estoy intentando mejorar mi puntería todos los días.,1
El parche cambió las armas y ahora siento raro el juego.,1
Me falta aprender mejor los mapas nuevos.,1
Hoy el boss raid estuvo más complicado de lo normal.,1
El coche derrapó justo en la última curva 😅,1
Pensé que iba a ganar y me remontaron al final.,1
Mi internet decidió fallar en la peor partida posible.,1
Estoy algo frustrado porque no logro subir de división.,1
"El tutorial parecía fácil, pero luego todo se complicó.",1
Nos faltó estrategia y por eso perdimos.,1
Hoy tuve demasiados bugs en la partida.,1
"Quiero terminar el pase de batalla, pero voy atrasado.",1
El control ya me anda fallando y eso no ayuda.,1
"El rival hizo una buena jugada, toca aprender de eso.",1
Qué largas se hicieron las colas para encontrar partida.,1
"El evento está bueno, aunque cuesta completar las misiones.",1
"Hoy sí sentí que jugué mejor, aunque igual perdimos.",1
Me desespera cuando alguien abandona la partida a la mitad.,1
Estoy intentando aprender las mecánicas del juego nuevo.,1
Cada actualización cambia algo y otra vez toca adaptarse.,1
Me quedé a un punto de subir de rango.,1
El servidor se cayó justo cuando iba ganando.,1
Creo que necesito descansar un rato y volver después.,1
Nos ganó un equipo muy bien organizado.,1
"Perdí varias seguidas, pero mañana lo intento otra vez.",1
El desafío semanal está más difícil de lo que esperaba.,1
Solo quiero una partida sin lag por favor 😂,1
"Llevo cinco derrotas seguidas en ranked y bajé de división por culpa de gente que trolea, qué bronca",1
"Ese boss de Elden Ring ya me tiene re podrido, estuve dos horas memorizando los patrones y me mata de un golpe",1
El lag de mierda me lagueó justo cuando tiraba la definitiva para ganar la partida lpm 🤦‍♂️,1
Me da mucha impotencia practicar tantas horas con la mira y sentir que en el mano a mano me tiembla el pulso,1
"Los emparejamientos del juego son un asco, me ponen contra gente que no tiene vida y mi team ni compra chaleco",1
"Ando re frustrado porque no logro subir copas en Clash Royale, me cruzo puro mazo counters con niveles al máximo",1
Se cayó la conexión del servidor a dos minutos de terminar la raid y perdimos todo el progreso del cofre,1
"Me tilteó un montón la toxicidad del chat de voz en Valorant, tuve que mutear a todos pero jugar sin info es imposible",1
Tengo el brazo re acalambrado de spamear combos en Street Fighter y no me sale el timing del parry ni de casualidad,1
Qué desgaste cuando le ponés toda la onda a la partida y tenés un compañero que se va afk a la primera muerte,1
Me desespera no tener tiempo libre para jugar al evento de temporada con los chicos por estar tapado de tareas,1
"El último nivel del shooter me tiene con los nervios de punta, no llego a recargar que ya me llueven granadas",1
Se me crasheó el juego justo antes del punto de guardado y tengo que hacerme toda la mazmorra de vuelta 😩,1
No entiendo qué nerfearon en el parche nuevo que mi personaje preferido ahora no le hace daño a nadie,1
Siento la cabeza quemada después de perder la final del torneo semanal por un tiro fallado en el descuento,1
"Me frustra un huevo no poder seguirle el ritmo a mis amigos en Apex, siento que soy el lastre de la squad",1
Le metí cuarenta intentos a la prueba de tiempo en el simulador de carreras y sigo a medio segundo del oro,1
Qué bronca perder tres horas farmeando materiales raros en el server survival para que caiga un clan y me raidee,1
Me da bronca errar tiros regalados con la sniper por ponerme nervioso en las rondas decisivas,1
"El jungla no pisó mi línea en toda la partida y el rival me dejó tres niveles abajo, qué impotencia total",1
"Tengo los ojos rojos de forzar la vista buscando enemigos en el mapa nocturno, me estresó bastante la sesión de hoy",1
"No puedo pasar el tutorial de ese juego de estrategia espacial, tiene mil mecánicas complejas y me abruma",1
Se me desconectó el mando bluetooth en plena pelea clasificatoria y me comí combo completo inmóvil,1
"Qué embole estar en racha perdedora todo el fin de semana, toco un competitivo más y desinstalo el juego",1
Me cuesta horrores coordinar las rotaciones con gente random que no escucha los pings en el minimapa,1
"Me tiene re tenso la clasificatoria de Rocket League, subo a campeón y a las dos partidas caigo de nuevo a diamante",1
La cámara del juego se mueve para cualquier lado en los combates cerrados y me marea un montón,1
Me da impotencia ver cómo le pegás tres tiros limpios en el pecho y el hit registration no le cuenta el daño,1
"Ando re caliente con el juego, fallé un gol abajo del arco solo por apretar dos veces el botón de pase",1
Siento que por más que mire guías y tutoriales en youtube no mejoro el movimiento en el mapa,1
Tengo que aguantarme las ganas de tirar el joystick contra el piso cuando me matan con camperos de esquina,1
Me satura que en cada actualización metan un bug visual nuevo que te baja los fps a 20 de la nada,1
