text,label
"Hoy el entrenamiento estuvo durísimo, terminé agotado.",1
"Me frustró no bajar mi tiempo en la carrera.",1
"Mañana tengo partido y ya ando un poco nervioso.",1
"Traigo las piernas bien cansadas después de entrenar.",1
"No jugué como esperaba, pero toca seguir practicando.",1
"El entrenador nos exigió muchísimo hoy.",1
"Últimamente siento que me cuesta mejorar mi resistencia.",1
"Necesito entrenar más si quiero quedar en el equipo titular.",1
"Hoy fallé varios tiros y eso me dejó pensando.",1
"Qué pesada estuvo la sesión de gimnasio 😅",1
"Estoy regresando después de una lesión leve y todavía me siento lento.",1
"El partido estuvo muy intenso y terminé sin energía.",1
"Me cuesta combinar los entrenamientos con la universidad.",1
"Perdimos el torneo por pocos puntos.",1
"Hoy la natación me dejó completamente cansado.",1
"No logré completar todas las repeticiones en el gimnasio.",1
"El coach corrigió mucho mi técnica y tengo bastante por mejorar.",1
"Estoy aprendiendo tenis y todavía fallo muchos golpes.",1
"El viento hizo más difícil el entrenamiento de ciclismo.",1
"Me preocupa un poco la competencia del fin de semana.",1
"Hoy sentí que no rendí igual que otros días.",1
"Se me cargaron los músculos después de correr tantos kilómetros.",1
"El entrenamiento de artes marciales estuvo más pesado de lo normal.",1
"Me faltó concentración en el segundo tiempo.",1
"Ya quiero recuperarme para volver a entrenar al cien.",1
"Hoy el equipo no logró coordinarse muy bien.",1
"Estoy intentando mejorar mi saque en voleibol.",1
"Corrí más lento de lo que esperaba.",1
"Qué difícil fue terminar la última serie de ejercicios.",1
"Entre el trabajo y el deporte casi no tengo tiempo para descansar.",1
"Hoy sí terminé rendido después del entrenamiento.",1
"Me costó seguir el ritmo del grupo en la rodada.",1
"El entrenador cambió la rutina y estuvo bastante intensa.",1
"Perdimos el partido, pero al menos dimos pelea hasta el final.",1
"Estoy practicando mi técnica, aunque todavía me equivoco bastante.",1
"Hoy me dolieron un poco las piernas después del ejercicio.",1
"Necesito mejorar mi condición física para aguantar todo el partido.",1
"Me ganó la presión en los últimos minutos del juego.",1
"Estoy algo cansado, pero mañana vuelvo a entrenar.",1
"El rival fue muy fuerte y nos costó seguirle el paso.",1
"Hoy la clase de spinning estuvo pesadísima.",1
"Quería romper mi marca personal, pero será para la próxima.",1
"El calentamiento ya me dejó sin aire 😂",1
"Estoy retomando el ejercicio después de unas semanas y sí cuesta.",1
"Nos faltó comunicación dentro de la cancha.",1
"El entrenador dijo que vamos mejorando, aunque falta trabajo.",1
"Hoy terminé con los brazos bien cansados de tanto nadar.",1
"Espero llegar en buena forma a la competencia.",1
"Cada entrenamiento me deja cansado, pero siento que voy avanzando poco a poco.",1
"Esta semana ha estado pesada con tantos entrenamientos seguidos.",1
