text,label
"Hace meses que ya no disfruto dibujar como antes.",2
"Intento retomar mis pasatiempos cada fin de semana y siempre los dejo a medias.",2
"Antes esperaba con emoción mi tiempo libre, ahora ningún hobby logra motivarme.",2
"Llevo semanas tratando de pintar algo y termino dejando el pincel a un lado.",2
"Ni siquiera la fotografía consigue despejarme últimamente.",2
"Cada vez que saco mis materiales para manualidades termino sintiéndome agotado.",2
"Desde hace meses mis hobbies se sienten como otra obligación.",2
"Ya no logro concentrarme cuando intento hacer algo que antes me encantaba.",2
"Me frustra que mis pasatiempos ya no me hagan sentir tranquilo.",2
"Antes podía pasar horas con mi colección, ahora ni ganas me dan de verla.",2
"Últimamente empiezo cualquier proyecto creativo y lo abandono rápido.",2
"Mi guitarra lleva meses guardada porque no encuentro energía para tocar.",2
"Extraño cuando mis hobbies realmente me ayudaban a relajarme.",2
"Intento tejer un rato pero termino más cansado mentalmente.",2
"Llevo semanas sin avanzar en mi maqueta porque simplemente no puedo enfocarme.",2
"Cada vez que intento escribir por gusto siento la mente completamente bloqueada.",2
"Mi jardín necesita atención y aun así no encuentro motivación para cuidarlo.",2
"Antes hacer rompecabezas me relajaba, ahora pierdo la paciencia enseguida.",2
"Ya ni salir a tomar fotos me emociona como antes.",2
"Me cuesta aceptar que hasta mis hobbies dejaron de darme alegría.",2
"Hace meses que compro materiales para pintar y siguen sin usarse.",2
"Intento cocinar recetas nuevas por diversión, pero termino dejándolo porque me siento agotado.",2
"Mi colección de figuras sigue creciendo, pero ya ni disfruto acomodarla.",2
"Últimamente cualquier actividad recreativa me deja sin energía.",2
"Paso más tiempo pensando en empezar mi hobby que realmente haciéndolo.",2
"Cada intento de volver a escribir en mi diario creativo termina igual, abandono a los pocos minutos.",2
"Antes bordar me ayudaba a despejarme, ahora no logro mantener la atención.",2
"Llevo meses sin terminar un solo proyecto personal.",2
"Mis fines de semana ya no se sienten como descanso porque ni mis hobbies disfruto.",2
"Me siento frustrado porque sé que quiero volver a crear, pero algo siempre me detiene.",2
"Ni mis videojuegos favoritos logran hacerme desconectar últimamente.",2
"Cada vez que abro mi cuaderno de dibujo me quedo mirando la hoja en blanco.",2
"Me cuesta muchísimo concentrarme incluso haciendo cosas que antes amaba.",2
"Desde hace semanas siento que perdí toda la creatividad.",2
"Quería volver a tocar el piano, pero después de unos minutos me siento completamente drenado.",2
"Mis plantas siguen ahí, pero ya no tengo ánimo para cuidarlas como antes.",2
"Antes el modelismo era mi escape, ahora se siente pesado.",2
"Me preocupa haber perdido el interés por casi todos mis pasatiempos.",2
"Intento hacer cerámica otra vez, pero abandono la pieza antes de terminarla.",2
"Ya no recuerdo cuándo fue la última vez que disfruté un hobby sin sentirme agotado.",2
"Cada proyecto personal se me hace enorme desde hace meses.",2
"Me cuesta mantener la concentración hasta para armar un rompecabezas pequeño.",2
"Antes esperaba terminar de trabajar para dedicarme a mis hobbies, ahora solo quiero acostarme.",2
"Mi cámara tiene semanas guardada porque simplemente no tengo ganas de salir a fotografiar.",2
"Últimamente siento que hago mis hobbies por costumbre y no porque los disfrute.",2
"Me toma muchísimo esfuerzo empezar cualquier actividad recreativa.",2
"Ni aprender cosas nuevas por gusto logra emocionarme ya.",2
"Cada vez que intento volver a mis pasatiempos termino con más cansancio mental.",2
"Hace meses que mi tiempo libre dejó de sentirse realmente libre.",2
"Quiero recuperar las ganas de disfrutar mis hobbies, pero llevo mucho tiempo sintiéndome igual.",2
