"text",label
"Siento que mi familia estaría mejor si yo ya no estuviera, solo les causo problemas.",3
"Cada discusión en casa me convence más de que no hay salida para mí.",3
"Ojalá mañana no despertara y así dejar de hacer sufrir a mis hijos.",3
"Ya no quiero seguir siendo una carga para mis papás, mejor desaparezco.",3
"Mi esposo me dejó y mis hijos no me necesitan, ya no quiero vivir.",3
"Soy una madre soltera y siento que les arruino la vida a mis niños, ojalá no despertara.",3
"Mis hermanos me odian y mis papás ya no me hablan, ya no tiene sentido seguir.",3
"Cuido a mi mamá enferma y ya no puedo más, solo quiero desaparecer.",3
"Perdí a mi hijo y desde entonces solo quiero estar con él, ya no quiero vivir.",3
"Mi familia me rechaza por ser quien soy, mejor desaparezco para siempre.",3
"Cada vez que mi papá me grita siento que no merezco estar aquí.",3
"Mi hija no quiere verme y siento que todos estarían mejor sin mí.",3
"Soy una carga para mi familia, ya no quiero seguir viviendo.",3
"Mis padres se divorciaron por mi culpa, ya no veo salida.",3
"Mi abuela murió y era lo único que me quería, ya no quiero estar aquí.",3
"Mi familia me ignora y me siento invisible, ojalá no despertara.",3
"Tengo que cuidar a mis hermanos y ya no puedo con esta vida, prefiero desaparecer.",3
"Mi esposa me engañó y mis hijos están confundidos, ya no quiero seguir.",3
"Soy el fracaso de la familia, todos lo dicen, mejor desaparezco.",3
"Cada noche escucho a mis papás pelear y pienso en no despertar.",3
"Mi hijo se fue de casa y siento que ya no tengo razón para vivir.",3
"Mi familia me culpó por la muerte de mi hermano, ya no quiero estar aquí.",3
"Soy una abuela que ya no sirve para nada, ojalá no despertara.",3
"Mis nietos no me visitan y me siento tan sola que ya no quiero vivir.",3
"Mi papá me pegaba y ahora que no está, igual quiero desaparecer.",3
"Mi mamá prefiere a mi hermano y siento que no valgo nada, ya no quiero seguir.",3
"Me divorcié y mis hijos me odian, mejor desaparezco.",3
"Mi familia me dice que soy un estorbo, ya no quiero estar aquí.",3
"Cuido a mi esposo enfermo y ya no tengo fuerzas, solo quiero que todo termine.",3
"Mi hija se mudó lejos y siento que ya no tiene sentido seguir.",3
"Soy una madre adolescente y mi familia me dio la espalda, ojalá no despertara.",3
"Mi padre murió y no pude despedirme, ya no quiero vivir.",3
"Mis suegros me humillan y mi esposo no me defiende, ya no veo salida.",3
"Mi familia está mejor sin mí, se los aseguro, mejor desaparezco.",3
"Cada comida familiar es una tortura, ya no quiero seguir viviendo.",3
"Mi hermano se suicidó y a veces siento que debo hacer lo mismo.",3
"Soy un padre que no puede mantener a sus hijos, ya no merezco vivir.",3
"Mi familia me abandonó en el hospital, ya no quiero estar aquí.",3
"Mis hijos me culpan por todo y siento que soy una carga, prefiero desaparecer.",3
"Mi mamá está enferma y no tengo dinero para ayudarla, ya no quiero seguir.",3
"Mi familia me grita que no sirvo, y cada día lo creo más, ojalá no despertara.",3
"Soy un estorbo para todos en mi casa, ya no quiero vivir.",3
"Mi esposo me dijo que estaría mejor sin mí, y tiene razón, mejor desaparezco.",3
"Mis hijos no me llaman y siento que mi vida no tiene sentido, ya no quiero estar.",3
"Mi familia me usó y luego me tiró, ya no veo ninguna salida.",3
"Cada vez que veo a mi familia feliz sin mí, pienso en desaparecer.",3
"Soy una carga económica para mi familia, ya no quiero seguir viviendo.",3
"Mi padre me dijo que ojalá no hubiera nacido, y a veces lo creo, ya no quiero estar aquí.",3
"Mis hermanos tienen éxito y yo soy el fracaso, mejor desaparezco.",3
"Mi familia estaría mejor sin mí, lo sé, ojalá no despertara mañana.",3
