text,label
Cada error en producción me hace pensar que ya no quiero vivir.,3
Llevo meses intentando sacar este proyecto adelante y siento que ya no vale la pena seguir.,3
Perdí mi trabajo como desarrollador y creo que todos estarían mejor sin mí.,3
Hoy volví a romper el sistema y quisiera desaparecer.,3
"Ya no puedo con los bugs, ojalá mañana no despertara.",3
"Mi equipo confía en mí y siento que los decepcioné, ya no quiero seguir.",3
Después de otro despliegue fallido no veo ninguna salida.,3
"Programar era mi sueño, ahora siento que mi vida ya no tiene sentido.",3
Cada reunión me recuerda que soy un fracaso y quisiera desaparecer.,3
Estoy tan agotado con este código que ya no quiero vivir así.,3
No logro terminar el proyecto y siento que sería mejor no estar aquí.,3
Mi startup se está hundiendo y ya no encuentro motivos para seguir.,3
Todos dependen de mí para arreglar el sistema y siento que estarían mejor sin mí.,3
Cada commit fallido me convence más de que ya no tiene sentido continuar.,3
No puedo abrir el editor sin pensar que quisiera desaparecer.,3
Perdí al cliente más importante y ya no veo salida.,3
"Estoy cansado de fingir que puedo con todo, ya no quiero seguir viviendo.",3
La presión de entregar software me dejó completamente roto.,3
Cada error nuevo hace que desee no despertar mañana.,3
"Mi síndrome del impostor ya me ganó, siento que no vale la pena seguir.",3
Ni siquiera puedo escribir una línea de código sin pensar que todo terminó para mí.,3
Fallé otra entrevista técnica y ya no quiero vivir.,3
Estoy completamente bloqueado y siento que desaparecer sería más fácil.,3
Después de tantas noches sin dormir por este proyecto ya no veo ninguna salida.,3
Mi aplicación volvió a fallar y siento que todos estarían mejor sin mí.,3
Cada sprint me acerca más a pensar que ya no tiene sentido seguir.,3
"No puedo más con las fechas imposibles, ojalá todo acabara.",3
El código se volvió una carga que ya no puedo soportar.,3
Perdí meses desarrollando esto y ahora solo quiero desaparecer.,3
"Me siento un estorbo para el equipo, ya no quiero seguir.",3
Cada vez que revisan mi código siento que mi vida perdió el sentido.,3
"Estoy agotado de intentar solucionar errores, ya no quiero vivir.",3
Mi carrera como programador me dejó sin esperanza.,3
"Ya no tengo fuerzas para abrir la laptop, no veo ninguna salida.",3
Todo el mundo espera que resuelva problemas y siento que soy una carga.,3
Mi proyecto final fracasó y quisiera no despertar.,3
"No importa cuánto estudie programación, siento que nunca seré suficiente y ya no quiero seguir.",3
Después del incidente en producción siento que desaparecer sería un alivio.,3
"Ya no puedo con esta presión constante, siento que no vale la pena vivir.",3
Mi trabajo como desarrollador me consumió por completo.,3
Cada bug crítico me hace pensar que todos estarían mejor sin mí.,3
Estoy tan roto por este empleo que ya no quiero seguir luchando.,3
"El bootcamp terminó y siento que fracasé, ya no veo salida.",3
No logro cumplir con los clientes y quisiera desaparecer.,3
"Me siento completamente derrotado por la programación, ojalá todo terminara.",3
Cada día frente al monitor pienso menos en el código y más en que ya no quiero vivir.,3
Ya abandoné todos mis proyectos porque siento que no tiene sentido seguir.,3
El burnout como desarrollador me dejó sin ganas de existir.,3
Todo empezó con este trabajo programando y ahora siento que no hay salida.,3
Estoy convencido de que el equipo estaría mejor sin mí después de tantos errores.,3
"Borré la base de datos de producción por accidente y arruiné a la empresa, lo mejor es que desaparezca para siempre hoy mismo",3
"Hace meses que no logro entender el código y el síndrome del impostor me consumió, ya no quiero vivir esta farsa, me despido de todos",3
"Otra vez se cayó el servidor por mi culpa, soy un inútil y ojalá me duerma esta noche y no despierte más",3
"Me acaban de despedir de la startup, siento que fracasé como programador y como persona, ya no tiene sentido seguir acá",3
"No puedo pasar ni una prueba técnica, soy una carga para mis papás y creo que estarían mucho mejor sin mí",3
"Llevo tres días sin dormir intentando arreglar este bug, mi cabeza colapsó y la única salida que veo es dejar de existir",3
"Perdí el único cliente freelance que tenía y no puedo pagar el alquiler, siento que despedirme de la vida es lo más fácil ahora",3
"El líder técnico me humilló frente a todo el equipo de desarrollo en la daily, ya no valgo nada y me quiero ir de este mundo",3
"Siento que la programación me robó el alma, ya no tengo fuerzas para seguir escribiendo líneas de código ni para seguir respirando",3
"Me rechazaron de otro bootcamp, ya entendí que no sirvo para esto ni para vivir, adiós",3
"Arruiné el despliegue del viernes y nos costó miles de dólares, no merezco seguir viviendo con esta culpa, perdónenme",3
"Trato de aprender React pero mi cerebro simplemente no da más, soy un retrasado y ya decidí terminar con esta agonía hoy",3
"Renuncié hoy porque el estrés de DevOps me estaba matando, pero ahora me doy cuenta de que la vida entera ya no tiene sentido para mí",3
"Lloro frente al monitor todas las madrugadas, este código es un desastre igual que mi vida y ojalá un accidente me lleve hoy",3
"Mis compañeros de la carrera de software son brillantes y yo no entiendo ni los bucles básicos, no quiero seguir ocupando espacio en el mundo",3
"Trabajo catorce horas al día haciendo frontend y sigo en la miseria, ojalá Dios me lleve pronto porque yo me rindo",3
"Me bloquearon el acceso al repositorio y me avisaron del despido por mail, mi vida se acabó y no pienso seguir aquí",3
"El agotamiento mental de refactorizar este sistema me hizo tocar fondo, les escribo para despedirme porque ya no aguanto un día más",3
"Perdón por haber gastado tanta plata en la carrera de sistemas para nada, les prometo que ya no voy a ser un gasto nunca más",3
"Se me fue toda la pasión por el desarrollo, ahora solo siento un vacío enorme y ganas de apagar mi vida para siempre",3
"No soporto los ataques de pánico antes de cada code review, esta angustia no es vida y ya decidí terminarla hoy mismo",3
"El proyecto fracasó por mi mala arquitectura y dejé a mi equipo tirado, estarían mucho mejor si yo desapareciera de una vez",3
"Siento que mi única utilidad era tirar código y como ya no puedo concentrarme, mi vida no tiene ningún valor",3
"Fui un pésimo desarrollador backend y arruiné todo, les pido perdón pero ya no puedo lidiar con mi propia existencia",3
"Las guardias de soporte las 24 horas me destruyeron por dentro, ya no quiero solucionar problemas de nadie ni seguir con mi vida",3
"Llevo semanas con insomnio por los sprints interminables, cierro los ojos y solo quiero estar muerto para poder descansar en paz",3
"No encuentro trabajo como junior hace dos años, soy un peso inútil en la casa y hoy voy a solucionar eso para siempre",3
"La presión de la entrega del MVP me reventó por dentro, ya tomé la decisión de no seguir en este mundo",3
"Me pasaron por encima para el puesto de senior otra vez, no valgo nada y ojalá me pasara algo para no tener que despertar",3
"El estrés del laburo me consumió la poca cordura que tenía, ya no quiero saber nada más de algoritmos ni de la vida",3
"Trabajo de lunes a lunes codeando para una agencia que me explota y sigo sin plata, ya no veo salida y esto es un adiós",3
"Siento que el rubro IT me masticó y me escupió, perdí toda esperanza y prefiero matarme antes que afrontar otro rechazo",3
Me siento tan miserable en la oficina que rezo para tener un accidente fatal en el camino y no llegar nunca más a programar,3
"Todos avanzan en sus carreras tecnológicas menos yo, soy una decepción total y mi única opción es dejar este mundo",3
"Llevo seis meses intentando crear mi app y no funciona nada, todo mi esfuerzo fue basura y prefiero morir antes que volver a intentar",3
"La deuda técnica de este sistema legacy es igual de asfixiante que mi depresión, ya decidí que esta es mi última noche acá",3
"Fracasé en la universidad y en el trabajo de QA, ya no me quedan motivos para levantarme y lo mejor es dejar de existir",3
"El agotamiento es tan profundo que ya ni siquiera puedo tipear, solo quiero desaparecer de este escritorio y de la vida",3
"Me amenazaron con demandarme por el fallo de seguridad que dejé en la API, estoy aterrorizado y siento que mi única escapatoria es morirme",3
"Siento que soy una farsa andante, todo el código que copio no sirve para tapar lo inútil que soy, adiós para siempre",3
"No puedo mantener a mi familia con los sueldos miserables de freelance, soy un fracaso y lo mejor es que ya no esté",3
"La ansiedad que me da abrir Slack y ver que el sistema está caído me asfixia, siento que la única salida es irme de este mundo",3
"Les di cinco años de mi vida armando el backend y me echan sin indemnización, ya nada tiene sentido y me quiero ir de este mundo",3
"Lloro cada vez que tengo que sentarme en la computadora, la única manera de frenar este dolor crónico es no estando más",3
"El maltrato de los clientes que me cambian los requerimientos a cada rato me apagó por dentro, no tengo fuerzas para seguir viviendo",3
"Mi rendimiento como full-stack está por el piso, la fatiga mental es tan fuerte que ya tomé la decisión de apagar todo para siempre",3
"Me da pánico que mis papás se enteren de que me echaron de la pasantía de software, esa presión me superó y hoy decido acabar con todo",3
"Siento una desconexión total con la realidad, las líneas de código se mezclan con mis ganas de morir y hoy voy a hacerles caso",3
"Me culparon de la caída del sitio en pleno Black Friday, no merezco seguir viviendo con esta vergüenza pública",3
"Terminé mi turno totalmente quebrado por dentro, siento que el código me apagó la luz y mi única paz será la muerte",3
