text,label
"¡Qué feliz me siento hoy! El sol está brillando y tengo energía para todo el día.",0
"Mi equipo de fútbol ganó el partido anoche, fue una victoria emocionante.",0
"Estoy planeando un viaje a la playa con mis amigos para el próximo fin de semana.",0
"Me encanta cocinar nuevas recetas, hoy probé una pasta deliciosa.",0
"Mi perro siempre me recibe con alegría cuando llego a casa, es lo mejor.",0
"El nuevo videojuego que compré tiene gráficos impresionantes y me entretiene mucho.",0
"En la universidad estamos organizando un evento cultural muy interesante.",0
"Mi familia y yo vimos una película cómica anoche y nos reímos mucho.",0
"Estoy aprendiendo a tocar la guitarra y cada día mejoro un poco más.",0
"El café de la mañana con mis compañeros de trabajo es mi momento favorito.",0
"Acabo de terminar un libro de aventuras que me mantuvo enganchado toda la semana.",0
"Mi hermana me enseñó un chiste muy gracioso que no puedo dejar de contar.",0
"Estamos remodelando la sala de casa y está quedando espectacular.",0
"Me encanta hacer senderismo los domingos, la naturaleza me da paz.",0
"Mi mejor amigo y yo estamos planeando un viaje a la montaña para acampar.",0
"En el trabajo nos dieron un reconocimiento por nuestro buen desempeño.",0
"El nuevo teléfono que compré tiene una cámara increíble para tomar fotos.",0
"Estoy disfrutando mucho de mi curso de fotografía digital.",0
"Mi madre preparó mi platillo favorito para celebrar mi cumpleaños.",0
"Con mis amigos jugamos videojuegos todas las noches y nos divertimos mucho.",0
"La música que estoy escuchando tiene un ritmo muy alegre y me hace bailar.",0
"El jardín de mi casa está lleno de flores coloridas, es hermoso.",0
"Estoy organizando una cena con mis compañeros de la universidad.",0
"Mi nueva bicicleta me permite explorar lugares increíbles de la ciudad.",0
"En el cine vi una película de acción que tenía efectos especiales sorprendentes.",0
"Mi gato siempre encuentra los lugares más cómicos para dormir.",0
"Estoy preparando un postre especial para compartir con mi familia.",0
"El proyecto en el que trabajo me apasiona y me da mucha satisfacción.",0
"Mis sobrinos me enseñan cosas nuevas cada vez que los veo.",0
"El concierto al que fui la semana pasada fue una experiencia inolvidable.",0
"Estoy haciendo ejercicio regularmente y me siento con más energía.",0
