text,label
"Ya ni pintar me calma, solo pienso en desaparecer.",3
Dejé mis proyectos de manualidades a medias porque siento que ya no tiene sentido seguir.,3
Mi jardín era mi refugio y ahora ni eso me da ganas de vivir.,3
"Cada foto que tomo me recuerda lo vacío que estoy, ojalá no despertara.",3
Tejía para olvidar y ahora solo quiero que todo termine.,3
"Mi colección de estampillas ya no me emociona, prefiero no estar aquí.",3
Armar maquetas era mi pasión y ahora siento que todos estarían mejor sin mí.,3
"El DIY ya no me distrae, solo quiero desaparecer.",3
"Pinto para no llorar, pero ya no le veo salida a esto.",3
Mis plantas se están muriendo y yo también quiero hacerlo.,3
"La fotografía ya no me hace feliz, solo me dan ganas de no despertar.",3
"Dejé el taller de cerámica porque no puedo con esta ansiedad, mejor desaparezco.",3
"El scrapbook de mi vida ya no tiene páginas, ya no quiero seguir.",3
"Mi hobby era lo único que me mantenía de pie, ahora ni eso funciona.",3
Cada punto que tejo es un pensamiento de que no merezco vivir.,3
La jardinería me consolaba y ahora solo me recuerda lo solo que estoy.,3
Construí un modelo a escala y sentí que mi vida también está a escala de nada.,3
"El coleccionismo ya no me llena, solo quiero que todo acabe.",3
"Pinté un cuadro sobre mi dolor y ahora no puedo ni verlo, ya no quiero estar.",3
Mi cámara está guardada y yo también quiero estarlo para siempre.,3
Dejé de tejer porque cada prenda me recuerda que no valgo nada.,3
El huerto ya no da frutos y yo ya no quiero dar más.,3
"Armar rompecabezas me relajaba y ahora solo me frustra, ya no quiero vivir.",3
La costura era mi escape y ahora solo quiero desaparecer.,3
"Mis manualidades ya no me distraen, solo me dan ganas de no despertar.",3
"El modelismo me apasionaba y ahora siento que soy una carga, mejor desaparezco.",3
"Cada semilla que planto es una esperanza que se muere, ya no quiero seguir.",3
"La pintura ya no me salva, solo quiero que este cuadro termine.",3
"Mi colección de discos ya no me alegra, ya no veo salida.",3
"El bordado me calmaba y ahora solo me da ansiedad, ojalá no despertara.",3
Fotografiar atardeceres me hacía feliz y ahora solo veo oscuridad.,3
"Dejé el club de tejido porque no soporto a nadie, ya no quiero vivir.",3
"Mi proyecto de DIY quedó a medias, igual que mis ganas de seguir.",3
"La acuarela ya no me consuela, solo quiero desaparecer.",3
Cada maqueta que armo me pregunto por qué sigo aquí.,3
