text,label
"la bateria del celular se me va volando, ya no dura nada",0
"por fin volvio el wifi, estuvo caido toda la mañana",0
"me compre un teclado mecanico nuevo, hace bastante ruido pero me gusta",0
"la notebook termino de actualizar, ahora esta todo distinto",0
"me olvide el cargador en casa otra vez",0
"el reloj marco que hice diez mil pasos hoy",0
"los auriculares bluetooth no quieren conectar con el celular",0
"probando el nuevo iphone, la camara se ve bastante mejor",0
"la impresora no anda, capaz hay que cambiar el cartucho",0
"cambiando de proveedor de internet porque el actual es muy lento",0
"le pregunte a chatgpt como resolver un problema de excel",0
"mi mouse dejo de andar, tengo que comprar uno nuevo",0
"actualizando android en la tablet, va bastante lento",0
"probando gemini para ver que tal responde comparado con otras ia",0
"se me lleno el almacenamiento del celular otra vez",0
"cambiando la contraseña del wifi porque nadie se acordaba",0
"mi papa por fin aprendio a usar el whatsapp bien",0
"probando la webcam nueva para las videollamadas",0
"el smart tv se actualizo solo y ahora tiene una interfaz distinta",0
"buscando fundas nuevas para el celular",0
"mi laptop se calienta bastante cuando tengo muchas pestañas abiertas",0
"probando claude para ayudarme a resumir unos textos",0
"se me rompio el cable del cargador, tengo que comprar otro",0
"configurando el nuevo router que llego hoy",0
"el navegador me tira demasiadas notificaciones, hay que desactivarlas",0
"probando el nuevo smartwatch, tiene bastantes funciones",0
"mi celular se reinicio solo, raro pero ya funciona bien",0
"comprando espacio extra en la nube porque se me lleno todo",0
"el monitor nuevo se ve muchisimo mejor que el anterior",0
"buscando como hacer backup de las fotos antes de cambiar de celular",0
"el buscador no me tira los resultados que necesito hoy",0
"probando distintos casos de auriculares para el gimnasio",0
"mi abuela se compro un celular nuevo y le estoy enseñando a usarlo",0
"el mouse inalambrico se quedo sin pilas justo ahora",0
"cambiando el fondo de pantalla de la compu por uno nuevo",0
"probando la app de streaming nueva, tiene bastante contenido",0
"la actualizacion de windows tardo mas de una hora",0
"comprando una funda protectora para la tablet",0
"el celular se me cayo pero por suerte no paso nada",0
"probando distintos buscadores para ver cual anda mejor",0
"configurando el asistente de voz en el parlante nuevo",0
"mi hermano se compro una consola nueva, dice que anda genial",0
"buscando el cargador que combine con el nuevo celular",0
"el internet del vecino se ve mas rapido que el mio jaja",0
"probando el nuevo modelo de auriculares con cancelacion de ruido",0
"cambiando la app de notas porque la anterior se puso lenta",0
"mi papa me pregunto como usar el traductor del celular",0
"el smart tv no reconoce el mando a distancia hoy",0
"probando distintos temas para personalizar el celular",0
"comprando una bateria externa para cuando salgo todo el dia",0
