text,label
"Últimamente siento que nada tiene sentido para mí.",2
"Cada día me cuesta más encontrar fuerzas para seguir con mi rutina.",2
"Ya no disfruto ninguna de las cosas que antes me hacían feliz.",2
"Siento que soy una carga para las personas que me rodean.",2
"Nada mejora aunque pasen los días.",2
"Siento un vacío que no sé cómo llenar, haga lo que haga.",2
"Ya no tengo ganas de ver a nadie, prefiero encerrarme.",2
"Siento que llevo meses solo sobreviviendo el día a día.",2
"Todo me pesa demasiado, hasta las cosas más simples.",2
"Ya no reconozco a la persona en la que me he convertido.",2
"Siento que hago todo mal, aunque me esfuerce.",2
"Cada mañana despierto sin ninguna razón para levantarme con ganas.",2
"Ya nada me emociona como antes, todo se siente igual de gris.",2
"Siento que decepciono a todos a mi alrededor sin importar qué haga.",2
"Llevo tanto tiempo cansado que ya ni recuerdo cómo se siente estar bien.",2
"Siento que perdí el rumbo por completo y no sé cómo volver.",2
"Ya no sé para qué me esfuerzo si de todos modos nada cambia.",2
"Me siento completamente solo, aunque esté rodeado de gente.",2
"Siento que cargo con un peso que nadie más ve.",2
"Ya no encuentro motivos para arreglarme ni para salir de casa.",2
"Todo lo que antes me apasionaba ahora me parece indiferente.",2
"Siento que me estoy apagando poco a poco y no sé cómo pararlo.",2
"Cada esfuerzo que hago se siente inútil, como si nada valiera la pena.",2
"Me siento vacío por dentro, como si ya no quedara nada.",2
"Siento que soy un estorbo para mi familia últimamente.",2
"Ya no tengo energía ni para las cosas más básicas del día.",2
"Siento que estoy atrapado en un ciclo del que no puedo salir.",2
"Nada de lo que hago parece importar, ni a mí ni a nadie.",2
"Me cuesta recordar la última vez que sentí algo parecido a la alegría.",2
"Siento que he perdido el interés en todo lo que antes me llenaba.",2
"Cada día se siente más pesado que el anterior, sin ninguna mejora.",2
"Ya no sé quién soy fuera de todo este cansancio.",2
"Siento que fallo en todo lo que intento hacer.",2
"La culpa no me deja en paz, sin importar cuánto intente dejarla ir.",2
"Siento que ya no tengo nada que ofrecer a nadie.",2
"Me aíslo cada vez más porque ya no tengo energía para socializar.",2
"Todo parece haber perdido su color, incluso las cosas que amaba.",2
"Siento que estoy fallándole a todos los que dependen de mí.",2
"Ya no encuentro sentido a seguir esforzándome tanto.",2
"Me siento agotado emocionalmente, como si ya no tuviera nada dentro.",2
"Siento que nadie entendería lo que traigo por dentro aunque lo contara.",2
"Cada logro se siente vacío, como si no importara realmente.",2
"Ya no sé si algún día voy a sentirme mejor.",2
"Siento que arrastro este peso desde hace demasiado tiempo.",2
"Me siento desconectado de todo y de todos a mi alrededor.",2
"Ya nada me sorprende ni me alegra como antes.",2
"Siento que estoy fallando en todos los aspectos de mi vida.",2
"Cada día despierto con la misma sensación de que nada va a cambiar.",2
"Me siento como si estuviera solo cargando con todo, sin ayuda de nadie.",2
"Siento que perdí las ganas de luchar por las cosas que quería.",2
"Ya no logro sentir entusiasmo por nada, ni por lo que antes amaba.",2
"Ya no sé en qué momento dejé de sentir ganas de hacer las cosas que me gustaban.",2
"Me despierto agotado aunque haya dormido toda la noche, como si el cansancio no fuera del cuerpo.",2
"Siento que actúo en automático, como si ya no estuviera realmente presente en mi vida.",2
"Ya no me sorprende sentirme así, se ha vuelto casi normal para mí.",2
"Siento que le fallo a mi familia sin importar cuánto intente compensarlo.",2
"Cada conversación se siente forzada, como si ya no tuviera nada que aportar.",2
"Me cuesta encontrar una sola razón para sentirme orgulloso de algo últimamente.",2
"Siento que el esfuerzo que pongo en todo se pierde en el vacío.",2
