text,label
Otra vez se trabó mi computadora en el peor momento.,1
La actualización dejó mi laptop mucho más lenta.,1
No entiendo por qué el internet está fallando tanto hoy.,1
Llevo una hora intentando configurar esta impresora.,1
La batería de mi celular ya no dura casi nada.,1
La nube no sincroniza mis archivos y ya me desesperé un poco.,1
Olvidé la contraseña de una cuenta y ahora toca recuperarla.,1
Mi computadora tardó siglos en encender hoy.,1
El WiFi se desconecta a cada rato 😕,1
El sistema empezó a actualizarse justo cuando iba a usarlo.,1
Mi teléfono ya casi no tiene espacio para guardar fotos.,1
"La impresora dice que tiene un error, pero no veo cuál es.",1
Estoy aprendiendo un programa nuevo y todavía me confundo.,1
La videollamada se cortó varias veces por la conexión.,1
El mouse dejó de responder por un momento.,1
Mi disco duro ya casi está lleno.,1
Quería hacer una copia de seguridad y tardó muchísimo.,1
El teclado empezó a fallar en algunas teclas.,1
El navegador consume demasiada memoria.,1
Mi reloj inteligente dejó de sincronizarse con el celular.,1
El cargador hace falso contacto y eso me preocupa un poco.,1
No puedo conectar la computadora al monitor externo.,1
El Bluetooth no encuentra mis audífonos otra vez.,1
Hoy el internet estuvo tan lento que todo tardaba en cargar.,1
La aplicación se cerró sola y perdí lo que estaba haciendo.,1
"Estoy tratando de organizar mis archivos, pero tengo demasiados.",1
La actualización cambió todo de lugar y ahora no encuentro nada.,1
Mi celular se calienta más de lo normal.,1
El escáner no quiere reconocer los documentos.,1
La batería del control remoto se agotó justo cuando lo necesitaba.,1
Se quedó congelada la pantalla y tuve que reiniciar el equipo.,1
No entiendo algunas opciones del nuevo sistema operativo.,1
El módem lleva toda la tarde reiniciándose.,1
Mi tablet ya responde muy lento.,1
"Pensé que la descarga sería rápida, pero sigue al 20%.",1
El correo tarda mucho en sincronizarse.,1
Estoy intentando conectar una cámara web y no la detecta.,1
La actualización ocupó mucho más espacio del que esperaba.,1
Mis notificaciones llegan con bastante retraso.,1
Hoy olvidé llevar el cargador y la batería casi no aguantó.,1
El programa tarda demasiado en abrir archivos grandes.,1
El reconocimiento facial dejó de funcionar después de la actualización.,1
Quería imprimir un documento rápido y la impresora no cooperó.,1
El almacenamiento en la nube dice que ya no tengo espacio.,1
Estoy configurando un dispositivo nuevo y todavía me cuesta entenderlo.,1
El router necesita reiniciarse casi todos los días.,1
El celular empezó a reiniciarse solo un par de veces.,1
Entre tantas actualizaciones ya no sé cuál instalar primero.,1
Hoy pasé más tiempo resolviendo problemas técnicos que usando el equipo.,1
Espero que después de reiniciar todo vuelva a funcionar bien.,1
La actualización del sistema operativo me dejó la compu lentísima y tarda diez minutos en arrancar,1
"Se me cayó el celular al piso y se le astilló toda la pantalla táctil, me quiero matar 🤦‍♂️",1
Qué bronca cuando la impresora se tilda con un atasco de papel fantasma justo antes de imprimir el informe,1
Llevo dos horas tratando de recuperar la contraseña del correo y el mensaje con el código de verificación nunca llega,1
"El wifi se cae cada cinco minutos y me desconecta de las reuniones de trabajo, me saca de quicio",1
"La batería del teléfono no me dura ni cuatro horas seguidas, tengo que vivir enchufado al cargador portátil",1
Se me cerró el programa de edición de fotos de la nada y perdí dos horas de retoques sin guardar,1
Me preocupa no poder sincronizar la copia de seguridad de la nube porque me dice que no hay espacio suficiente,1
"Compré un disco rígido externo y cuando lo enchufo la máquina no lo reconoce, qué dolor de cabeza lpm",1
Qué desesperación cuando el teclado empieza a repetir letras solo y no podés escribir ni una palabra bien,1
Tengo el buzón de notificaciones saturado de alertas de aplicaciones que ni uso y no sé cómo desactivarlas todas,1
Se me bloqueó la cuenta del banco virtual por poner mal el token de seguridad y tengo que ir a la sucursal,1
La tablet que uso para dar clases se quedó congelada en una pantalla negra y no responde a ningún botón,1
Me da mucha rabia comprar un cable usb tipo c carísimo para que a la semana empiece a hacer falso contacto,1
El audio bluetooth de los parlantes tiene un retardo insoportable con respecto a la imagen del video,1
Ando con los nervios de punta porque la máquina virtual no arranca y tengo que testear un software para hoy,1
Se me reinició la computadora sola para instalar parches justo cuando estaba subiendo un archivo pesado 😩,1
"El mouse inalámbrico me pega tirones en el cursor y ya le cambié las pilas dos veces, qué fastidio",1
"Me cuesta horrores entender la interfaz nueva de esta aplicación de gestión, complicaron todo al pedo",1
El micrófono de la notebook mete un zumbido re molesto en las llamadas y mis compañeros se quejan,1
Tengo miedo de que se me haya metido un virus porque me saltan ventanas de publicidad en cualquier navegador,1
Qué impotencia cuando el televisor inteligente se desconecta del wifi y hay que meter la clave de 20 dígitos con el control,1
Se me recalienta la laptop apenas abro dos pestañas pesadas y el ventilador parece una turbina de avión,1
La aplicación del celular se me crashea cada vez que intento adjuntar un comprobante de pago en pdf,1
Me tiene re tenso pensar que perdí todas las fotos familiares del disco viejo que hace un ruido a matraca raro,1
"El escáner me saca los documentos con una raya negra horizontal que cruza todo el texto, no sirve para nada",1
"No puedo configurar el repetidor de señal en el pasillo, sigo las instrucciones del manual y no enlaza",1
Me da mucha bronca que las plataformas obliguen a cambiar la clave cada tres meses con requisitos imposibles,1
El reloj inteligente no me registra bien los pasos ni el sueño desde la última sincronización fallida,1
Se me borraron todas las pestañas que tenía fijadas en el navegador después de un corte de energía brusco,1
Qué desgaste renegar toda la tarde con los drivers de video para que al final sigan tirando pantalla azul,1
El conector de carga del teléfono tiene juego y si no lo pongo en una posición exacta no agarra corriente,1
Me angustia no encontrar un respaldo reciente de mi trabajo antes de mandar a formatear el equipo,1
Tengo que instalar tres certificados digitales distintos para un trámite y el sistema me tira error de compatibilidad,1
La cámara web enfoca borroso de la nada y tengo una entrevista importante por videollamada en media hora,1
"Se me llenó la memoria interna del teléfono y ya no me deja ni recibir audios de whatsapp, qué fastidio",1
Qué bronca cuando ponés a transferir una carpeta enorme y al 99% te tira error de redundancia cíclica,1
El asistente de voz se activa solo a cada rato con cualquier ruido de la tele y me interrumpe lo que hago,1
Me desespera que el navegador me consuma seis gigas de memoria ram teniendo tres pestañas básicas abiertas,1
No me lee la tarjeta de memoria micro sd en la computadora y tengo archivos urgentes que sacar de ahí,1
Se descalibró el lápiz óptico de la tableta gráfica y me dibuja las líneas dos centímetros corridas del cursor,1
Ando con dolor de cabeza de tanto buscar en foros una solución para este error genérico de windows,1
El software contable se puso pesadísimo después del último parche y cada click tarda cinco segundos en responder,1
Me da rabia que me cobren la renovación automática de un servicio digital que pedí cancelar el mes pasado,1
Se me trabó la bandeja de la lectora y no puedo sacar el disco con la copia de segurança,1
Qué fastidio tener que reconfigurar todos los accesos directos porque la actualización me cambió la distribución,1
La pantalla del monitor parpadea cada tanto con líneas verdes y me tiene re preocupado que se esté muriendo,1
No me llegan los correos con archivos adjuntos grandes y el cliente me reclama que no respondo a tiempo,1
Se me desconfiguró la red local de la oficina y no podemos compartir archivos entre las terminales de trabajo,1
"Terminé con la cabeza quemadísima de renegar con el router toda la noche, mañana llamo al servicio técnico",1
