text,label
"Ya ni la música logra calmarme, solo quiero desaparecer.",3
"Cada canción que escucho me recuerda lo vacío que estoy, ya no veo salida.",3
Dejé de tocar la guitarra porque siento que ya no tiene sentido seguir viviendo.,3
"Ojalá no despertara mañana, estoy agotado de fingir que la música me hace feliz.",3
"Siento que todos estarían mejor sin mí, incluso quienes aplaudían mis conciertos.",3
"Soy cantante y perdí la voz, ya no quiero estar aquí.",3
La banda se separó y con ella mis ganas de vivir.,3
"Paso noches enteras escuchando canciones tristes, ya no quiero seguir.",3
"Mi disco no vendió nada y siento que fracasé, mejor desaparezco.",3
"Estudio música y la presión me tiene al borde, ojalá no despertara.",3
El coro era mi vida y ahora ya no quiero cantar ni existir.,3
"Soy DJ y ya no soporto las fiestas, solo quiero desaparecer.",3
"Compuse una canción sobre mi dolor y ahora no puedo ni escucharla, ya no quiero vivir.",3
Perdí mi contrato discográfico y siento que no hay salida.,3
"La música ya no me distrae, solo me da ganas de no estar más.",3
"Mi mejor amigo murió y cada canción me lo recuerda, ya no quiero seguir.",3
"Soy productor y ya no encuentro sentido a nada, ni a las mezclas.",3
"Dejé los ensayos porque no puedo con esta ansiedad, prefiero desaparecer.",3
"Toco en la calle y nadie me da ni una moneda, ya no quiero vivir así.",3
La ópera era mi sueño y ahora solo quiero que todo termine.,3
"Cada nota me recuerda lo solo que estoy, ojalá no despertara.",3
Mi banda me echó y siento que todos estarían mejor sin mí.,3
"Ya no puedo componer, mi mente está en blanco y solo quiero desaparecer.",3
"Escucho la misma canción en loop para no pensar, pero ya no quiero estar aquí.",3
"Soy violinista y el escenario me da pánico, ya no veo salida.",3
La música que amaba ahora me suena a despedida.,3
Perdí la audición y con eso las ganas de seguir viviendo.,3
"Mi familia quería que fuera músico y fracasé, mejor desaparezco.",3
"Canto para no llorar, pero ya no quiero seguir viviendo.",3
"El silencio me pesa más que cualquier canción, ya no quiero despertar.",3
Soy baterista y ya no tengo ritmo ni razones para seguir.,3
"Mis canciones hablaban de esperanza y ahora no me las creo, ya no quiero estar.",3
"La música me salvó una vez, pero ya no es suficiente, prefiero desaparecer.",3
"Dejé de escuchar música porque todo me hace daño, ya no quiero vivir.",3
Mi ídolo musical se suicidó y a veces siento que debo hacer lo mismo.,3
"Soy letrista y ya no encuentro palabras para seguir, ojalá no despertara.",3
"El karaoke ya no me divierte, solo me recuerda lo vacío que estoy.",3
La orquesta se disolvió y siento que mi vida perdió sentido.,3
Cada vez que oigo nuestra canción me dan ganas de desaparecer.,3
"Soy pianista y mis manos ya no quieren tocar, ya no quiero seguir.",3
"La música clásica me consolaba y ahora solo me deprime, ya no veo salida.",3
Mi ex me dedicaba canciones y ahora ya no quiero estar aquí.,3
"El estudio de grabación se cerró y con él mis esperanzas, prefiero no despertar.",3
"Compro discos para llenar el vacío, pero ya no quiero seguir viviendo.",3
La radio solo pasa canciones que me recuerdan que no valgo nada.,3
"Soy compositor y mi obra quedó inconclusa, igual que mis ganas de vivir.",3
"Toco el acordeón para ganarme la vida y ya no aguanto, ojalá no despertara.",3
"La música en vivo me da ansiedad, ya no quiero estar en ningún escenario ni en el mundo.",3
"Mi único consuelo era cantar y ahora ni eso me calma, solo quiero desaparecer.",3
"Escuché una canción que hablaba de rendirse y sentí que era mía, ya no quiero seguir.",3
