text,label
"mama hizo mi comida favorita hoy, que buena sorpresa",0
"vamos a visitar a los abuelos este finde",0
"mi hermano menor no deja de pedirme prestado el cargador",0
"cenamos todos juntos esta noche, hacia rato que no pasaba",0
"papa por fin arreglo el lavarropas",0
"mi primo se casa el mes que viene, ya tengo el regalo pensado",0
"mi abuela me enseño una receta nueva hoy",0
"discutimos por quien lavaba los platos pero ya se soluciono",0
"mi hermana se enoja si le toco sus cosas jaja, siempre igual",0
"armamos videollamada con los tios que viven lejos",0
"ayude a mi papa a acomodar el garage todo el sabado",0
"mi sobrino cumple años la semana que viene, hay que organizar algo",0
"mi mama insiste en que la visite mas seguido, tiene razon la verdad",0
"toda la familia se junto para el asado del domingo",0
"mi abuelo cuenta la misma anecdota en cada reunion, ya me la se de memoria",0
"llevamos al perro de la familia al veterinario hoy",0
"organizando el viaje familiar para las vacaciones de verano",0
"mi hija me pidio ayuda con un proyecto del cole",0
"discutimos sobre que pelicula ver en familia, ganamos los chicos",0
"mi tia siempre trae de mas comida a las reuniones, nunca falta nada",0
"ayudando a mis papas a mudarse de casa este finde",0
"mi hermano y yo armamos el mueble nuevo entre los dos",0
"toda la familia fue a la casa de campo del abuelo",0
"mi mama nos organizo una sorpresa por el aniversario",0
"discutiendo con mi hermana sobre quien usa el auto hoy",0
"mi papa nos conto historias de cuando era chico anoche",0
"armamos el arbol genealogico para un proyecto de mi hija",0
"mi abuela vino a quedarse unos dias con nosotros",0
"organizando el cumple de mi sobrina para el sabado",0
"toda la familia ayudo a pintar la casa de mis papas",0
"mi hermano se compro un auto nuevo, esta re contento",0
"llamando a mi abuelo para preguntarle como esta",0
"mi mama y yo cocinamos juntas para la cena de hoy",0
"discutimos sobre donde pasar las fiestas este año",0
"mi tio nos invito a su casa nueva este finde",0
"ayudando a mis hijos con la tarea despues de la cena",0
"toda la familia se junto para ver las fotos viejas",0
"mi papa nos llevo a pescar el domingo",0
"organizando el regalo sorpresa para el cumple de mama",0
"mi hermana mayor me ayudo a elegir la ropa para la entrevista",0
"discutiendo con mis papas sobre la hora de vuelta a casa",0
"mi abuela guarda todas las cartas viejas de la familia",0
"armamos una cena especial para celebrar que mi hermano se recibio",0
"toda la familia viaja junta este verano por primera vez en años",0
"mi mama se emociono cuando le mostre las notas del cole",0
"ayudando a mi abuelo a plantar el jardin nuevo",0
"mi hermano y yo peleamos por el control remoto como siempre",0
"organizando el bautismo de mi sobrino para el mes que viene",0
"mi papa nos enseño a jugar al ajedrez este finde",0
"toda la familia se rio un monton con las anecdotas de la cena",0
"mi mama llamo para preguntar como me fue en el examen",0
