text,label
"Hace meses que me estoy alejando de todos mis amigos y ni sé cómo volver a acercarme.",2
"Ya casi no respondo los mensajes de mis amigos porque no tengo energía para conversar.",2
"Extraño cómo eran mis amistades antes, ahora todo se siente distante.",2
"Desde hace semanas me cuesta confiar en mis amigos después de varios problemas.",2
"Cada reunión con mis amigos me deja emocionalmente agotado.",2
"Últimamente prefiero quedarme solo aunque sé que me estoy aislando de mis amigos.",2
"Llevo meses sintiéndome fuera de lugar incluso cuando estoy con mis amigos.",2
"Mis amistades siguen invitándome a salir, pero ya casi nunca acepto.",2
"Me cuesta mantener conversaciones con mis amigos porque mi cabeza siempre está en otro lado.",2
"Hace tiempo que siento que perdí la conexión con mi grupo de amigos.",2
"Cada vez me cuesta más trabajo escribirle a mis amigos aunque quiera hacerlo.",2
"Desde hace meses las amistades se sienten como un esfuerzo enorme para mí.",2
"Me preocupa estar alejándome de mis amigos sin darme cuenta.",2
"Antes hablaba todos los días con ellos, ahora pasan semanas sin que responda.",2
"Siento que ya no disfruto las salidas con mis amigos como antes.",2
"Últimamente cualquier plan con mis amigos me deja completamente drenado.",2
"Me siento culpable porque siempre cancelo las reuniones con mis amigos.",2
"Llevo semanas ignorando el chat del grupo porque no tengo ánimo para participar.",2
"Mis amigos intentan incluirme, pero sigo sintiéndome desconectado.",2
"Cada vez que pienso en socializar con mis amigos termino sintiéndome agotado.",2
"Hace meses que la distancia con mis amigos también está afectando mi concentración.",2
"Extraño reír con mis amigos, pero últimamente no logro disfrutar esos momentos.",2
"Me cuesta abrirme con mis amistades como antes y eso me pesa todos los días.",2
"Desde que me mudé siento que mantener mis amistades me supera emocionalmente.",2
"Últimamente termino agotado después de cualquier conversación con amigos.",2
"No sé por qué, pero llevo mucho tiempo sintiéndome solo incluso teniendo amigos.",2
"Cada vez que intento retomar contacto con mis amigos me siento bloqueado.",2
"Me está costando mucho sostener mis amistades y eso ya afecta mi día a día.",2
"Mis amigos creen que estoy ocupado, pero en realidad llevo meses sin energía para convivir.",2
"Antes disfrutaba los fines de semana con ellos, ahora casi siempre los evito.",2
"Las amistades que más quería se sienten cada vez más lejanas y eso me desgasta.",2
"Desde hace semanas me cuesta muchísimo contestar mensajes de mis amigos.",2
"Me siento emocionalmente cansado de intentar que las amistades funcionen.",2
"Cada salida con mis amigos requiere un esfuerzo enorme de mi parte.",2
"Llevo meses sintiéndome desconectado hasta de mis amigos más cercanos.",2
"Últimamente prefiero apagar el celular para no enfrentar conversaciones con mis amigos.",2
"Me pesa sentir que ya no soy el mismo con mis amistades.",2
"Cada reunión termina dejándome con más cansancio que alegría.",2
"Me cuesta mantener vivas mis amistades porque llevo mucho tiempo sin ánimo.",2
"Los problemas con un amigo cercano me dejaron emocionalmente agotado desde hace meses.",2
"Hace tiempo que ya no busco a mis amigos porque siento que no tengo fuerzas para socializar.",2
"Me preocupa que mi aislamiento esté dañando amistades importantes.",2
"Antes podía pasar horas hablando con mis amigos, ahora apenas respondo unas palabras.",2
"Últimamente siento que mis amistades avanzan y yo me quedé emocionalmente estancado.",2
"Me cuesta concentrarme en el trabajo porque sigo dándole vueltas a los conflictos con mis amigos.",2
"Llevo meses sintiendo una distancia enorme con mi círculo de amigos.",2
"Cada vez que cancelo un plan con mis amigos me siento peor, pero sigo sin poder asistir.",2
"Mis amigos siguen ahí, pero mantener la relación se ha vuelto muy difícil para mí.",2
"Hace semanas que ya no encuentro ganas de convivir con nadie de mi grupo.",2
"Extraño sentirme cercano a mis amigos, pero desde hace mucho tiempo todo se volvió emocionalmente muy pesado.",2
