text,label
"Tengo demasiada tarea para mañana y apenas voy empezando.",1
"Hoy salí bien cansado de la escuela por tantas clases.",1
"Mañana tengo examen de matemáticas y sí ando nervioso.",1
"No entendí casi nada de química hoy 😅",1
"Se me olvidó hacer una actividad y ahora toca entregarla tarde.",1
"Esta semana dejaron proyectos en todas las materias.",1
"Ya quiero que llegue el fin de semana para descansar de la escuela.",1
"Me preocupa bajar mi promedio si no me va bien en el examen.",1
"Hoy nos dejaron un montón de ejercicios de español.",1
"Entre tareas y entrenamientos ya no me alcanza el tiempo.",1
"Mi exposición es mañana y todavía me da pena hablar enfrente.",1
"El profe cambió la fecha de entrega y ahora todo se juntó.",1
"Traigo varias tareas pendientes y siento que voy algo atrasado.",1
"Hoy desperté con mucho sueño para ir a clases.",1
"Estoy batallando para entender álgebra.",1
"El trabajo en equipo está difícil porque nadie responde en el grupo.",1
"Nos dejaron un ensayo larguísimo y apenas voy por la mitad.",1
"Hoy hubo examen sorpresa y sí me agarró desprevenido.",1
"Quiero terminar la maqueta antes del viernes.",1
"Me cuesta concentrarme después de tantas horas en la escuela.",1
"Cada maestro dejó tarea como si fuera la única materia.",1
"Estoy aprendiendo en la escuela nueva y todavía me adapto.",1
"Hoy participé en clase, pero igual me puse nervioso.",1
"Espero que la presentación salga bien mañana.",1
"Se me hace pesado levantarme tan temprano todos los días.",1
"Traigo pendiente estudiar historia porque casi no he repasado.",1
"Qué semana tan intensa, ya necesito un descanso.",1
"El laboratorio estuvo interesante, pero terminé agotado.",1
"Me confundí con las instrucciones de la tarea 😕",1
"Estoy tratando de organizar mejor mis horarios para cumplir con todo.",1
"Hoy tuve práctica deportiva después de clases y acabé rendido.",1
"Me falta terminar un dibujo para artes y ya es tarde.",1
"Creo que estudié, pero igual me da nervio el examen.",1
"El profesor dejó lectura extra y todavía tengo otras tareas.",1
"Entre los trabajos y los apuntes ya traigo la mochila llena.",1
"Hoy casi olvido entregar mi cuaderno.",1
"Nos cambiaron el salón varias veces y fue un relajo.",1
"Voy bien, pero estos días sí han estado pesados.",1
"Me cuesta trabajo hacer la tarea cuando llego tan cansado.",1
"Hay muchas actividades este mes y siento que todo se junta.",1
"Estoy repasando porque no quiero equivocarme en la exposición.",1
"El grupo hace mucho ruido y luego no entiendo la clase.",1
"Hoy terminé todos los ejercicios, pero me tomó horas.",1
"Me preocupa un poco la calificación del parcial.",1
"Traemos un proyecto grande y todavía falta bastante por hacer.",1
"Estoy intentando equilibrar la escuela con mis hobbies.",1
"El maestro preguntó al azar y por suerte sí había estudiado un poco.",1
"Ya casi acabo las tareas, solo me falta una materia.",1
"Hoy sentí mucha presión con tantas entregas seguidas.",1
"A ver si mañana me organizo mejor para no andar corriendo con las tareas.",1
