text,label
"por fin encontre las zapatillas que queria",0
"el paquete llega mañana segun el seguimiento",0
"habia un descuento enorme hoy en el super",0
"me olvide de comprar leche otra vez",0
"esperando que llegue mi pedido online, ya tarda bastante",0
"la fila de la caja estaba interminable hoy",0
"necesito una mochila nueva, la mia ya esta rota",0
"aproveche la oferta y compre dos por uno en el super",0
"cambiando la remera que compre porque me quedo chica",0
"buscando muebles nuevos para el living",0
"la app de la tienda no me dejaba pagar con tarjeta",0
"compre un regalo para el cumple de mi amiga",0
"comparando precios entre dos tiendas antes de decidir",0
"hice la devolucion del producto que llego roto",0
"armando la lista de compras para el super de hoy",0
"encontre unas ofertas buenisimas en la tienda de electronica",0
"pagando con debito porque no tenia efectivo",0
"esperando que abran la tienda para entrar temprano",0
"compre maquillaje nuevo que vi recomendado en instagram",0
"la entrega se demoro mas de lo que decia la pagina",0
"cambiando de talle porque el que pedi no entraba",0
"aproveche el cyber monday para comprar unas cosas",0
"buscando remedios en la farmacia antes de que cierre",0
"compre decoracion nueva para el cuarto",0
"la caja del super tenia solo dos cajeras hoy",0
"pedi el paquete hace una semana y todavia no llega",0
"comparando cual tarjeta me conviene usar para la compra",0
"encontre el libro que buscaba en oferta",0
"cambiando los zapatos porque el otro par se rompio rapido",0
"aprovechando el descuento de temporada en la ropa de invierno",0
"comprando utiles nuevos para empezar las clases",0
"esperando el cupon de descuento antes de comprar",0
"la tienda tenia bastante gente hoy por las rebajas",0
"pedi el mueble armado porque no tengo tiempo de armarlo",0
"comprando regalos de cumpleaños para toda la semana",0
"cambiando de proveedor de delivery porque el otro tardaba mucho",0
"aproveche para comprar todo lo que faltaba en casa",0
"comparando reseñas antes de comprar el electrodomestico",0
"la fila para probarse ropa estaba larguisima hoy",0
"compre unos auriculares nuevos que estaban en oferta",0
"esperando la confirmacion del pago de la compra online",0
"buscando descuentos para la compra del mes",0
"cambiando el metodo de pago porque la tarjeta no funcionaba",0
"compre todo lo necesario para la fiesta del sabado",0
"la app me mando el codigo de seguimiento del pedido",0
"aprovechando las rebajas de fin de temporada",0
"comprando snacks para la noche de peliculas",0
"buscando el regalo perfecto para el dia de la madre",0
"la entrega llego antes de lo esperado, buena sorpresa",0
"comparando precios de supermercados antes de hacer las compras",0
"compre una planta nueva para decorar el balcon",0
