text,label
"el jefe movio la reunion de nuevo, ya van tres veces esta semana",0
"por fin termine ese informe que me tenia complicado",0
"tengo tres reuniones esta tarde, va a ser largo el dia",0
"el cafe de la oficina esta horrible pero bueno, es gratis 😂",0
"me olvide el cargador de la notebook en casa",0
"mañana hago home office, necesito un dia mas tranquilo",0
"el cliente aprobo la propuesta, buena noticia para cerrar la semana",0
"tengo que responder como veinte mails todavia",0
"me llamaron para una entrevista de trabajo el jueves",0
"hoy cobramos, por fin llego el dia",0
"el equipo cerro el proyecto antes de la fecha limite",0
"tengo viaje de trabajo la semana que viene, ya arme la valija",0
"mi compañera se toma un cafe conmigo todos los dias a las 4",0
"el sistema se cayo un rato pero ya lo arreglaron",0
"me subieron de puesto, todavia no lo puedo creer",0
"la reunion de hoy se extendio bastante mas de lo pensado",0
"ando con varios proyectos a la vez, pero se puede",0
"el nuevo jefe parece bastante organizado, buena señal",0
"hoy toca planilla de gastos, tarea que no me gusta mucho",0
"terminando la presentacion para mañana, ya casi",0
"el cliente cambio de opinion otra vez sobre el diseño",0
"trabajando desde el aeropuerto porque se atraso el vuelo",0
"hoy tuve que quedarme una hora extra por el cierre de mes",0
"mi compañero renuncio, vamos a extrañarlo en el equipo",0
"la videollamada se corto justo cuando iba a presentar",0
"tengo que armar el cronograma del proyecto nuevo",0
"el gerente felicito al equipo por los resultados del trimestre",0
"hoy es mi ultimo dia de vacaciones, mañana vuelvo a la rutina",0
"me pidieron cubrir un turno extra el sabado",0
"la capacitacion de hoy estuvo mejor de lo que esperaba",0
"tengo entrevista con un candidato nuevo a las 10",0
"el proyecto se retraso un poco pero ya esta encaminado",0
"hoy arranca mi primer dia en el trabajo nuevo, algo nervioso pero bien",0
"la oficina esta medio vacia hoy, varios de vacaciones",0
"me toco hacer el resumen de la reunion para todos",0
"el cliente pidio una reunion urgente para revisar los numeros",0
"terminamos el trimestre con buenos resultados",0
"hoy tengo que firmar unos contratos antes del mediodia",0
"mi jefa me pidio que lidere el proyecto nuevo",0
"pase toda la mañana en llamadas con distintos clientes",0
"el almuerzo de equipo de hoy estuvo bueno, buena junta",0
"tengo que preparar el material para la capacitacion de mañana",0
"el freelance que tome esta semana salio mejor de lo esperado",0
"hoy toca revisar contratos, tarea larga pero necesaria",0
"me confirmaron el aumento para el proximo mes",0
"la oficina cambio de edificio, todavia me pierdo un poco",0
"tengo que coordinar la agenda de la semana que viene",0
"el equipo de ventas cerro un contrato grande hoy",0
"hoy toca hacer el balance mensual, va a llevar tiempo",0
"me asignaron un nuevo cliente, parece un proyecto interesante",0
"terminando de armar el reporte semanal antes de las 6",0
