text,label
"el vuelo sale temprano mañana, hay que llegar con tiempo",0
"todavia me falta armar la valija",0
"el hotel tiene una vista increible desde la habitacion",0
"armando un viaje por carretera para diciembre",0
"me olvide el cargador en el hotel anterior",0
"el aeropuerto estaba mucho mas vacio de lo que pensaba",0
"quiero conocer oaxaca el año que viene",0
"perdimos el vuelo por diez minutos, ya reprogramamos el siguiente",0
"la valija se perdio pero ya la encontraron, llega mañana",0
"el vuelo se atraso dos horas, esperando en la sala",0
"llovio todo el fin de semana pero igual la pasamos bien",0
"reservando el airbnb para el viaje del mes que viene",0
"buscando vuelos baratos para las vacaciones de verano",0
"el museo que visitamos hoy tenia obras impresionantes",0
"armando el itinerario para los diez dias de viaje",0
"probando la comida local, esta buenisima",0
"el hostal donde nos quedamos tiene buena onda",0
"subiendo a la montaña temprano para evitar el calor",0
"comprando souvenirs para llevar a la familia",0
"el crucero sale del puerto mañana a la mañana",0
"acampando cerca del lago este finde",0
"sacando fotos de todos los lugares que visitamos",0
"el pasaporte llego justo a tiempo para el viaje",0
"buscando el mapa del centro historico de la ciudad",0
"el tren panoramico tiene vistas hermosas de la montaña",0
"reservando la excursion para conocer las cataratas",0
"la playa estaba menos concurrida de lo que esperaba",0
"armando la mochila para el trekking de mañana",0
"el gps nos llevo por un camino con vistas hermosas",0
"probando el transporte publico de esta ciudad nueva",0
"buscando alojamiento cerca del centro para el proximo viaje",0
"visitando el mercado local para comprar artesanias",0
"el vuelo tuvo una escala mas larga de lo esperado",0
"armando el plan para recorrer tres ciudades en una semana",0
"la habitacion del hotel es mas chica de lo que se veia en las fotos",0
"conociendo un pueblito que no estaba en la guia turistica",0
"reservando el bus para cruzar la frontera mañana",0
"el clima cambio de golpe pero seguimos con el plan",0
"buscando recomendaciones de restaurantes en la ciudad nueva",0
"armando el checklist antes de salir de viaje",0
"la excursion de hoy incluyo una caminata bastante larga",0
"comprando entradas anticipadas para el museo",0
"el vuelo de vuelta sale bastante tarde esta noche",0
"recorriendo el centro historico a pie todo el dia",0
"reservando el auto para alquilar en el destino",0
"la vista desde el mirador valio cada minuto de la subida",0
"armando el presupuesto para el viaje del año que viene",0
"probando transportes distintos para moverse por la ciudad",0
"el hostal quedo cerca de todo, buena ubicacion",0
"visitando ruinas antiguas que siempre quise conocer",0
"terminando de planear el viaje familiar de las vacaciones",0
