text,label
Hoy discutí un poco con mi hermano por una tontería.,1
Mis papás siguen preguntándome por mis planes y ya me siento algo presionado.,1
Me preocupa un poco que mi abuelo siga resfriado.,1
Últimamente ha habido mucho ruido en la casa y no logro concentrarme.,1
Nos costó ponernos de acuerdo para la comida familiar.,1
Hoy me tocó cuidar a mi hermanita toda la tarde y terminé cansado.,1
A veces es difícil organizar los horarios de todos en casa.,1
"Mi mamá y yo pensamos diferente sobre algunas cosas, pero ya se nos pasará.",1
Mi hermano tomó mis cosas sin avisar y sí me molestó.,1
Esta semana me ha tocado ayudar más con las tareas de la casa.,1
Mis papás quieren que vaya a todas las reuniones familiares 😅,1
Hoy la casa estuvo llena de visitas y no tuve un momento tranquilo.,1
Me preocupa que mi abuela no esté descansando lo suficiente.,1
Entre el trabajo y la familia siento que el tiempo no alcanza.,1
Mi sobrino tiene muchísima energía y terminé agotado de jugar con él.,1
"Hoy hubo un pequeño malentendido en casa, pero ya quedó aclarado.",1
Estamos tratando de acomodar los horarios para llevar a todos a sus actividades.,1
Mi hijo no quería hacer la tarea y costó convencerlo.,1
Mi hermana y yo siempre terminamos discutiendo por el control de la tele.,1
Hay tantas cosas que hacer en casa que se acumulan rápido.,1
Me toca pasar por mis papás después del trabajo y ando corriendo.,1
Hoy todos hablaban al mismo tiempo en la comida familiar.,1
"Estoy intentando pasar más tiempo con mi familia, aunque la semana ha estado pesada.",1
Mi primo llegó de visita y cambió toda la rutina de la casa.,1
Nos costó decidir dónde celebrar el cumpleaños familiar.,1
Mi mamá insiste en que descanse más y tiene un poco de razón.,1
Estoy algo preocupado porque mi papá anda muy ocupado últimamente.,1
Hoy me tocó ayudar a mi abuelo con unos trámites.,1
Entre las actividades de los niños ya no sé ni qué día es.,1
Mi hermano puso la música muy fuerte otra vez 😂,1
"Nos repartimos las tareas de la casa, pero igual se siente pesado.",1
Quería descansar un rato y justo llegaron todos al mismo tiempo.,1
Mi familia quiere salir el domingo y todavía no nos ponemos de acuerdo.,1
Hoy preparé la cena para todos y terminé bastante cansado.,1
Mi sobrina no dejaba de hacer preguntas todo el camino.,1
Estoy intentando equilibrar el tiempo entre la universidad y mi familia.,1
Mis papás tienen horarios diferentes y cuesta organizar todo.,1
