text,label
"la bateria del celular se me va volando, ya no dura nada",0
"por fin volvio el wifi, estuvo caido toda la mañana",0
"me compre un teclado mecanico nuevo, hace bastante ruido pero me gusta",0
"la notebook termino de actualizar, ahora esta todo distinto",0
me olvide el cargador en casa otra vez,0
el reloj marco que hice diez mil pasos hoy,0
los auriculares bluetooth no quieren conectar con el celular,0
"probando el nuevo iphone, la camara se ve bastante mejor",0
"la impresora no anda, capaz hay que cambiar el cartucho",0
cambiando de proveedor de internet porque el actual es muy lento,0
le pregunte a chatgpt como resolver un problema de excel,0
"mi mouse dejo de andar, tengo que comprar uno nuevo",0
"actualizando android en la tablet, va bastante lento",0
probando gemini para ver que tal responde comparado con otras ia,0
se me lleno el almacenamiento del celular otra vez,0
cambiando la contraseña del wifi porque nadie se acordaba,0
mi papa por fin aprendio a usar el whatsapp bien,0
probando la webcam nueva para las videollamadas,0
el smart tv se actualizo solo y ahora tiene una interfaz distinta,0
buscando fundas nuevas para el celular,0
mi laptop se calienta bastante cuando tengo muchas pestañas abiertas,0
probando claude para ayudarme a resumir unos textos,0
"se me rompio el cable del cargador, tengo que comprar otro",0
configurando el nuevo router que llego hoy,0
"el navegador me tira demasiadas notificaciones, hay que desactivarlas",0
"probando el nuevo smartwatch, tiene bastantes funciones",0
"mi celular se reinicio solo, raro pero ya funciona bien",0
comprando espacio extra en la nube porque se me lleno todo,0
el monitor nuevo se ve muchisimo mejor que el anterior,0
buscando como hacer backup de las fotos antes de cambiar de celular,0
el buscador no me tira los resultados que necesito hoy,0
probando distintos casos de auriculares para el gimnasio,0
mi abuela se compro un celular nuevo y le estoy enseñando a usarlo,0
el mouse inalambrico se quedo sin pilas justo ahora,0
cambiando el fondo de pantalla de la compu por uno nuevo,0
"probando la app de streaming nueva, tiene bastante contenido",0
la actualizacion de windows tardo mas de una hora,0
comprando una funda protectora para la tablet,0
el celular se me cayo pero por suerte no paso nada,0
probando distintos buscadores para ver cual anda mejor,0
configurando el asistente de voz en el parlante nuevo,0
"mi hermano se compro una consola nueva, dice que anda genial",0
buscando el cargador que combine con el nuevo celular,0
el internet del vecino se ve mas rapido que el mio jaja,0
probando el nuevo modelo de auriculares con cancelacion de ruido,0
cambiando la app de notas porque la anterior se puso lenta,0
mi papa me pregunto como usar el traductor del celular,0
el smart tv no reconoce el mando a distancia hoy,0
probando distintos temas para personalizar el celular,0
comprando una bateria externa para cuando salgo todo el dia,0
Che alguien tiene un cargador de iPhone con ficha tipo C para prestarme un rato?,0
Puse a cargar el smartwatch anoche pero parece que quedó mal apoyado en la base magnética,0
Se ve increíble la pantalla oled de la tele nueva cuando ponés pelis en 4k,0
Me compré unos auriculares bluetooth con cancelación de ruido para viajar en el subte,0
Fijate si te deja mandar fotos por WhatsApp porque a mí se me queda la ruedita girando,0
La compu me pidió reiniciar por una actualización de Windows justo antes de salir,0
No me reconoce el lector de huellas del celu si tengo el dedo apenas húmedo 🙃,0
Pudiste conectar la impresora wifi o tuviste que tirar cable derecho al módem?,0
Le cambié la pila al mouse inalámbrico y volvió a responder al toque,0
Tengo que pasar las fotos de las vacaciones a un disco externo porque la nube está al 98%,0
"Hijo, cómo hago para que la pantalla del celular no se apague tan rápido cuando leo?",0
El teclado mecánico con switches rojos es comodísimo para tipear pero suena fuerte en llamadas,0
Se cayó la señal de datos móviles en toda la zona céntrica por una hora,0
Le pregunté a Gemini qué receta hacer con lo que tenía en la heladera y me tiró una idea bárbara,0
Compré un cable HDMI mallado de dos metros para conectar la notebook al monitor secundario,0
Me bajé un navegador más liviano para la tablet vieja y ahora carga los videos sin trabarse,0
"Ojo si les llega un correo de Netflix pidiendo actualizar los datos de pago, tiene pinta de falso",0
El parlantito portátil se bancó toda la tarde de pileta con una sola carga de batería,0
"No me acuerdo la clave de la cuenta de Google, voy a tener que pedir el código de recuperación por sms",0
Activé el modo oscuro en todas las aplicaciones para no cansar tanto la vista de noche,0
"Llegó el soporte con brazo articulado para el monitor, me liberó un montón de espacio en el escritorio",0
"Claude me ayudó a resumir un PDF de cincuenta páginas en cinco minutos, una locura total",0
Se me cayó el celu al piso pero por suerte el vidrio templado absorbió todo el golpe,0
Quién sabe cómo desactivar las notificaciones emergentes de noticias en Chrome?,0
Conecté el Chromecast a la tele del comedor y levantó streaming enseguida,0
Tengo que comprar un pendrive de 64 gigas para pasarle las fotos del acto a mi tía,0
"La cámara web de la notebook tiene una resolución malísima con poca luz, voy a buscar una externa",0
El servicio técnico me avisó que ya le cambiaron el módulo táctil a la pantalla rota,0
Puse un repetidor wifi en el pasillo y ahora llega señal con buena velocidad al fondo de la casa,0
Qué cómodo es pagar con el celular usando la antena NFC sin sacar la billetera,0
Alguien probó ChatGPT para practicar conversación en inglés? Dicen que responde bastante fluido,0
Se desconfiguró la hora del reloj digital cuando se cortó la luz anoche,0
Compré una funda antigolpes con anillo trasero para sostener mejor el teléfono en la calle,0
"Me saltó el aviso de poco espacio en disco, voy a tener que vaciar la carpeta de descargas",0
Los auriculares con cable siguen siendo los más fieles para no renegar con la latencia,0
Avisale al técnico de la empresa de internet que la luz PON del módem sigue titilando en rojo,0
Configuré el desbloqueo facial en la tablet y me reconoce al instante incluso con anteojos,0
"Qué golazo haber comprado el cargador rápido de 67 watts, me llena la batería en media hora",0
No me deja instalar la app del banco porque me pide actualizar a la última versión de Android,0
El ventilador de la placa de video se pone al taco cuando abro juegos pesados,0
Guardé todos los accesos importantes en un gestor de contraseñas para no olvidarme ninguno,0
Se me llenó la bandeja de entrada del correo con publicidad de tiendas que ni conozco,0
Probé Linux Mint en la máquina de escritorio de mi viejo y anda re fluida para navegar,0
"El botón de encendido del control remoto no responde bien, seguro le faltan pilas nuevas",0
Mandame ese video por Telegram que no comprime tanto la calidad como otras apps,0
