text,label
Mi pedido sigue sin llegar y ya pasó la fecha estimada.,1
Subieron el precio justo cuando iba a comprarlo.,1
La talla que quería ya estaba agotada.,1
Me enviaron el color equivocado 😕,1
Hoy perdí casi toda la tarde haciendo las compras.,1
Ahora tengo que hacer la devolución del producto.,1
La fila para pagar estaba larguísima.,1
El paquete llegó con la caja un poco golpeada.,1
Estoy comparando varias marcas y no sé cuál elegir.,1
El supermercado estaba llenísimo hoy.,1
Compré una camisa y me quedó más grande de lo esperado.,1
"El producto aparece disponible, pero no me deja comprarlo.",1
Quería aprovechar el descuento y ya había terminado.,1
El repartidor tuvo que reprogramar la entrega.,1
Se me olvidó comprar una de las cosas más importantes.,1
Estoy buscando una oferta mejor antes de decidirme.,1
El pedido llegó incompleto y ya levanté el reporte.,1
La tienda cambió los precios esta semana.,1
No encuentro el modelo que estaba buscando.,1
La aplicación de compras se trabó al pagar.,1
El paquete viene retrasado por la paquetería.,1
Me costó mucho decidir entre dos productos.,1
La talla correcta ya no estaba disponible.,1
Hoy fui al centro comercial y había demasiada gente.,1
Compré algo en línea y sigo esperando la confirmación.,1
La devolución está tardando más de lo que imaginaba.,1
El cajero tardó bastante y la fila no avanzaba.,1
"Quería comprar frutas, pero varias ya se habían acabado.",1
El cupón de descuento ya no funcionó.,1
Me equivoqué al elegir la medida del producto.,1
"El paquete llegó hoy, pero le falta un accesorio.",1
Estoy revisando reseñas porque todavía tengo dudas.,1
Las ofertas se terminaron muy rápido.,1
El envío salió más caro de lo que esperaba.,1
No encontraba estacionamiento para hacer las compras.,1
La tienda estaba cerrada cuando llegué.,1
Pensé que el producto era más grande según las fotos.,1
El sistema rechazó mi pago y tuve que intentarlo otra vez.,1
Se agotó justo el artículo que quería comprar.,1
Estoy organizando la lista del supermercado y siempre olvido algo.,1
El repartidor llegó más tarde de lo programado.,1
Compré zapatos y necesito cambiarlos por otra talla.,1
Hoy fui por una cosa y terminé recorriendo toda la tienda.,1
La página tardó mucho en cargar durante la compra.,1
Estoy esperando que vuelva a bajar de precio.,1
El carrito se vació solo y tuve que agregar todo otra vez.,1
"El empaque venía un poco maltratado, aunque el producto está bien.",1
Entre comparar precios ya se me fue toda la mañana.,1
Espero que esta vez sí llegue el pedido en la fecha indicada.,1
Comprar en temporada de ofertas siempre termina siendo más cansado de lo que parece.,1
El paquete lleva cuatro días demorado en el centro de distribución y nadie me da una respuesta clara,1
"Fui a comprar el buzo que vi ayer en vidriera y justo se llevaron el último en mi talle, qué bronca",1
"Me mandaron unos auriculares de color blanco cuando pedí expresamente negros, ahora toca tramitar el cambio",1
"Subieron el precio de la cafetera casi diez lucas de un día para el otro, me quiero matar por no comprarla antes",1
Estuve una hora clavado en la fila del supermercado porque a la señora de adelante no le pasaba la tarjeta 🤦‍♂️,1
"El repartidor marcó el pedido como entregado pero acá en casa no tocó el timbre nadie, ya me puse re nervioso",1
"Compré un jean online guiándome por la tabla de medidas y me quedó gigantesco de cintura, qué fastidio",1
"La caja del televisor llegó con un golpe tremendo en una esquina, ando con miedo de abrirlo y que esté astillado",1
Qué desgaste pasarse toda la tarde dando vueltas por el shopping buscando un regalo y volverse con las manos vacías,1
Me cancelaron la compra de la notebook por falta de stock después de haberme retenido el dinero dos días,1
El vendedor me habló con una soberbia insoportable cuando le pedí que me muestre otro modelo de zapatillas,1
Tengo que ir hasta la sucursal del correo a retirar la encomienda porque el cartero pasó una sola vez y no esperó nada,1
"Me cobraron de más en el ticket del híper y me di cuenta recién cuando llegué a casa, qué rabia lpm",1
Se me bloqueó el cupón de descuento en el checkout justo en el último segundo antes de meter la tarjeta,1
Ando con dolor de cabeza de tanto comparar precios entre cinco tiendas distintas para una bendita freidora de aire,1
Pedí una campera de abrigo para el viaje de este viernes y el seguimiento dice que llega recién el martes que viene 😩,1
"Me da una pereza enorme tener que embalar el producto de nuevo, imprimir la etiqueta y llevarlo a despachar por una falla",1
"El local de ropa tenía la música al palo y las empleadas charlaban entre ellas sin darle bola a los clientes, salí re caliente",1
Compré dos frascos de vidrio por internet y uno me llegó totalmente hecho pedazos adentro de la bolsa,1
"No me reconocen la garantía de la pava eléctrica diciendo que el problema es por mal uso mío, qué impotencia",1
"Se agotaron las ofertas del CyberMonday en los primeros quince minutos de la madrugada, estuve despierto al pedo",1
"Tengo el baúl lleno de cosas pesadas del súper y el ascensor del edificio está fuera de servicio, me muero",1
"Me mandaron el talle equivocado por segunda vez consecutiva en la misma tienda, parecen joda de verdad",1
El posnet del negocio no leía mi tarjeta de débito y tuve que salir a buscar un cajero a las apuradas con la compra armada,1
Qué bronca cuando ponés un producto en el carrito a un precio y cuando vas a pagar te clavan un costo de envío ridículo,1
"Me da mucha desconfianza esta página donde encontré el repuesto, no tiene comentarios y no sé si comprar",1
Estuve media hora revolviendo percheros desordenados en la liquidación para no encontrar absolutamente nada que me sirva,1
Me angustia un poco haber gastado de más en cosas innecesarias del bazar solo por verlas en promoción,1
"La tela de la remera que compré por internet es re fina y transparente, nada que ver a la foto del catálogo",1
El flete de la heladera me dijo que venía a la mañana y son las cuatro de la tarde y sigo acá esperando encerrado,1
