text,label
"Últimamente siento que no rindo bien en el trabajo.",1
"Estoy preocupado por los gastos de este mes.",1
"Ando con mucho estrés por la entrega del proyecto.",1
"No sé cómo voy a terminar todos mis pendientes.",1
"Llevo varios días sin descansar bien.",1
"Me siento un poco agobiado con tanta responsabilidad.",1
"La carga de trabajo me tiene agotado mentalmente.",1
"Me está costando mantener la concentración en las clases.",1
"La situación económica no anda muy bien.",1
"Ando distraído, no logro enfocarme en lo que hago.",1
"Siento que no avanzo con mis proyectos personales.",1
"El tráfico me tiene harto, pierdo mucho tiempo.",1
"Estoy algo nervioso por la presentación de mañana.",1
"El ruido constante me está irritando bastante.",1
"Me preocupa no poder cumplir con los plazos.",1
"Estoy muy cansado de la rutina diaria.",1
"No encuentro motivación para hacer ejercicio.",1
"Últimamente todo me parece un esfuerzo enorme.",1
"Me siento un poco desconectado de mis amigos.",1
"La carga académica está siendo excesiva.",1
"Ando con dolores de cabeza seguido.",1
"El trabajo remoto me tiene un poco aislado.",1
"Me estresa pensar en el futuro laboral.",1
"No duermo bien desde que empecé este nuevo proyecto.",1
"Siento que no tengo tiempo para mí.",1
"Estoy preocupado por los estudios de mi hijo.",1
"La presión de mi jefe me está afectando.",1
"Me cuesta levantarme con energía por las mañanas.",1
"Ando con la mente en blanco todo el día.",1
"No sé cómo equilibrar trabajo y vida personal.",1
"Las deudas me tienen algo intranquilo.",1
"Me siento presionado por las expectativas de mi familia.",1
"La falta de sueño me está pasando factura.",1
"Siento que mi esfuerzo no es reconocido.",1
"Estoy frustrado con mi desempeño profesional.",1
"Últimamente tengo cambios de humor sin razón.",1
"Ando con un poco de ansiedad por la mudanza.",1
"Las discusiones en casa me tienen agotado.",1
"Me da miedo no estar a la altura del nuevo puesto.",1
"Estoy abrumado con tantas responsabilidades nuevas.",1
"Siento que el tiempo no me alcanza para nada.",1
"Ando con la autoestima un poco baja últimamente.",1
"El calor extremo me tiene sin energía.",1
"Me siento solo aunque esté rodeado de gente.",1
"Los problemas técnicos me estresan mucho.",1
"Estoy preocupado por mis resultados académicos.",1
"No logro desconectarme del trabajo en casa.",1
"Me duele la cabeza constantemente por el estrés.",1
"Siento que no avanzo en mis metas personales.",1
"La falta de comunicación me está afectando.",1
"Estoy algo inquieto por la reunión de mañana con los socios.",1
"Me siento un poco desanimado con mi proyecto personal.",1
"El tránsito pesado me tiene de mal humor toda la semana.",1
"No logro conciliar el sueño desde que cambiaron mi horario.",1
"Estoy preocupado por el rendimiento de mis hijos en la escuela.",1
"El exceso de ruido en la oficina me está afectando.",1
"Me siento presionado por la competencia en el trabajo.",1
"Las cuentas del mes me tienen algo intranquilo.",1
"Últimamente todo me parece más difícil de lo normal.",1
"Estoy frustrado porque no avanza mi proyecto de tesis.",1
"Ando con un poco de insomnio por las noches.",1
"El clima está afectando mi estado de ánimo.",1
"Me estresa pensar en los cambios en la empresa.",1
"Siento que no estoy aprovechando bien mi tiempo libre.",1
"La relación con mi pareja está pasando por un bache.",1
"El bullicio de la ciudad me está desgastando.",1
"Me preocupa no poder costear los gastos del próximo mes.",1
"Estoy algo nervioso por la entrevista de trabajo.",1
"La carga de deberes en la universidad me sobrepasa.",1
"Me siento un poco aislado desde que me mudé.",1
"El teléfono suena todo el día y no descanso.",1
"Últimamente tengo dolores musculares sin razón aparente.",1
"Estoy abrumado con la organización de mi boda.",1
"Me da ansiedad tener que hablar en público.",1
"La rutina del gimnasio me está agotando más que energizándome.",1
"El ruido de los vecinos me está volviendo loco.",1
"Estoy preocupado por los cambios en la empresa familiar.",1
"Me cuesta encontrar tiempo para hacer ejercicio.",1
"La presión de mi círculo social me está afectando.",1
"El clima de mi oficina se está volviendo tóxico.",1
"Estoy algo inquieto por los resultados médicos de mi papá.",1
"La falta de sueño me está haciendo menos productivo.",1
"El trato con mi suegra no anda muy bien.",1
"Estoy estresado porque mi auto empezó a fallar.",1
"Me siento agobiado con tantas decisiones que tomar.",1
"El ritmo de la ciudad me tiene sin paciencia.",1
"Estoy preocupado por la salud de mi mascota.",1
"El consumo de mi hogar aumentó y me preocupa.",1
"La dinámica de mi grupo de estudio es complicada.",1
"Me siento incómodo con los cambios en mi departamento.",1
"La presión del mercado laboral me preocupa.",1
"Estoy algo confundido con mi carrera profesional.",1
"El trato con algunos clientes es agotador.",1
"Me despierto cansado aunque duerma las horas necesarias.",1
"Estoy preocupado por la seguridad en mi barrio.",1
"La relación con mi hermano se ha vuelto tensa.",1
"Me estresa la falta de estabilidad en el trabajo.",1
"La tecnología me abruma con tanto cambio constante.",1
"Estoy inseguro sobre mi decisión de cambiar de carrera.",1
"El tiempo en redes sociales me está afectando el ánimo.",1
"El Wi-Fi de mi casa siempre falla y eso me estresa.",1
"Creo que mi jefe no valora mi esfuerzo.",1
"Ando con dolor de espalda por la mala postura.",1
"Me preocupa no poder viajar a ver a mi familia este año.",1
"Estoy un poco triste por la distancia con mis amigos.",1
"El nuevo sistema del trabajo es complicado y me confunde.",1
"No sé cómo decirle que no a mi amiga.",1
"La inflación me tiene pensando en recortar gastos.",1
"Los vecinos hicieron fiesta y no pude dormir nada.",1
"Me siento presionada por mi familia para tener hijos.",1
"El nuevo profesor es muy exigente y me estresa.",1
"Mi celular se dañó y no tengo para arreglarlo.",1
"Estoy preocupado por el examen de manejo.",1
"Ando con la presión arterial un poco alterada.",1
"La discusión con mi pareja me tiene inquieto.",1
"Me aburre mi trabajo de oficina, quiero cambiar.",1
"Los niños están muy inquietos y no sé qué hacer.",1
"El precio de la comida subió demasiado.",1
"Me siento culpable por no visitar a mi abuela.",1
"El nuevo compañero es difícil de tratar.",1
"Estoy preocupada por mi piel, tiene alergias.",1
"El proyecto de la uni se está atrasando.",1
"Mi bici necesita reparación y no tengo dinero.",1
"La presión de ser madre soltera me agota.",1
"No me gusta mi nuevo corte de cabello.",1
"El vecino se queja por cualquier cosa.",1
"Mi hermana y yo discutimos por tonterías.",1
"El tráfico me hace perder tiempo valioso.",1
"Me siento raro, sin ganas de hacer nada.",1
"El nuevo jefe no sabe delegar y nos satura.",1
"Mi gato se lastimó y me tiene preocupado.",1
"El semestre se me complicó con muchas tareas.",1
"La relación con mi hijo adolescente es difícil.",1
"Me da miedo conducir de noche.",1
"El costo de la renta me tiene angustiado.",1
"Mi grupo de amigos cambió mucho y no encajo.",1
"Las noticias siempre son malas y me deprimen.",1
"El nuevo proyecto es muy ambicioso y me asusta.",1
"Mi máquina de coser se descompuso.",1
"Estoy cansada de los mismos chistes de mi marido.",1
"El perro de mi vecino no deja de ladrar.",1
"Me preocupa no poder comprar regalos de navidad.",1
"Mi padre está enfermo y necesito cuidarlo.",1
"El transporte público está muy saturado.",1
"Me siento invisible en mi nuevo trabajo.",1
