text,label
"tengo esa cancion pegada en la cabeza desde la mañana",0
"el disco nuevo esta realmente bueno, lo escuche entero",0
"armando una playlist para el viaje del finde",0
"por fin compre las entradas para el recital",0
"estos auriculares suenan increible, valieron la pena",0
"estoy aprendiendo a tocar la guitarra, de a poco voy mejorando",0
"encontre una banda nueva que me encanto",0
"el festival de este año trajo lineup buenisimo",0
"practicando piano una hora todos los dias",0
"compre un vinilo viejo en la feria, quedo genial en la coleccion",0
"armando una playlist solo con canciones para estudiar",0
"fui al karaoke con mis amigas, nos reimos un monton",0
"esa cancion no me convence tanto la verdad",0
"las entradas del recital estan carisimas este año",0
"escuchando un podcast sobre la historia del rock",0
"componiendo una cancion nueva, todavia le falta la letra",0
"el show en vivo estuvo increible, mejor de lo que esperaba",0
"probando los parlantes nuevos, se escuchan re bien",0
"descubri un genero nuevo que no conocia, me gusto bastante",0
"cantando en el auto todo el viaje con la radio a full",0
"el bajista de la banda es buenisimo, hay que verlo en vivo",0
"armando la playlist de la fiesta del sabado",0
"me anote a clases de canto, arranco la semana que viene",0
"escuchando el nuevo single que saco mi banda favorita",0
"compre un cd usado que hacia rato buscaba",0
"la musica en el bar estaba demasiado fuerte anoche",0
"grabando una version acustica de una cancion conocida",0
"el ultimo album me parecio mejor que el anterior",0
"probando distintos generos mientras cocino",0
"fui a ver una banda tributo el finde, estuvo divertido",0
"armando la lista de canciones para el cumple",0
"aprendiendo a tocar bateria, cuesta mas de lo que pensaba",0
"el recital se extendio dos horas mas de lo planeado",0
"escuchando musica de fondo mientras trabajo, me ayuda a concentrarme",0
"compre entradas para el festival del mes que viene",0
"probando micrfonos nuevos para grabar en casa",0
"esa artista saco un album conceptual bastante interesante",0
"cantando covers con la banda del barrio los sabados",0
"escuchando el disco completo de principio a fin, algo que ya no hago tanto",0
"el sonido del show estuvo un poco flojo la verdad",0
"armando un playlist retro con canciones de los 80",0
"aprendiendo teoria musical basica desde cero",0
"fui a la disquería a buscar un vinilo especifico",0
"la orquesta toco una version distinta de la cancion original",0
"grabando un cover para subir a las redes",0
"probando el nuevo servicio de streaming de musica",0
"el ensayo de la banda se extendio hasta tarde",0
"escuchando la radio vieja mientras hago tramites",0
"compre boletos para dos shows el mismo mes",0
"armando setlist para el show del sabado",0
"descubriendo artistas nuevos gracias a las recomendaciones del playlist",0
