text,label
"tengo parcial de calculo mañana, ya arranque a repasar",0
"el profe corrio la fecha de entrega para el viernes",0
"por fin terminamos el trabajo grupal de sociales",0
"me quedo en la biblioteca toda la tarde estudiando",0
"mi director de tesis me contesto el mail por fin",0
"el comedor de la facu estaba repleto hoy",0
"me inscribi para el cuatrimestre que viene",0
"tengo laboratorio de anatomia esta tarde, primera vez que voy",0
"nos toca defender el proyecto la semana que viene",0
"me anote en el centro de estudiantes de la carrera",0
"el profesor de derecho civil explica bastante rapido",0
"tengo que terminar el paper antes del jueves",0
"la practica de arquitectura salio mejor de lo que pensaba",0
"me becaron para el intercambio del año que viene",0
"tengo cursada de dos materias que se superponen, hay que resolverlo",0
"el grupo de whatsapp de la comision no para de sonar",0
"terminando de armar la maqueta para el taller de mañana",0
"tengo entrevista para la pasantia en el hospital",0
"el profe de historia del arte nos dejo elegir el tema",0
"me anote para rendir el final en la primera fecha",0
"tengo que presentar el avance de tesis en el seminario",0
"nos cambiaron el aula del teorico a ultimo momento",0
"la clase de programacion se hizo eterna hoy",0
"tengo que armar el cronograma de estudio para los finales",0
"me toca practica clinica esta semana en el hospital",0
"el profesor de economia dio la clase mas dinamica que las otras",0
"nos juntamos con el grupo para repasar antes del parcial",0
"tengo que entregar el informe de laboratorio el lunes",0
"me anote en el taller de teatro de la facultad",0
"la clase de anatomia tiene un monton de contenido nuevo",0
"terminando de corregir la monografia antes de entregarla",0
"tengo reunion con mi tutor de tesis a las tres",0
"nos toca presentacion oral la proxima semana en historia",0
"me anote para el congreso de la carrera el mes que viene",0
"el profesor de quimica organica tomo examen sorpresa",0
"tengo que estudiar bastante para el final integrador",0
"la biblioteca cerro mas temprano hoy por mantenimiento",0
"me confirmaron la pasantia en el estudio de arquitectura",0
"terminamos el trabajo practico de bioquimica con lo justo",0
"tengo cursada intensiva esta semana, va a ser larga",0
"me toca rendir el oral de derecho penal mañana",0
"la clase de psicologia social estuvo bastante interesante hoy",0
"nos dieron los resultados del primer parcial",0
"tengo que armar el power para la exposicion del jueves",0
"me anote para el taller optativo de ilustracion",0
"terminando de leer la bibliografia para el seminario",0
"tengo que renovar la beca antes de fin de mes",0
"nos toca laboratorio de fisica doble esta semana",0
"me junte con mis compañeros a estudiar para el final",0
"tengo que entregar el proyecto final de la carrera en dos semanas",0
