text,label
"Cada error en producción me hace pensar que ya no quiero vivir.",3
"Llevo meses intentando sacar este proyecto adelante y siento que ya no vale la pena seguir.",3
"Perdí mi trabajo como desarrollador y creo que todos estarían mejor sin mí.",3
"Hoy volví a romper el sistema y quisiera desaparecer.",3
"Ya no puedo con los bugs, ojalá mañana no despertara.",3
"Mi equipo confía en mí y siento que los decepcioné, ya no quiero seguir.",3
"Después de otro despliegue fallido no veo ninguna salida.",3
"Programar era mi sueño, ahora siento que mi vida ya no tiene sentido.",3
"Cada reunión me recuerda que soy un fracaso y quisiera desaparecer.",3
"Estoy tan agotado con este código que ya no quiero vivir así.",3
"No logro terminar el proyecto y siento que sería mejor no estar aquí.",3
"Mi startup se está hundiendo y ya no encuentro motivos para seguir.",3
"Todos dependen de mí para arreglar el sistema y siento que estarían mejor sin mí.",3
"Cada commit fallido me convence más de que ya no tiene sentido continuar.",3
"No puedo abrir el editor sin pensar que quisiera desaparecer.",3
"Perdí al cliente más importante y ya no veo salida.",3
"Estoy cansado de fingir que puedo con todo, ya no quiero seguir viviendo.",3
"La presión de entregar software me dejó completamente roto.",3
"Cada error nuevo hace que desee no despertar mañana.",3
"Mi síndrome del impostor ya me ganó, siento que no vale la pena seguir.",3
"Ni siquiera puedo escribir una línea de código sin pensar que todo terminó para mí.",3
"Fallé otra entrevista técnica y ya no quiero vivir.",3
"Estoy completamente bloqueado y siento que desaparecer sería más fácil.",3
"Después de tantas noches sin dormir por este proyecto ya no veo ninguna salida.",3
"Mi aplicación volvió a fallar y siento que todos estarían mejor sin mí.",3
"Cada sprint me acerca más a pensar que ya no tiene sentido seguir.",3
"No puedo más con las fechas imposibles, ojalá todo acabara.",3
"El código se volvió una carga que ya no puedo soportar.",3
"Perdí meses desarrollando esto y ahora solo quiero desaparecer.",3
"Me siento un estorbo para el equipo, ya no quiero seguir.",3
"Cada vez que revisan mi código siento que mi vida perdió el sentido.",3
"Estoy agotado de intentar solucionar errores, ya no quiero vivir.",3
"Mi carrera como programador me dejó sin esperanza.",3
"Ya no tengo fuerzas para abrir la laptop, no veo ninguna salida.",3
"Todo el mundo espera que resuelva problemas y siento que soy una carga.",3
"Mi proyecto final fracasó y quisiera no despertar.",3
"No importa cuánto estudie programación, siento que nunca seré suficiente y ya no quiero seguir.",3
"Después del incidente en producción siento que desaparecer sería un alivio.",3
"Ya no puedo con esta presión constante, siento que no vale la pena vivir.",3
"Mi trabajo como desarrollador me consumió por completo.",3
"Cada bug crítico me hace pensar que todos estarían mejor sin mí.",3
"Estoy tan roto por este empleo que ya no quiero seguir luchando.",3
"El bootcamp terminó y siento que fracasé, ya no veo salida.",3
"No logro cumplir con los clientes y quisiera desaparecer.",3
"Me siento completamente derrotado por la programación, ojalá todo terminara.",3
"Cada día frente al monitor pienso menos en el código y más en que ya no quiero vivir.",3
"Ya abandoné todos mis proyectos porque siento que no tiene sentido seguir.",3
"El burnout como desarrollador me dejó sin ganas de existir.",3
"Todo empezó con este trabajo programando y ahora siento que no hay salida.",3
"Estoy convencido de que el equipo estaría mejor sin mí después de tantos errores.",3
