text,label
"Cada turno en el restaurante me hace sentir que ya no tiene sentido seguir viviendo.",3
"Después de cerrar el negocio familiar siento que todos estarían mejor sin mí.",3
"Ya ni entrar a la cocina puedo sin querer desaparecer, ojalá no despertara.",3
"Ese restaurante era nuestro lugar favorito y ahora solo me recuerda que ya no quiero estar aquí.",3
"Trabajo de mesero y los clientes me humillan, ya no veo ninguna salida.",3
"Soy chef y la presión de la cocina me tiene al borde, prefiero no seguir.",3
"El restaurante se fue a la quiebra y con él mis ganas de vivir.",3
"Cada vez que veo la cuenta de la renta del local pienso en no despertar.",3
"Me despidieron del restaurante y siento que soy una carga, mejor desaparezco.",3
"Lavo platos doce horas y ya no quiero seguir viviendo así.",3
"Mi familia tenía un restaurante y lo perdimos, ya no quiero estar aquí.",3
"Atender mesas se volvió una tortura, ya no le veo sentido a nada.",3
"El dueño me grita todos los días y ya no quiero seguir viviendo.",3
"Cocino para otros pero por dentro solo quiero desaparecer.",3
"El olor de la cocina me da náuseas y ganas de no estar más.",3
"Trabajo en un bar y el ruido ya no me deja pensar, solo quiero morir.",3
"Mi restaurante favorito cerró y siento que mi vida también debería terminar.",3
"Soy repartidor de comida y el tráfico me tiene sin ganas de seguir.",3
"Cada propina miserable me recuerda lo poco que valgo, ya no quiero vivir.",3
"La cocina me quemó por dentro y por fuera, ya no quiero seguir.",3
"Estudio gastronomía y la presión me tiene pensando en desaparecer.",3
"Mi pareja me dejó por el restaurante, ya no veo salida.",3
"El chef me humilló frente a todos y ya no quiero estar aquí.",3
"Comer solo en restaurantes me recuerda lo vacío que estoy, ojalá no despertara.",3
"Debo meses de renta del local y siento que todos estarían mejor sin mí.",3
"Cada cliente que se queja me acerca más a la idea de no despertar.",3
"Soy bartender y las noches se volvieron insoportables, ya no quiero vivir.",3
"El restaurante de mi papá quebró y él no lo supera, yo tampoco quiero seguir.",3
"Trabajo en una cadena de comida rápida y ya no soporto la rutina, prefiero desaparecer.",3
"La cocina era mi pasión y ahora es mi condena, ya no quiero estar.",3
"Mi jefe me explota y no tengo fuerzas ni para renunciar, solo quiero desaparecer.",3
"Cada plato que sirvo me recuerda que no merezco estar aquí.",3
"El restaurante está vacío y mi vida también, ya no quiero seguir.",3
"Soy cajera y los clientes me insultan, ya no veo ninguna salida.",3
"La presión de abrir el restaurante cada día me tiene pensando en no despertar.",3
"Perdí a mi socio y el restaurante, ya no le veo sentido a seguir viviendo.",3
"Cocinar para mi familia era sagrado y ahora ni eso me calma, ya no quiero estar.",3
"El turno nocturno me tiene agotado y con pensamientos de desaparecer.",3
"Mi restaurante era mi sueño y ahora solo quiero que todo termine.",3
"Atender a gente feliz me recuerda que yo no lo soy, ya no quiero vivir.",3
"La deuda del restaurante me tiene sin dormir, ojalá no despertara.",3
"Soy lavaplatos y nadie nota que existo, mejor desaparezco.",3
"Cada vez que entro al restaurante siento que ya no hay salida.",3
"El chef me dijo que no sirvo y ahora solo quiero desaparecer.",3
"Mi familia depende del restaurante y siento que los estoy arruinando, ya no quiero seguir.",3
"Comer en restaurantes de lujo me hace sentir más miserable, ya no quiero estar aquí.",3
"Trabajé toda mi vida en restaurantes y ya no le veo sentido a nada.",3
"El olor a comida ya no me consuela, solo me dan ganas de no despertar.",3
"Soy dueño de un restaurante y estoy perdiendo todo, mejor desaparezco.",3
"Cada servicio me acerca más al final, ya no quiero seguir viviendo.",3
