text,label
"Siento que mi familia estaría mejor si yo ya no estuviera, solo les causo problemas.",3
Cada discusión en casa me convence más de que no hay salida para mí.,3
Ojalá mañana no despertara y así dejar de hacer sufrir a mis hijos.,3
"Ya no quiero seguir siendo una carga para mis papás, mejor desaparezco.",3
"Mi esposo me dejó y mis hijos no me necesitan, ya no quiero vivir.",3
"Soy una madre soltera y siento que les arruino la vida a mis niños, ojalá no despertara.",3
"Mis hermanos me odian y mis papás ya no me hablan, ya no tiene sentido seguir.",3
"Cuido a mi mamá enferma y ya no puedo más, solo quiero desaparecer.",3
"Perdí a mi hijo y desde entonces solo quiero estar con él, ya no quiero vivir.",3
"Mi familia me rechaza por ser quien soy, mejor desaparezco para siempre.",3
Cada vez que mi papá me grita siento que no merezco estar aquí.,3
Mi hija no quiere verme y siento que todos estarían mejor sin mí.,3
"Soy una carga para mi familia, ya no quiero seguir viviendo.",3
"Mis padres se divorciaron por mi culpa, ya no veo salida.",3
"Mi abuela murió y era lo único que me quería, ya no quiero estar aquí.",3
"Mi familia me ignora y me siento invisible, ojalá no despertara.",3
"Tengo que cuidar a mis hermanos y ya no puedo con esta vida, prefiero desaparecer.",3
"Mi esposa me engañó y mis hijos están confundidos, ya no quiero seguir.",3
"Soy el fracaso de la familia, todos lo dicen, mejor desaparezco.",3
Cada noche escucho a mis papás pelear y pienso en no despertar.,3
Mi hijo se fue de casa y siento que ya no tengo razón para vivir.,3
"Mi familia me culpó por la muerte de mi hermano, ya no quiero estar aquí.",3
"Soy una abuela que ya no sirve para nada, ojalá no despertara.",3
Mis nietos no me visitan y me siento tan sola que ya no quiero vivir.,3
"Mi papá me pegaba y ahora que no está, igual quiero desaparecer.",3
"Mi mamá prefiere a mi hermano y siento que no valgo nada, ya no quiero seguir.",3
"Me divorcié y mis hijos me odian, mejor desaparezco.",3
"Mi familia me dice que soy un estorbo, ya no quiero estar aquí.",3
"Cuido a mi esposo enfermo y ya no tengo fuerzas, solo quiero que todo termine.",3
Mi hija se mudó lejos y siento que ya no tiene sentido seguir.,3
"Soy una madre adolescente y mi familia me dio la espalda, ojalá no despertara.",3
"Mi padre murió y no pude despedirme, ya no quiero vivir.",3
"Mis suegros me humillan y mi esposo no me defiende, ya no veo salida.",3
"Mi familia está mejor sin mí, se los aseguro, mejor desaparezco.",3
"Cada comida familiar es una tortura, ya no quiero seguir viviendo.",3
Mi hermano se suicidó y a veces siento que debo hacer lo mismo.,3
"Soy un padre que no puede mantener a sus hijos, ya no merezco vivir.",3
"Mi familia me abandonó en el hospital, ya no quiero estar aquí.",3
"Mis hijos me culpan por todo y siento que soy una carga, prefiero desaparecer.",3
"Mi mamá está enferma y no tengo dinero para ayudarla, ya no quiero seguir.",3
"Mi familia me grita que no sirvo, y cada día lo creo más, ojalá no despertara.",3
"Soy un estorbo para todos en mi casa, ya no quiero vivir.",3
"Mi esposo me dijo que estaría mejor sin mí, y tiene razón, mejor desaparezco.",3
"Mis hijos no me llaman y siento que mi vida no tiene sentido, ya no quiero estar.",3
"Mi familia me usó y luego me tiró, ya no veo ninguna salida.",3
"Cada vez que veo a mi familia feliz sin mí, pienso en desaparecer.",3
"Soy una carga económica para mi familia, ya no quiero seguir viviendo.",3
"Mi padre me dijo que ojalá no hubiera nacido, y a veces lo creo, ya no quiero estar aquí.",3
"Mis hermanos tienen éxito y yo soy el fracaso, mejor desaparezco.",3
"Mi familia estaría mejor sin mí, lo sé, ojalá no despertara mañana.",3
"Mis papás pelearon otra vez por mi culpa, creo que estarían mucho mejor si yo dejara de existir.",3
"Desde que perdí a mi hijo mi vida se apagó, quiero irme con él esta misma noche.",3
"Cuidar a mi mamá enferma me vació por completo, ya no tengo fuerzas para seguir viva.",3
"Siento que soy una carga económica enorme para mi familia, la única salida que veo es desaparecer.",3
"El divorcio destruyó a mis hijos y todo es mi culpa, no merezco vivir con este remordimiento.",3
"Mamá, perdón por ser la decepción de la casa, te prometo que desde mañana ya no vas a sufrir por mí.",3
"Los golpes de mi esposo me rompieron el alma, estoy tan cansada que hoy decidí que no voy a despertar mañana.",3
"Mi familia me dio la espalda cuando más los necesitaba, esta soledad me ahoga y voy a terminar con todo.",3
"Siento que le arruiné la vida a mis papás, ojalá un accidente me lleve hoy para dejar de ser un estorbo.",3
"Llevo meses llorando a escondidas para que mis hermanos no me vean, pero ya no aguanto más, me despido.",3
"Mis hijos se olvidaron de mí, envejecer solo es un infierno y ya tomé la firme decisión de no seguir acá.",3
"Soy la oveja negra, nada de lo que hago los enorgullece y sinceramente ya no le veo caso a continuar respirando.",3
"No puedo darle de comer a mis niños, fracasé como padre y lo mejor es que ya no esté en este mundo.",3
Cada grito en esta casa me empuja más a querer desaparecer para siempre.,3
"Mi esposa se llevó a los nenes y mi casa es una tumba, decidí que esta es mi última noche.",3
"Siento que mi única utilidad era mandar plata, me quedé sin trabajo y sin valor para ellos, adiós.",3
"Mi suegra me humilla a diario y mi esposo no dice nada, no tengo a dónde ir y mi única paz será la muerte.",3
"Perdí la custodia de mis hijos, me arrancaron el corazón y ya no tengo ningún motivo para levantarme.",3
"Llevo cuidando a mi abuelo tres años sin ayuda, mi mente colapsó y la única escapatoria que veo es matarme.",3
"Me corrieron de la casa por mi orientación sexual, mi propia sangre me odia y prefiero estar muerto.",3
"La presión que me ponen mis padres para ser perfecto me reventó por dentro, ya no quiero vivir más.",3
"Mi papá falleció hace un mes y no puedo soportar el dolor, me voy a ir con él muy pronto.",3
"Los problemas con la herencia dividieron a todos, el estrés me enfermó y la verdad solo quiero dejar de existir.",3
"Soy una madre soltera que no puede con todo, estoy tan cansada de fallar que ojalá no abriera los ojos nunca más.",3
"Mi hermano me robó todos mis ahorros, la traición me dolió tanto que ya tomé la decisión de acabar con mi vida.",3
Siento que si yo desaparezco mis papás por fin van a poder ser felices y descansar de mis problemas.,3
"Les escribo para pedirles perdón a mis hijos, no fui un buen padre y prefiero quitarme del medio.",3
"La violencia en mi casa es insoportable, estoy aterrorizada y siento que mi única salida es irme de este mundo.",3
"Ser la mayor y criar a mis hermanos me robó la vida, estoy totalmente vacía y hoy decido apagarme por completo.",3
"Mi hija me bloqueó de todos lados, no soporto este rechazo, mi vida terminó el día que me dejó de hablar.",3
"Otra Navidad completamente solo porque nadie de mi familia quiso invitarme, ya entendí que no le importo a nadie, adiós.",3
"Fracasé intentando mantener a mi familia unida, todo se rompió y yo me quiero ir con los pedazos.",3
"Mis papás me comparan todo el tiempo con mi hermana, me odio tanto que tomé la decisión de no despertar mañana.",3
"Me siento un parásito viviendo de mis abuelos a mi edad, voy a hacerles el favor de desaparecer hoy mismo.",3
"Lloro frente a la cuna vacía de mi bebé, el dolor me asfixia y voy a ir a buscarlo al cielo hoy.",3
"La convivencia con mis suegros me volvió loco, ya no aguanto esta agonía constante y decidí terminarla.",3
"Nadie en mi familia cree en mis ataques de pánico, me tratan de loca y la verdad es que prefiero dejar de existir.",3
"Renuncié a mis sueños por cuidar a mi hermana y ella me trata pésimo, estoy tan desgastada que me despido de todo.",3
"Mi esposo me engañó con mi prima, destruyeron mi familia y mi confianza, no me quedan ganas de estar en este mundo.",3
