text,label
Ya no reconozco la ilusión que antes tenía por las cosas simples de la vida.,2
Siento que cargo con demasiadas responsabilidades ahorita.,1
Estoy viendo tutoriales de maquillaje para un evento.,0
Me duele ver la felicidad en los demás y no poder sentirla.,2
Mi profesor de música dijo que toco bien el piano.,0
Ya me cuesta trabajo levantarme sin sentir pereza total.,1
"Ya perdí el gusto por cocinar, algo que antes me relajaba tanto.",2
Mi gato duerme en posiciones muy extrañas.,0
El bebé lloró toda la noche y yo ando funcionando a puro café.,1
Hoy discutí con mi hermano y quedé de mal humor.,1
Las cuentas del mes me tienen algo intranquilo.,1
Siento que estoy soñando despierto pero el sueño es pesadilla.,2
"Ando algo desmotivado con el gimnasio, ya no le hallo el gusto.",1
Se me hace bola todo lo que tengo que entregar antes de fin de mes.,1
Siento que he perdido el rumbo por completo.,2
Se me complicó cuadrar los horarios entre las dos chambas que tengo.,1
La falta de propósito me tiene perdido.,2
Mi compañero de cuarto cocinó algo delicioso hoy.,0
Mi existencia es un error que quiero corregir.,3
Estoy leyendo un libro que me regaló mi abuelo.,0
Ya no hay motivos que valgan la pena para quedarme.,3
"Ya no tengo ánimo ni para cosas que antes hacía sin pensarlo, como salir a caminar.",2
El costo de la luz subió demasiado este mes.,1
Las discusiones en casa me tienen agotado.,1
Ya no tengo fuerzas para seguir este camino.,3
Quiero que mi nombre se borre de todos los recuerdos.,3
Mi mente está en un lugar muy oscuro.,3
"Ando cansado mentalmente, ha sido mucho trabajo seguido.",1
Hoy me sentí un poco ignorado en la junta.,1
"Siento que perdí las ganas de aprender cosas nuevas, todo me da igual.",2
"Quiero que todo se detenga, no puedo más.",3
No hay persona que pueda detener lo que ya decidí.,3
"Estoy viendo una serie nueva, va bien interesante.",0
Siento que arrastro un cansancio que no se va por más que descanse.,2
Me he resignado a vivir en las sombras de lo que fui.,2
El tránsito pesado me tiene de mal humor toda la semana.,1
Las cosas que antes me emocionaban ahora me dejan completamente frío.,2
"Mi perro aprendió un truco nuevo, está bien listo.",0
Últimamente ceno tarde y duermo fatal.,1
El ascenso que esperaba se lo dieron a otro.,1
Mi cama se ha vuelto mi único refugio del mundo exterior.,2
Mi mamá y yo fuimos de compras al mercado.,0
Compré frutas frescas en el mercado hoy.,0
"Ya no soporto más este dolor, quiero que termine todo.",3
Me siento un poco aislado desde que me mudé.,1
El parque cerca de mi casa tiene senderos ideales para caminar y relajarme.,0
"No veo futuro, solo un vacío sin fin.",3
La exposición de arte en el museo es impresionante.,0
Me despierto y lo único que quiero es que el día termine rápido.,2
"Siento que ya cumplí mi ciclo, es hora de irme.",3
Mi corazón está tan pesado que no puede latir.,3
"Ando distraído, no logro enfocarme en lo que hago.",1
No puedo seguir viviendo con esta angustia constante.,3
Mi compañero de piso es muy organizado y agradable.,0
El dolor emocional se ha vuelto tan normal que ya casi no lo distingo.,2
La impresora siempre se atasca y es frustrante.,1
Hoy cociné algo diferente y quedó muy rico.,0
"El jardín de mi casa está lleno de flores coloridas, es hermoso.",0
"El dolor me ha ganado la batalla, ya no tengo fuerzas.",3
Mi corazón ya no tiene fuerzas para seguir.,3
"Compré una playera nueva, me encantó el diseño.",0
El departamento se siente más vacío desde que mi compañero se mudó.,1
Hay días en que ni siquiera tengo fuerzas para contestar un simple mensaje.,2
Ya no encuentro las ganas de esforzarme por algo mejor.,2
Cada vez me distancio más de la gente sin siquiera notarlo del todo.,2
"Mi perro me acompañó a correr esta mañana, fue divertido.",0
Siento que estoy perdiendo mi esencia.,2
La vida ha perdido todo su brillo.,2
Hoy regué las plantas y podé un poco el jardín.,0
Estoy planeando un picnic con mis compañeros de trabajo.,0
Ya no encuentro consuelo ni en las cosas que antes me hacían sentir mejor.,2
Ando con dolor de espalda por la mala postura.,1
Se me hace un mundo levantarme los lunes últimamente.,1
Siento que hago malabares entre el trabajo y la casa.,1
El banco me rechazó el crédito que solicité.,1
Las noches son el único momento en que puedo ser yo mismo.,2
Cada tarde llego a casa sintiendo que no logré nada realmente importante.,2
"El futuro no existe para mí, solo el presente dolor.",3
No quiero ser una molestia para nadie más.,3
Mi primo y yo vamos a jugar fútbol en el parque.,0
Cada meta que alcanzo se siente como un espejismo sin valor.,2
Hoy me sentí un poco fuera de lugar en la reunión.,1
Siento que estoy lleno de grietas por dentro y no sé cómo repararlas.,2
"El tiempo no cura nada, solo me enseña a vivir con el vacío.",2
Mi pareja no entiende mi estrés laboral.,1
Actualicé mi computadora y ahora va más rápido.,0
Siento que soy un estorbo para mi familia últimamente.,2
Mi hermana y yo discutimos por tonterías.,1
El calor y el tráfico combinados me tienen de un humor pesado.,1
Quiero que mi nombre se borre de los recuerdos.,3
"Me cuesta disfrutar de las reuniones familiares, aunque antes las esperaba con ganas.",2
"Esta noche voy a hacerlo, ya no puedo seguir así.",3
"Siento que todo mi esfuerzo es en vano, nada cambia realmente.",2
Mi mente está en un lugar del que no puedo salir.,3
Los exámenes finales me tienen comiendo mal y durmiendo peor.,1
Se me hizo pesado el regreso a clases después de tanto tiempo en casa.,1
La esperanza se fue hace tiempo y no creo que vuelva.,2
"Todo lo que toco se desmorona, ya no hay esperanza.",3
"Ya no tengo la costumbre de esperar días mejores, simplemente dejo pasar el tiempo.",2
Siento que perdí las ganas de cuidar de mí mismo.,2
Mi vida es un libro que quiero cerrar para siempre.,3
Quiero desconectarme de todo para siempre.,3
Todo me parece un ritual vacío que repito sin sentido.,2
Me siento culpable por no visitar a mi abuela.,1
Quiero que el tiempo se detenga y me lleve.,3
"Siento un vacío que no sé cómo llenar, haga lo que haga.",2
El taller de escritura me tiene muy creativa.,0
Mi mamá me llamó nada más para platicar un rato.,0
La oscuridad me envuelve y ya no quiero luchar.,3
No hay esperanza para alguien como yo.,3
Siento que todo mi esfuerzo es en vano.,2
Ya no quiero ser una carga para nadie.,3
"No quiero despertar, prefiero quedarme dormido.",3
Compré un nuevo set de LEGO para armar con mi hermano.,0
Mi corazón está tan roto que no puede repararse.,3
Quiero que el olvido me envuelva para siempre.,3
Estoy planeando un viaje a la playa con mis amigos para el próximo fin de semana.,0
Cada mañana me pesa más el hecho de tener que levantarme.,2
Ya no encuentro las ganas de compartir lo que me pasa con nadie.,2
Ando preocupado por la salud de mi abuela.,1
Estoy viendo videos de viajes para inspirarme.,0
Mi existencia es una carga que quiero soltar.,3
"Extraño la universidad, ahora que trabajo siento que no tengo vida social.",1
"Cada conversación se siente forzada, como si ya no tuviera nada que aportar.",2
"Ya no importa nada, todo ha perdido su sentido.",3
Ya no quiero ser parte de este mundo cruel.,3
"Estoy disfrutando mucho mi nuevo trabajo, el equipo es genial.",0
Cada conversación me parece un esfuerzo enorme que no vale la pena.,2
Siento que no avanzo con mis proyectos personales.,1
"La vida perdió su sabor, todo me sabe a nada.",2
Siento que todos los caminos llevan a ningún lado.,2
Hoy probamos un juego de mesa nuevo en familia.,0
Mi hermana me trajo un regalo de su viaje.,0
El dolor me ha consumido y no queda nada.,3
Me tiemblan un poco las manos antes de las llamadas importantes.,1
"El cansancio me ganó la partida, ya no juego más.",3
Me da miedo conducir de noche.,1
Ya no encuentro sentido a seguir esforzándome tanto.,2
El cansancio de vivir es más fuerte que yo.,3
Me siento un poco desanimado con mi proyecto personal.,1
Ando cuidando cada peso porque el sueldo no alcanza como antes.,1
¡Qué emoción! Mañana empiezan las vacaciones con toda la familia.,0
Siento que decepciono a todos a mi alrededor sin importar qué haga.,2
"Quiero que todo termine, no puedo más con esto.",3
No logro desconectarme del trabajo ni cuando estoy con la familia.,1
"Hoy conocí un café nuevo con mi mejor amiga, muy acogedor.",0
"Me siento como un árbol sin raíces, sin nada que me sostenga.",2
La desesperación me ha consumido por completo.,3
Cada vez me cuesta más fingir que todo marcha bien en el trabajo.,2
Estoy preocupado por los estudios de mi hijo.,1
"Siento que estoy viendo mi vida desde afuera, sin poder participar.",2
Siento que necesito unos días libres ya.,1
Cada vez me cuesta más encontrar algo que valga la pena celebrar.,2
El sufrimiento es mi única realidad y no la soporto.,3
No he podido ponerme al corriente con las lecturas de la clase.,1
Mi hija hizo un dibujo bien bonito en la escuela.,0
"Ya no siento emoción por nada, ni siquiera por lo que antes amaba.",2
Me pregunto si algún día volveré a sentir alegría de verdad.,2
Ya no sé cómo organizarme entre los niños y el trabajo desde casa.,1
El dolor me ha mostrado que no hay alternativa.,3
Quiero que todo esto termine de una buena vez.,3
