text,label
"Llevo semanas despertándome con dolor de estómago antes de salir para el colegio, ya no puedo con estos nervios",2
"Miro el pizarrón durante horas y no logro retener ni una sola palabra, siento la cabeza completamente nublada",2
Ayer me puse a llorar en el baño del colegio porque me entregaron otra prueba desaprobada y ya no sé cómo estudiar,2
"Hace dos meses que no duermo bien pensando en que voy a perder la beca, vivo con taquicardia constante",2
"Siento que estudio hasta la madrugada todos los días y aun así no logro aprobar, me siento súper incapaz",2
"Ya no me da la cabeza para abrir la mochila al llegar a casa, me quedo mirando la nada sintiendo un cansancio horrible",2
"La burla constante de mis compañeros en los recreos me tiene destruido el ánimo, voy a clases con un nudo en la garganta",2
Mis notas se fueron a pique este trimestre y por más que intento repasar los textos no se me queda nada grabado,2
"Llevo semanas sintiendo una angustia que no se me va, cualquier tarea simple del colegio se me hace un mundo imposible",2
Cada mañana que suena la alarma para ir al liceo siento que el cuerpo me pesa mil kilos de pura tristeza,2
"Me aislé por completo de todos en el curso, no tengo ganas de hablar ni de fingir que no estoy pasándola mal",2
El profesor me humilla cada vez que paso al frente y ahora me tiemblan las manos cada vez que toma asistencia,2
"Hace meses que perdí la motivación por aprender, antes me gustaba leer y ahora odio agarrar un cuaderno",2
"Me la paso llorando de noche pensando en los exámenes finales, siento que la presión de mis papás me asfixia",2
"Tengo el estómago cerrado hace días por la angustia de los parciales, casi no puedo comer nada al mediodía",2
"Siento un bloqueo mental constante en el aula, me pongo a temblar cada vez que reparten las hojas de examen",2
Llevo semanas postergando entregas porque me siento paralizado por el miedo a que todo lo que haga esté mal,2
"No logro conectar con nada de lo que explican, siento que estoy flotando en el aula mientras todos avanzan menos yo",2
El estrés acumulado por el colegio me está provocando migrañas insoportables casi todos los días 😔,2
"Siento que me esfuerzo al máximo pero mi rendimiento sigue cayendo, la impotencia me come la cabeza",2
"Tengo pánico de entrar al salón de clases por el grupito que no para de hostigarme, ya no sé a quién pedir ayuda",2
"Me quedo horas sentado frente a la tarea sin poder escribir una sola oración, el agotamiento me tiene colapsado",2
"Llevo un mes sintiendo una apatía total por la escuela, no me importa si apruebo o no y eso me asusta un poco",2
Ayer me dio un ataque de llanto en medio del recreo porque no aguantaba más la sobrecarga de trabajos prácticos,2
"Siento una presión en el pecho permanente desde que arrancó el año escolar, no tengo un solo día de paz",2
"No tengo energía ni para levantarme de la cama para ir a educación física, el cansancio mental me liquidó",2
"Me da terror que mis papás vean el boletín este trimestre, el miedo a decepcionarlos me tiene sin dormir",2
"Llevo semanas con insomnio repasando fórmulas en la cabeza, cierro los ojos y sigo viendo hojas de ejercicios",2
Siento que estoy defraudando a todos con mis calificaciones pero de verdad no me da más la capacidad mental,2
"Me tiemblan las piernas cada vez que tengo que exponer oralmente frente a la clase, la ansiedad me paraliza por completo",2
Ya no disfruto las tardes libres porque la culpa de tener materias atrasadas me come el cerebro todo el tiempo,2
Siento un desgano tan profundo por el colegio que hasta copiar del pizarrón me parece un esfuerzo sobrehumano,2
"Hace dos meses que vivo con miedo constante a que me dejen de año, estoy quemadísimo de tanto estrés",2
"Me cuesta un montón respirar hondo cuando entro por la puerta de la escuela, la angustia me cierra la garganta",2
"No entiendo cómo hacen mis compañeros para seguir el ritmo, yo siento que me estoy ahogando entre tantas materias",2
Llego del colegio tan agotado anímicamente que me tiro a dormir la siesta y me despierto sintiéndome igual de mal,2
"Siento que perdí la memoria por completo, leo el mismo párrafo diez veces y a los dos minutos no sé qué leí",2
"El acoso en el aula no frena y las autoridades no hacen nada, cada día que piso el colegio es un suplicio",2
Me invade una tristeza enorme cada domingo a la tarde sabiendo que arranca otra semana entera de clases,2
"Llevo semanas sintiéndome el más tonto del curso, la frustración académica me tiene el autoestima por el piso",2
