text,label
Hace meses que ya no disfruto dibujar como antes.,2
Intento retomar mis pasatiempos cada fin de semana y siempre los dejo a medias.,2
"Antes esperaba con emoción mi tiempo libre, ahora ningún hobby logra motivarme.",2
Llevo semanas tratando de pintar algo y termino dejando el pincel a un lado.,2
Ni siquiera la fotografía consigue despejarme últimamente.,2
Cada vez que saco mis materiales para manualidades termino sintiéndome agotado.,2
Desde hace meses mis hobbies se sienten como otra obligación.,2
Ya no logro concentrarme cuando intento hacer algo que antes me encantaba.,2
Me frustra que mis pasatiempos ya no me hagan sentir tranquilo.,2
"Antes podía pasar horas con mi colección, ahora ni ganas me dan de verla.",2
Últimamente empiezo cualquier proyecto creativo y lo abandono rápido.,2
Mi guitarra lleva meses guardada porque no encuentro energía para tocar.,2
Extraño cuando mis hobbies realmente me ayudaban a relajarme.,2
Intento tejer un rato pero termino más cansado mentalmente.,2
Llevo semanas sin avanzar en mi maqueta porque simplemente no puedo enfocarme.,2
Cada vez que intento escribir por gusto siento la mente completamente bloqueada.,2
Mi jardín necesita atención y aun así no encuentro motivación para cuidarlo.,2
"Antes hacer rompecabezas me relajaba, ahora pierdo la paciencia enseguida.",2
Ya ni salir a tomar fotos me emociona como antes.,2
Me cuesta aceptar que hasta mis hobbies dejaron de darme alegría.,2
Hace meses que compro materiales para pintar y siguen sin usarse.,2
"Intento cocinar recetas nuevas por diversión, pero termino dejándolo porque me siento agotado.",2
"Mi colección de figuras sigue creciendo, pero ya ni disfruto acomodarla.",2
Últimamente cualquier actividad recreativa me deja sin energía.,2
Paso más tiempo pensando en empezar mi hobby que realmente haciéndolo.,2
"Cada intento de volver a escribir en mi diario creativo termina igual, abandono a los pocos minutos.",2
"Antes bordar me ayudaba a despejarme, ahora no logro mantener la atención.",2
Llevo meses sin terminar un solo proyecto personal.,2
Mis fines de semana ya no se sienten como descanso porque ni mis hobbies disfruto.,2
"Me siento frustrado porque sé que quiero volver a crear, pero algo siempre me detiene.",2
Ni mis videojuegos favoritos logran hacerme desconectar últimamente.,2
Cada vez que abro mi cuaderno de dibujo me quedo mirando la hoja en blanco.,2
Me cuesta muchísimo concentrarme incluso haciendo cosas que antes amaba.,2
Desde hace semanas siento que perdí toda la creatividad.,2
"Quería volver a tocar el piano, pero después de unos minutos me siento completamente drenado.",2
"Mis plantas siguen ahí, pero ya no tengo ánimo para cuidarlas como antes.",2
"Antes el modelismo era mi escape, ahora se siente pesado.",2
Me preocupa haber perdido el interés por casi todos mis pasatiempos.,2
"Intento hacer cerámica otra vez, pero abandono la pieza antes de terminarla.",2
Ya no recuerdo cuándo fue la última vez que disfruté un hobby sin sentirme agotado.,2
Cada proyecto personal se me hace enorme desde hace meses.,2
Me cuesta mantener la concentración hasta para armar un rompecabezas pequeño.,2
"Antes esperaba terminar de trabajar para dedicarme a mis hobbies, ahora solo quiero acostarme.",2
Mi cámara tiene semanas guardada porque simplemente no tengo ganas de salir a fotografiar.,2
Últimamente siento que hago mis hobbies por costumbre y no porque los disfrute.,2
Me toma muchísimo esfuerzo empezar cualquier actividad recreativa.,2
Ni aprender cosas nuevas por gusto logra emocionarme ya.,2
Cada vez que intento volver a mis pasatiempos termino con más cansancio mental.,2
Hace meses que mi tiempo libre dejó de sentirse realmente libre.,2
"Quiero recuperar las ganas de disfrutar mis hobbies, pero llevo mucho tiempo sintiéndome igual.",2
"Llevo meses con los pinceles secos, intento pintar pero siento un vacío enorme y termino llorando frente al lienzo",2
"Antes me pasaba horas tejiendo para relajarme, ahora agarro las agujas y me da una ansiedad que me asfixia",2
"Tengo la cámara de fotos guardada hace semanas, salgo a caminar pero ya no le veo belleza a nada",2
"Siento que perdí la pasión por la carpintería, entro al taller y me quedo mirando las herramientas con una tristeza pesadísima",2
"Hace dos meses que no riego mi huerta, se me murieron casi todas las plantas porque no tengo energía ni para levantarme",2
"Me anoté en las clases de cerámica que tanto quería y ayer falté por tercera vez, no me da el cuerpo de tanta fatiga mental",2
Intento armar los legos para desconectar pero a los diez minutos los guardo porque no siento absolutamente nada,2
"Tengo el telescopio juntando polvo, antes me amanecía mirando las estrellas y hoy la apatía me tiene atrapado en la cama",2
"Siento un nudo en la garganta cada vez que veo mi colección de figuras, le dediqué años y ahora me genera una indiferencia que duele",2
Llevo semanas intentando hacer una simple receta de repostería y termino dejando todo a la mitad por el cansancio extremo,2
"Ayer intenté retomar el bordado y me temblaban tanto las manos de la tensión que tuve que dejarlo, me siento re inútil 😔",2
"Me regalaron acuarelas nuevas para ver si me animaba, pero la depresión me tiene tan mal que ni siquiera abrí la caja",2
"Hace meses que armar rompecabezas dejó de ser mi escape, miro las piezas y la cabeza me da mil vueltas llenas de culpa",2
"Antes disfrutaba armar maquetas los domingos, ahora ese día es una tortura porque la angustia no me deja concentrarme",2
"Siento que el ajedrez me quema la cabeza, me anoto en torneos online y abandono las partidas por los ataques de ansiedad",2
"Llevo un mes sin escribir una sola línea de mi novela, el bloqueo creativo sumado a este bajón anímico me destruyó la autoestima",2
"Me cuesta horrores ir a mis clases de baile, la música suena pero mi cuerpo pesa toneladas y no logro conectar con nada",2
"Tengo la bici colgada en el balcón hace medio año, la idea de salir a pedalear me agota mentalmente antes de empezar",2
"Hace semanas que coleccionar cartas me parece una pérdida de tiempo, ya no encuentro motivación en mis pasatiempos",2
Intenté hacer origamis para calmar los ataques de pánico pero la frustración me gana y termino rompiendo los papeles,2
Me aíslo de mi grupo de rol de los sábados porque me da vergüenza que me vean tan apagado y sin chispa para jugar,2
"El insomnio me tiene tan desgastado que hasta mirar mi acuario, que antes me daba mucha paz, ahora me irrita sin sentido",2
"Siento una opresión constante en el pecho cuando trato de restaurar los muebles viejos, la falta de ganas me paraliza por completo",2
"Llevo semanas con el torno de alfarería apagado, siento que mis manos perdieron la magia y mi mente está demasiado oscura",2
"Antes armaba circuitos de robótica por diversión, hoy ver los componentes me genera un rechazo físico y unas ganas de llorar tremendas",2
"Mis amigos me invitan a jugar juegos de mesa y siempre cancelo, no soporto fingir interés cuando por dentro estoy totalmente roto",2
"Hace dos meses que no avanzo con el diorama, lo miro en el escritorio y siento una tristeza gris que me acompaña a todos lados",2
Intenté pintar mandalas para bajar el estrés del laburo pero mi cabeza sigue maquinando cosas horribles y no logro relajarme,2
"Llevo un mes sin editar los videos de mis viajes, la computadora me da ansiedad y el hobby se volvió una carga insoportable",2
"Siento que la cocina de autor dejó de ser mi lugar seguro, prendo el horno y me quedo paralizado por la fatiga emocional",2
Ayer quise coser un vestido que tenía a medias y terminé desarmando todo de la pura bronca e impotencia que siento todos los días,2
"Me da pánico volver a la pista de patinaje, la inseguridad y el agotamiento crónico me quitaron todo el placer de patinar",2
"Hace semanas que no logro disfrutar del aeromodelismo, el pegamento se me seca mientras me quedo mirando a la nada sintiendo un vacío enorme",2
"Dejé de hacer mi propio pan los fines de semana, amasar me pide una energía vital que la tristeza me robó por completo",2
"Siento un hastío tremendo por la caligrafía, algo que me relajaba tanto hoy me parece una tarea titánica que no puedo afrontar",2
"Llevo meses sin poder completar ni un solo crucigrama, mi cerebro está tan colapsado por el estrés que no proceso las palabras",2
"Me duele ver cómo mis herramientas de cuero se oxidan, la apatía que tengo es tan fuerte que no puedo ni sentarme en el taller",2
"Intenté volver a la jardinería pero tocar la tierra me generó una crisis de llanto incontrolable, me siento súper frágil",2
"Hace un mes que no pinto miniaturas, el pulso me falla por los nervios constantes y la frustración me tira a la cama todo el finde",2
"Siento que me apagué, la magia que sentía al coleccionar antigüedades desapareció y ahora solo veo objetos que no me dicen nada",2
"Llevo semanas evitando ir al taller de teatro, la idea de interactuar y poner el cuerpo me detona unos ataques de ansiedad asfixiantes",2
Ayer intenté retomar el tejido a crochet para no pensar tanto y a los cinco minutos sentí que me faltaba el aire,2
"Mi interés por la astronomía se esfumó, salgo al patio de noche y solo siento una soledad y un cansancio que me hunden",2
"Hace meses que la costura no me saca de esta depresión, veo las telas y siento que mi vida no tiene sentido ni propósito",2
"El desgaste mental me arruinó el scrapbooking, quiero armar páginas lindas pero mi mente solo proyecta recuerdos dolorosos",2
"Siento una desconexión total con el yoga, que era mi hobby principal, me acuesto en el mat y lloro de puro agotamiento acumulado",2
"Llevo un mes sin revelar fotos analógicas, el cuarto oscuro me encierra con mis peores pensamientos y me da terror entrar",2
"Me da mucha culpa ver mi equipo de senderismo juntando polvo, sé que salir me haría bien pero la angustia no me deja cruzar la puerta",2
"Hace semanas que dejé de encuadernar libretas, las manos me pesan y siento una tristeza constante que me ahoga la creatividad",2
Termino mis días tan drenado emocionalmente que mi único pasatiempo ahora es mirar la pared esperando que se me pase este dolor,2
