text,label
Llevo meses intentando ver películas y ya ninguna logra distraerme.,2
"Antes esperaba el fin de semana para hacer maratones, ahora apago la película a los pocos minutos.",2
Últimamente no puedo concentrarme ni en una película que antes me habría encantado.,2
Hace semanas pongo películas solo para tener ruido de fondo porque ya ni las sigo.,2
Las historias ya no logran atraparme y eso me tiene preocupado desde hace tiempo.,2
Cada vez abandono más películas a la mitad porque mi cabeza no da para seguir la trama.,2
"Llevo meses viendo el catálogo sin decidirme por nada, todo me da igual.",2
Ni las películas que eran mis favoritas consiguen emocionarme ahora.,2
Últimamente veo una película y al terminar siento el mismo agotamiento de siempre.,2
"Antes el cine era mi escape, ahora ni eso me ayuda a desconectarme.",2
"Me cuesta muchísimo seguir una historia completa, mi mente se va todo el tiempo.",2
Hace meses intento disfrutar una noche de películas y nunca lo consigo.,2
Las reuniones para ver películas con mis amigos ya hasta las evito porque no las disfruto.,2
Cada vez que pongo una película termino viendo el celular sin prestar atención.,2
Últimamente siento que ver películas se volvió otra cosa que hago por costumbre.,2
Llevo semanas tratando de terminar una película y siempre la dejo pendiente.,2
Ni las películas nuevas logran despertar el interés que antes tenía.,2
Me siento demasiado cansado para seguir cualquier trama después de unos minutos.,2
"Antes podía ver dos películas seguidas, ahora ni una completa termino.",2
Las plataformas tienen miles de opciones y aun así no encuentro ganas de ver nada.,2
"Últimamente las películas solo sirven para intentar distraerme un rato, pero no funciona.",2
Desde hace meses todo lo que veo me deja con la misma sensación de vacío emocional.,2
Me cuesta concentrarme tanto que tengo que regresar escenas una y otra vez.,2
Ya ni recuerdo cuándo fue la última vez que disfruté una película de verdad.,2
Ver cine era mi hobby favorito y siento que lo fui perdiendo poco a poco.,2
Cada película que empiezo termina siendo otra que abandono sin terminar.,2
Llevo tanto tiempo sintiéndome agotado que ni una buena historia logra engancharme.,2
Me invitan al cine y casi siempre invento una excusa porque sé que no lo voy a disfrutar.,2
Las noches de películas ya no me ayudan a relajarme como antes.,2
Paso más tiempo buscando qué ver que viendo algo completo.,2
Últimamente hasta las películas más recomendadas se me hacen pesadas.,2
"Antes lloraba o me emocionaba con las películas, ahora casi no siento nada al verlas.",2
Mi cabeza está tan saturada que no puedo seguir los diálogos con atención.,2
"Llevo meses usando películas para distraerme del estrés, pero termino igual de agotado.",2
Ya no logro conectar con los personajes aunque la historia sea buena.,2
Cada vez que intento hacer un maratón termino apagando la televisión antes de tiempo.,2
Me frustra no disfrutar algo que siempre había sido importante para mí.,2
Últimamente necesito pausar la película muchas veces porque pierdo el hilo.,2
Hasta las películas que esperaba con emoción se sienten pesadas ahora.,2
Me cuesta mantener la atención durante toda una función y eso nunca me había pasado.,2
"Antes salir al cine era un plan que me emocionaba, ahora me da igual.",2
Desde hace semanas pongo una película y a los veinte minutos ya estoy completamente desconectado.,2
"No importa el género, todas las películas me dejan con la misma sensación de cansancio.",2
Mi pareja nota que ya no disfruto las noches de cine como antes.,2
Paso horas frente al streaming sin poder decidir qué ver y termino apagándolo todo.,2
Últimamente ni las comedias logran sacarme del agotamiento que traigo.,2
Siento que perdí la capacidad de disfrutar una buena película desde hace meses.,2
Ver películas era mi forma de descansar y ahora hasta eso me cuesta.,2
Cada intento de distraerme con cine termina igual porque no logro involucrarme en la historia.,2
Llevo demasiado tiempo sintiendo que las películas dejaron de provocar algo en mí y eso ya afecta hasta cómo paso mi tiempo libre.,2
"Llevo semanas poniendo películas de fondo solo para no escuchar el silencio, pero mi cabeza no para de maquinar",2
"Antes me encantaba ir al cine los findes, hace meses que cancelo todos los planes porque no tengo energía ni para fingir que disfruto la peli",2
"Trato de ver algo en Netflix para desconectar un rato, pero a los 10 minutos me largo a llorar por la angustia que traigo acumulada",2
"Siento una apatía tan grande que ayer quise ver mi película favorita y no sentí absolutamente nada, me asusta estar así",2
"Paso horas scrolleando el catálogo de streaming de madrugada porque el insomnio me está matando, pero no le doy play a nada",2
"Últimamente no logro seguir el hilo de ninguna trama, mi cerebro está tan quemado por el estrés que me olvido de lo que vi a los cinco minutos",2
"Mis amigos me invitan a ver estrenos y siempre invento excusas, la verdad es que salir de la cama me cuesta un esfuerzo sobrehumano",2
"Puse una comedia para ver si se me pasaba este nudo en el pecho y terminé llorando igual, llevo semanas sintiéndome miserable",2
"Ya ni siquiera puedo terminar una película de hora y media, el agotamiento mental que tengo me hace apagar la tele por la mitad",2
"Me paso las noches viendo películas viejas en automático, no me divierten pero me aterran mis propios pensamientos si apago todo",2
"Hace dos meses que ir al cine me genera fobia, me da pánico estar encerrado con tanta gente cuando por dentro estoy colapsando",2
"Siento que perdí mi identidad, antes era el cinéfilo del grupo y ahora ver una película me parece una tarea titánica e inútil",2
"Pongo películas de terror a la madrugada para ver si logro sentir algo distinto a esta tristeza constante, pero sigo igual de vacío",2
"Llevo un mes sin poder concentrarme en los subtítulos, leo las palabras pero no entiendo qué está pasando en la pantalla",2
Ayer intenté ver una peli romántica con mi pareja y tuve que irme a encerrar al baño porque la angustia me estaba asfixiando,2
"El cansancio crónico me tiene mal, me duermo a los cinco minutos de cualquier película no por sueño sino porque mi cuerpo no da más",2
"Últimamente uso las películas como un anestésico, me encierro a oscuras a ver cualquier cosa con tal de aislarme del mundo real",2
Mis hijos me pidieron ver una película animada y me costó horrores no quebrar en llanto frente a ellos del cansancio emocional que manejo,2
"Hace semanas que pago las plataformas de streaming al pedo, entro, miro los pósters y siento una pesadez tan grande que termino apagando",2
"Traté de ir al cine a ver si me despejaba un poco la cabeza de los problemas, pero me pasé las dos horas maquinando con taquicardia",2
Siento un desgano tan profundo que hasta agarrar el control remoto para poner una peli me parece un esfuerzo que no puedo sostener,2
"Llevo meses usando el ruido de las películas de acción para tapar mi propia ansiedad, vivo en un estado de alerta constante",2
"Ayer me invitaron a una maratón de Star Wars y me inventé que estaba enfermo, la depresión me tiene aislado hasta de las cosas que amaba",2
Veo a la gente en el cine riéndose y me pregunto cuándo fue la última vez que yo pude disfrutar algo así con la mente en blanco,2
"La falta de concentración me está arruinando todo, tengo que retroceder la película cada diez minutos porque mi mente se va a lugares oscuros",2
"Siento que el cine ya no me salva como antes, llevo semanas intentando encontrar consuelo en mis pelis de confort y me siento igual de roto",2
