text,label
Desde que me lesioné siento que ya no quiero vivir.,3
Perdí mi beca deportiva y creo que ya no tiene sentido seguir.,3
Cada entrenamiento me recuerda que sería mejor desaparecer.,3
El deporte era toda mi vida y ahora siento que todos estarían mejor sin mí.,3
Ojalá mañana no despertara y dejara atrás todo esto del deporte.,3
No veo ninguna salida desde que me dijeron que no volveré a competir.,3
Mi carrera como atleta terminó y ya no quiero seguir viviendo.,3
Fallé otra competencia y siento que mi vida perdió el sentido.,3
"Me esfuerzo todos los días, pero solo pienso en desaparecer.",3
Cada vez que entro al gimnasio siento que ya no vale la pena seguir.,3
Mi entrenador ya perdió la fe en mí y creo que todos estarían mejor sin mí.,3
"Estoy cansado de decepcionar al equipo, ya no quiero vivir.",3
La rehabilitación no avanza y quisiera desaparecer.,3
Desde que me sacaron de la selección ya no veo ningún futuro.,3
"El atletismo era lo único que me sostenía, ahora no quiero seguir.",3
Cada partido perdido me hace pensar que ojalá no despertara.,3
"Ya no puedo soportar la presión de competir, no veo salida.",3
Perdí mi lugar en el equipo y siento que sería mejor no estar aquí.,3
"Ni entrenar logra distraerme, ya no quiero vivir.",3
Después de tantas derrotas siento que ya no tiene sentido continuar.,3
Me rompí la rodilla y con eso también se rompieron mis ganas de seguir.,3
Todos esperaban mucho de mí como deportista y solo los decepcioné.,3
"Estoy agotado de luchar por regresar, quisiera desaparecer.",3
Cada competencia me deja pensando que ya no vale la pena vivir.,3
Mi sueño deportivo terminó y no encuentro ninguna salida.,3
"El entrenador dice que sea fuerte, pero yo ya no quiero seguir.",3
"Me siento una carga para mi equipo, estarían mejor sin mí.",3
Perder otra final me dejó sin ganas de seguir viviendo.,3
Ya no puedo mirar mis medallas sin pensar que todo terminó.,3
El deporte me dio todo y ahora siento que ya no me queda nada.,3
Estoy tan cansado de fallar que ojalá mañana no despertara.,3
"Cada entrenamiento se siente vacío, quisiera desaparecer.",3
Mi retiro forzado me hizo sentir que mi vida ya no tiene sentido.,3
"No logro aceptar que nunca volveré a competir, ya no veo salida.",3
Me alejé de mis compañeros y ya no quiero seguir luchando.,3
Cada dolor físico me recuerda que perdí mi vida deportiva.,3
"Estoy completamente roto desde que terminó mi carrera, ya no quiero vivir.",3
La presión por ganar me dejó sin esperanza.,3
"Ya no puedo soportar otra competencia, siento que desaparecer sería más fácil.",3
Mi familia hizo tantos sacrificios por mi deporte y siento que los fallé.,3
El fútbol era mi identidad y ahora siento que todos estarían mejor sin mí.,3
"No importa cuánto entrene, ya no encuentro motivos para seguir.",3
Perdí mi oportunidad olímpica y creo que ya no tiene sentido vivir.,3
Cada vez que veo competir a otros deseo simplemente desaparecer.,3
Estoy cansado de fingir que estoy bien después de abandonar el deporte.,3
"Ni mis compañeros notan lo mal que estoy, ya no quiero seguir.",3
Todo empezó con una lesión y ahora siento que no hay salida.,3
El deporte dejó de darme fuerzas y ahora solo quisiera no despertar.,3
"No puedo imaginar un futuro fuera de las competencias, ya no quiero vivir.",3
Después de perderlo todo en el deporte siento que desaparecer sería un alivio.,3
"El médico me confirmó la rotura de ligamentos, se acabó mi carrera y también mis ganas de seguir viviendo",3
"Perder la final de esa forma me destruyó, siento que no valgo nada y lo mejor es que ya no esté acá",3
"El entrenador me dijo que soy un inútil, mi vida era el básquet y sin eso no veo ninguna salida más que morir",3
"Me quitaron la beca deportiva en la universidad, le fallé a mis papás y tomé la decisión de desaparecer",3
"La gimnasia me dejó el cuerpo roto y el alma vacía, estoy tan cansada que solo quiero apagarme para siempre",3
"Llevo tres años intentando volver a la selección de natación y sigo estancado, ya no tiene sentido continuar con esta vida",3
"Me echaron del club, era mi única familia, les pido perdón pero no tengo fuerzas para seguir existiendo así",3
"Errar ese penal nos costó el campeonato, el odio en las redes es tanto que decidí quitarme la vida esta noche",3
"Mi carrera como boxeador está terminada por el desprendimiento de retina, no sirvo para nada más y me quiero morir",3
"El desgaste del alto rendimiento me quemó la cabeza, ojalá mañana no me despierte para dejar de sentir esta agonía",3
"No pasé la prueba para el equipo de primera, soy la decepción de la casa y prefiero estar muerto antes que verles la cara",3
"La lesión en la espalda es crónica, ya no podré levantar pesas nunca más, mi vida perdió el sentido y me despido",3
"Siento que mis compañeros del plantel me odian por mis errores, todos estarían mejor si yo dejara de ser un estorbo",3
"El retiro me pegó durísimo, sin el rugby soy un don nadie, no encuentro motivos para seguir respirando",3
"Perdí a mi único patrocinador, el sueño olímpico se murió y yo quiero irme con él",3
"Me obligan a competir infiltrada pero ya no doy más del dolor, mi única paz será la muerte",3
"Hice el peor tiempo de la historia en la pista, la vergüenza me asfixia y ya tomé la decisión de terminar con todo esto",3
"Renuncié al equipo nacional porque la presión me destrozó, pero ahora me doy cuenta de que no sé vivir sin eso, adiós",3
"Soy el capitán y hundí al barco, el descenso es toda mi culpa, no merezco vivir",3
