text,label
Hace meses que me estoy alejando de todos mis amigos y ni sé cómo volver a acercarme.,2
Ya casi no respondo los mensajes de mis amigos porque no tengo energía para conversar.,2
"Extraño cómo eran mis amistades antes, ahora todo se siente distante.",2
Desde hace semanas me cuesta confiar en mis amigos después de varios problemas.,2
Cada reunión con mis amigos me deja emocionalmente agotado.,2
Últimamente prefiero quedarme solo aunque sé que me estoy aislando de mis amigos.,2
Llevo meses sintiéndome fuera de lugar incluso cuando estoy con mis amigos.,2
"Mis amistades siguen invitándome a salir, pero ya casi nunca acepto.",2
Me cuesta mantener conversaciones con mis amigos porque mi cabeza siempre está en otro lado.,2
Hace tiempo que siento que perdí la conexión con mi grupo de amigos.,2
Cada vez me cuesta más trabajo escribirle a mis amigos aunque quiera hacerlo.,2
Desde hace meses las amistades se sienten como un esfuerzo enorme para mí.,2
Me preocupa estar alejándome de mis amigos sin darme cuenta.,2
"Antes hablaba todos los días con ellos, ahora pasan semanas sin que responda.",2
Siento que ya no disfruto las salidas con mis amigos como antes.,2
Últimamente cualquier plan con mis amigos me deja completamente drenado.,2
Me siento culpable porque siempre cancelo las reuniones con mis amigos.,2
Llevo semanas ignorando el chat del grupo porque no tengo ánimo para participar.,2
"Mis amigos intentan incluirme, pero sigo sintiéndome desconectado.",2
Cada vez que pienso en socializar con mis amigos termino sintiéndome agotado.,2
Hace meses que la distancia con mis amigos también está afectando mi concentración.,2
"Extraño reír con mis amigos, pero últimamente no logro disfrutar esos momentos.",2
Me cuesta abrirme con mis amistades como antes y eso me pesa todos los días.,2
Desde que me mudé siento que mantener mis amistades me supera emocionalmente.,2
Últimamente termino agotado después de cualquier conversación con amigos.,2
"No sé por qué, pero llevo mucho tiempo sintiéndome solo incluso teniendo amigos.",2
Cada vez que intento retomar contacto con mis amigos me siento bloqueado.,2
Me está costando mucho sostener mis amistades y eso ya afecta mi día a día.,2
"Mis amigos creen que estoy ocupado, pero en realidad llevo meses sin energía para convivir.",2
"Antes disfrutaba los fines de semana con ellos, ahora casi siempre los evito.",2
Las amistades que más quería se sienten cada vez más lejanas y eso me desgasta.,2
Desde hace semanas me cuesta muchísimo contestar mensajes de mis amigos.,2
Me siento emocionalmente cansado de intentar que las amistades funcionen.,2
Cada salida con mis amigos requiere un esfuerzo enorme de mi parte.,2
Llevo meses sintiéndome desconectado hasta de mis amigos más cercanos.,2
Últimamente prefiero apagar el celular para no enfrentar conversaciones con mis amigos.,2
Me pesa sentir que ya no soy el mismo con mis amistades.,2
Cada reunión termina dejándome con más cansancio que alegría.,2
Me cuesta mantener vivas mis amistades porque llevo mucho tiempo sin ánimo.,2
Los problemas con un amigo cercano me dejaron emocionalmente agotado desde hace meses.,2
Hace tiempo que ya no busco a mis amigos porque siento que no tengo fuerzas para socializar.,2
Me preocupa que mi aislamiento esté dañando amistades importantes.,2
"Antes podía pasar horas hablando con mis amigos, ahora apenas respondo unas palabras.",2
Últimamente siento que mis amistades avanzan y yo me quedé emocionalmente estancado.,2
Me cuesta concentrarme en el trabajo porque sigo dándole vueltas a los conflictos con mis amigos.,2
Llevo meses sintiendo una distancia enorme con mi círculo de amigos.,2
"Cada vez que cancelo un plan con mis amigos me siento peor, pero sigo sin poder asistir.",2
"Mis amigos siguen ahí, pero mantener la relación se ha vuelto muy difícil para mí.",2
Hace semanas que ya no encuentro ganas de convivir con nadie de mi grupo.,2
"Extraño sentirme cercano a mis amigos, pero desde hace mucho tiempo todo se volvió emocionalmente muy pesado.",2
"Llevo meses silenciando el grupo de WhatsApp, leerlos armar planes sin mí me genera un nudo en la garganta que no me deja ni comer",2
Me aislé tanto de mis amigas por miedo a que me lastimen de nuevo que ahora paso los fines de semana enteros llorando en la cama,2
"Siento un vacío enorme, estoy rodeado de gente en la facultad pero hace meses que me siento completamente invisible para mis amigos",2
"Desde que me mudé de provincia perdí el contacto con todos, la soledad me está carcomiendo la cabeza y ya ni duermo bien",2
"Hace semanas que clavo el visto a todo el mundo, la depresión me dejó sin energía para mantener una simple conversación por chat",2
Me enteré que mi mejor amiga habló pestes de mí a mis espaldas y el dolor en el pecho me tiene con taquicardia hace tres días,2
"Siento que soy un estorbo para mi grupo, dejé de ir a las juntadas porque me convencí de que la pasan mejor si no voy 😔",2
"El agotamiento mental que me da intentar encajar con mis amigos del laburo me está destrozando, llego a casa directamente a llorar",2
"Llevo un mes cancelando cada salida que me proponen, la ansiedad social me paraliza y no puedo salir de mi cuarto",2
Mi mejor amigo me dejó de hablar de la nada hace meses y la incertidumbre de no saber qué hice mal no me deja concentrarme en nada,2
A veces estoy en el medio de una fiesta con mis amigos y me agarra una angustia tan pesada que me tengo que encerrar en el baño a respirar,2
"Hace tiempo que perdí la conexión con los pibes de Discord, entro al canal de voz y me siento un extraño total, me apaga el alma",2
Me duele físicamente ver cómo mis amigas de la secundaria siguieron con sus vidas y yo me quedé estancada y sola,2
"Llevo semanas sintiéndome usado, parece que mis amigos solo me buscan cuando necesitan algo y esa decepción me quitó hasta el apetito",2
Corté relación con mi grupo tóxico pero ahora la soledad me está pegando tan duro que paso noches enteras sin pegar un ojo,2
"Trato de contarles a mis amigos cómo me siento pero siempre cambian de tema, ese nivel de abandono emocional me tiene destrozado",2
Cada vez que veo sus historias de instagram saliendo sin mí me da un ataque de llanto que me deja con migraña todo el día,2
"Siento que ya no encajo en ningún lado, me alejé de mi círculo de toda la vida y esta tristeza gris me acompaña a cada minuto",2
"Hace meses que no tengo ganas de interactuar con nadie, me invitan a tomar algo y la sola idea me genera náuseas y pánico",2
"La traición de mi mejor amigo me dejó secuelas re heavys, no puedo confiar en nadie nuevo y vivo a la defensiva, re paranoico",2
"Pienso en cómo éramos inseparables hace un año y me agarra una opresión en el pecho que me asfixia, no puedo superar que se hayan alejado",2
"Últimamente siento que mantengo mis amistades por pura obligación, fingir que estoy bien cuando los veo me drena la poca energía que tengo",2
"Desde que fui mamá mis amigas desaparecieron por completo, el encierro y la falta de apoyo me tienen sumida en un bajón terrible",2
"Le presté plata a un amigo que desapareció, pero lo que no me deja dormir hace un mes no es la deuda, es la decepción que me rompió el corazón",2
"Llevo semanas sintiendo que soy el amigo de sobra, el que camina atrás en la vereda cuando no hay espacio, y me duele en el alma",2
"Me da fobia abrir el celular y ver que nadie me escribió en toda la semana, la confirmación de que estoy solo me pega re mal",2
Siento un agotamiento tan extremo de remar relaciones unilaterales que ayer decidí borrar las redes sociales y aislarme del todo,2
"Mis amigos se burlaron de mis problemas la última vez que nos vimos, desde ese día vivo con una angustia que me tiene el estómago cerrado",2
"Hace meses que soy incapaz de sostener una amistad nueva, el miedo constante al abandono me hace sabotear todo antes de empezar",2
"El distanciamiento con mi mejor amiga me pegó como un duelo, ando como un zombie por la casa y lloro por cualquier cosa",2
"Veo que todos en la uni armaron sus grupitos y yo sigo comiendo solo en el recreo, la marginación me está costando las ganas de estudiar",2
"Llevo semanas poniendo excusas de que estoy enfermo para no ir al club, la verdad es que no soporto la hipocresía de mis supuestos amigos",2
"Me cansé de ser siempre yo el que organiza, dejé de mandar mensajes hace dos meses y nadie me buscó, es un vacío que no puedo procesar",2
"Siento que mis amigos avanzaron y maduraron, y yo soy el único fracasado del grupo, esa culpa me tortura cada vez que los veo",2
"Hace meses que las charlas con mis amigos me parecen vacías, no me siento comprendido y vuelvo a casa más triste de lo que salí",2
"La exclusión del grupo de las mamás del colegio me está afectando un montón, vivo tensa y me da pánico tener que ir a buscar a mi hijo",2
"Ayer tuve un ataque de pánico antes de ir al cumpleaños de un amigo, la ansiedad social me ganó y me quedé llorando en el sillón",2
"Llevo un mes sin hablarle a nadie, me siento tan roto por dentro que no quiero contagiarle mi mala onda a los pocos amigos que me quedan",2
"Me duele ver cómo mis amigos de la infancia se juntan sin mí, siento que me descartaron como basura y no puedo salir de este pozo",2
"Siento que perdí la capacidad de conectar con la gente, salgo con mi grupo y los escucho hablar como si estuviera atrás de un vidrio",2
"Hace semanas que vivo con taquicardia por miedo a cruzarme a mis ex amigos en el barrio, salir a comprar el pan es un calvario",2
"La soledad se me hizo crónica, tengo mil contactos en el celular pero si me pasa algo grave siento que no puedo llamar a ninguno",2
"Siento un rencor y una tristeza enorme porque cuando yo estuve mal ninguno de mis amigos apareció, me dejaron hundirme solo",2
"Llevo meses evitando los lugares donde nos juntábamos siempre, los recuerdos me detonan una melancolía que me tira a la cama días enteros",2
"Me cuesta horrores salir de mi casa, mis amigos se enojan porque los cuelgo pero no entienden la fatiga mental que me pesa en el cuerpo",2
"Siento que mi amistad con él se volvió re tóxica y dependiente, pero me da tanto pánico quedarme solo que aguanto sus maltratos",2
"Hace un mes que las videollamadas con mis amigos del exterior me dejan llorando mares, la distancia me está destruyendo la salud mental",2
Puse una excusa para no ser el padrino de boda de mi amigo porque el estrés que me genera fingir felicidad me estaba causando migrañas,2
"Siento que me convertí en el amigo aburrido y depresivo, veo cómo me hacen a un lado lentamente y la impotencia me desgarra",2
"Terminé la facultad y perdí a todos mis compañeros, ahora paso los fines de semana enteros sin hablar con un solo ser humano, es asfixiante",2
