"text",label
"Desde que vendí mi guitarra para pagar deudas, siento que ya no quiero seguir.",3
"Mi maestro de música me dijo que no tenía talento y ahora solo quiero desaparecer.",3
"El tinnitus no me deja dormir y ya no le veo sentido a seguir viviendo.",3
"Perdí el oído derecho y con él mis ganas de estar aquí.",3
"Cada vez que afino un piano me dan ganas de no despertar.",3
"Soy luthier y ya no puedo reparar ni mi propia vida, mejor desaparezco.",3
"La musicoterapia ya no me ayuda, solo quiero que todo termine.",3
"Mi coro me reemplazó y siento que todos estarían mejor sin mí.",3
"Compré equipo musical con dinero prestado y ahora no veo salida.",3
"El estudio se quedó sin clientes y siento que soy una carga, ya no quiero seguir.",3
"Cada canción que produzco me recuerda lo vacío que estoy, ojalá no despertara.",3
"Soy rapero y mis letras ya no dicen nada, solo quiero desaparecer.",3
"La disquera me rechazó otra vez y ya no merezco seguir viviendo.",3
"Toco mariachi para fiestas y ver a las familias felices me destruye, ya no quiero estar.",3
"Mi acordeón se rompió y no tengo para arreglarlo, mejor desaparezco.",3
"La música de mi tierra me hace llorar y ya no quiero seguir.",3
"Soy ingeniero de sonido y el silencio me está matando, ya no quiero vivir.",3
"Perdí el gusto por los conciertos, solo quiero que todo acabe.",3
"Cada vinilo que limpio me recuerda lo solo que estoy, ojalá no despertara.",3
"Mi banda de cumbia se separó y siento que mi vida perdió sentido.",3
"Soy profesor de música y ya no soporto fingir que estoy bien, prefiero desaparecer.",3
"La flauta era mi voz y ahora no puedo ni soplarla, ya no quiero estar aquí.",3
"Mi audífono se dañó y ya no puedo escuchar música, mejor desaparezco.",3
"Cada ensayo me da un ataque de ansiedad, ya no veo ninguna salida.",3
"Soy bajista y mis manos ya no responden, ya no quiero seguir viviendo.",3
"La radio de mi pueblo cerró y con ella mis ganas de seguir.",3
"Compro instrumentos para llenar el vacío, pero ya no quiero estar aquí.",3
"Mi hijo quería ser músico y murió, ya no le veo sentido a nada.",3
"El escenario me da pánico y ya no quiero estar en este mundo.",3
"Cada nota desafinada me convence de que no merezco vivir.",3
"Soy compositor de jingles y odio lo que hago, ya no quiero despertar.",3
"La música sacra ya no me consuela, solo quiero desaparecer.",3
"Perdí mi voz en un concierto y ahora no quiero seguir.",3
"Mi guitarra tiene más historias que yo, ya no quiero estar aquí.",3
"El productor me estafó y ahora no veo salida, mejor desaparezco.",3
"Soy DJ de bodas y ya no soporto la felicidad ajena, ya no quiero vivir.",3
"Cada mezcla que hago me aleja más de las ganas de seguir.",3
"Mi banda me dejó por mi depresión, ya no quiero estar aquí.",3
"La ópera me rechazó y siento que todos estarían mejor sin mí.",3
"Soy técnico de sonido y el ruido ya no me deja pensar, solo quiero desaparecer.",3
"Mi canción más triste la escribí pensando en no despertar.",3
"El festival me canceló y con eso mis ganas de vivir.",3
"Soy cantautor y ya no encuentro razones para seguir cantando ni viviendo.",3
"La música me acompañaba y ahora solo me recuerda que quiero desaparecer.",3
"Perdí el contrato por mi ansiedad, ya no le veo sentido a seguir.",3
"Mi vecino me denunció por ensayar y ya no quiero estar aquí.",3
"Soy percusionista y ya no tengo ritmo para seguir viviendo.",3
"La banda sonora de mi vida se volvió un réquiem, ya no quiero seguir.",3
"Cada vez que subo una canción y nadie la escucha, pienso en no despertar.",3
"Mi pasión por la música se apagó y con ella mis ganas de estar aquí.",3
