text,label,topic,label_name
me anote a un curso de rust para aprender algo nuevo,0,programming,label0
"Listo el setup para la noche de vicio, compramos gaseosas y papitas con los pibes",0,gaming,label0
Estoy emocionalmente agotado de perseguir bugs que nunca terminan.,2,programming,label2
Tuve que hacer tres reclamos distintos para que me devuelvan la plata de un producto que nunca me enviaron,1,shopping,label1
"Llevo meses entrenando con un nudo en la garganta y ya no siento placer al correr, solo una fatiga que me aplasta el cuerpo",2,sports,label2
"La receta no quedó como esperaba, pero ya sé qué corregir.",1,cooking,label1
"Ayer me equivoqué en tres mesas seguidas por el embotamiento mental que tengo, el encargado me gritó y no pude parar de llorar en todo el viaje a casa",2,restaurants,label2
"Extraño las cenas risueñas con ella, ahora comer solo me da ganas de ir a buscarla al otro mundo",3,cooking,label3
Compré una sartén de teflón antiadherente nueva y los huevos fritos salen impecables,0,cooking,label0
"Hace meses que no salgo de mi casa ni un fin de semana por no dejar solo a mi perro discapacitado, el encierro me está apagando",2,pets,label2
Cada día en clases me convenzo más de que sería mejor desaparecer.,3,school,label3
"Me siento un cajero automático para mi familia, el día que les digo que no tengo plata me dejan de hablar y eso me duele en el alma",2,family,label2
Le descubrí un bultito extraño en el lomo a mi perro y ya saqué turno con el especialista para descartar cualquier cosa,1,pets,label1
Hace un mes que evito a mi tutor de tesis porque me da terror decirle que no pude avanzar nada por este desánimo crónico,2,university,label2
Siempre pido la sopa del día cuando voy ahí.,0,restaurants,label0
Ya no recuerdo cuándo fue la última vez que disfruté un hobby sin sentirme agotado.,2,hobbies,label2
Cada reunión termina dejándome con más cansancio que alegría.,2,friends,label2
Puse a cargar la tarjeta de viaje con el celular para no hacer la cola en la boletería,0,transportation,label0
El carrito se vació solo y tuve que agregar todo otra vez.,1,shopping,label1
Después de otro turno de doce horas solo pienso que todo estaría mejor si yo no estuviera.,3,work,label3
"Siento que perdí mi identidad, antes era el cinéfilo del grupo y ahora ver una película me parece una tarea titánica e inútil",2,movies,label2
la app de la tienda no me dejaba pagar con tarjeta,0,shopping,label0
Cada ensayo termina dejándome más cansado emocionalmente.,2,music,label2
"Llevo semanas viviendo entre vuelos y hoteles, siento que eso me está consumiendo.",2,travel,label2
Tuve que instalar Linux en dual boot porque compilar el kernel desde WSL me andaba a los tirones,0,programming,label0
"El producto aparece disponible, pero no me deja comprarlo.",1,shopping,label1
El streamer que sigo en Twitch regaló varias skins exclusivas durante la transmisión en vivo,0,gaming,label0
Ando con un nudo en la garganta de los puros nervios por el torneo de taekwondo de este fin de semana,1,sports,label1
Me dejó re caliente que me cobren un plato vegetariano al mismo precio que un lomo al champiñón,1,restaurants,label1
"Cada servicio me acerca más al final, ya no quiero seguir viviendo.",3,restaurants,label3
El repartidor de la app se fue para el lado contrario con la moto y la comida ya lleva una hora dando vueltas,1,restaurants,label1
Ahora tengo que hacer la devolución del producto.,1,shopping,label1
Fijate si en la despensa queda algún paquete de fideos que esta noche cocino yo,0,family,label0
Pongo el volumen de la película al máximo para que los diálogos tapen esta voz en mi cabeza que me repite todo lo que hago mal hace meses,2,movies,label2
"El médico me confirmó la rotura de ligamentos, se acabó mi carrera y también mis ganas de seguir viviendo",3,sports,label3
Esperaba más acción en esa película.,1,movies,label1
el restaurante tiene una vista hermosa desde el segundo piso,0,restaurants,label0
Últimamente cualquier examen me deja con la cabeza hecha un caos.,2,university,label2
Me olvidé de sacar la carne picada del freezer anoche y ahora no tengo nada listo para el almuerzo de los chicos,1,cooking,label1
Mi cámara tiene semanas guardada porque simplemente no tengo ganas de salir a fotografiar.,2,hobbies,label2
"Siento que mi cuerpo se está rindiendo de lo mal que como, pero el esfuerzo mental de planear una comida me supera por completo",2,cooking,label2
"Nadie se sienta conmigo en el receso, esa soledad me carcome y ya no le veo sentido a continuar con mi vida",3,school,label3
"Ver esa película independiente sobre el duelo me hizo entender que mi dolor no tiene cura, decidí terminar con todo hoy.",3,movies,label3
Tengo que aprenderme de memoria tres páginas para la lección de historia y me trabo a cada rato,1,school,label1
Fijate de llevar repelente para mosquitos en la mochila que en la selva te comen vivo,0,travel,label0
"La cocina era mi refugio y ahora solo me da ansiedad, prefiero desaparecer.",3,cooking,label3
Había un camión repartidor descargando cajones en plena curva y se armó un embotellamiento bárbaro,0,transportation,label0
"La batidora empezó a tirar olor a quemado justo cuando estaba montando el merengue italiano, qué garrón",1,cooking,label1
No logro descansar porque siempre aparece otra notificación importante.,2,technology,label2
Otra vez se trabó mi computadora en el peor momento.,1,technology,label1
Mi grupo de amigos se disolvió y con ellos mis ganas de seguir.,3,friends,label3
Espero que la próxima semana esté un poco más tranquila en la uni.,1,university,label1
"Me enteré de que se burlaban de mis problemas de depresión en sus espaldas, ya no tengo dignidad ni ganas de vivir.",3,friends,label3
Mi exposición es mañana y todavía me da pena hablar enfrente.,1,school,label1
Me preocupa que siga lloviendo porque tengo que salir más tarde.,1,weather,label1
"observando aves en el parque esta mañana, vi una que no conocia",0,hobbies,label0
Avisame cuando salgas a la vereda que pongo balizas en doble fila para no tapar el garage,0,transportation,label0
Qué difícil es tocar esa parte sin equivocarme.,1,music,label1
Todos los días pierdo horas en el camino y siento que eso me está pasando factura.,2,transportation,label2
"Me cuesta un huevo mantener el promedio para no perder la beca del colegio, ando re tensionado",1,school,label1
Dejé sincronizando los documentos con la cuenta de OneDrive para tenerlos a mano mañana,0,technology,label0
"Soy un padre que no puede mantener a sus hijos, ya no merezco vivir.",3,family,label3
"Siento que vivo adentro de la fábrica últimamente, metí diez horas extras en tres días",1,work,label1
"Dejé la cocina del restaurante hecha un desastre y renuncié, ya no quiero seguir viviendo con esta presión",3,cooking,label3
"Antes disfrutaba el ciclismo, ahora cada salida parece una obligación.",2,sports,label2
armando el plan para recorrer tres ciudades en una semana,0,travel,label0
tengo entrevista para la pasantia en el hospital,0,university,label0
Me satura tener que configurar Nginx a mano cada vez que agregamos un subdominio nuevo al cluster,1,programming,label1
"Estoy cansado, pero todavía tengo que terminar una práctica.",1,university,label1
"Hace un mes que voy a judo sintiéndome una sombra de lo que era, me tiran al piso fácil y ya ni siquiera intento resistir la caída",2,sports,label2
Me dio mucha rabia que me cobren un recargo del quince por ciento por pagar con transferencia en el local,1,restaurants,label1
El profe de termodinámica dijo que el parcial entra hasta el capítulo cinco inclusive,0,university,label0
"Qué bajón que cancelaron la fiesta por pronóstico de tormenta, igual nos juntamos en lo de Tomi",0,friends,label0
Llego a casa sin energía para hacer otra cosa después de clases.,2,school,label2
Me dio un ataque de nervios en el ensayo porque se me olvidó la letra de la estrofa en plena pasada general,1,music,label1
El módem lleva toda la tarde reiniciándose.,1,technology,label1
Las discusiones familiares se volvieron parte de todos los días y ya me pesan demasiado.,2,family,label2
"el vuelo sale temprano mañana, hay que llegar con tiempo",0,travel,label0
pintando la maceta vieja para darle otra vida,0,hobbies,label0
Ya ni escuchando música logro relajarme durante el camino al trabajo.,2,transportation,label2
El grupo volvió a cambiar los planes de último momento.,1,friends,label1
Hoy el autobús llegó mucho más tarde de lo normal.,1,transportation,label1
"Este autor escribe muy bien, pero a veces me pierdo en la historia.",1,books,label1
Últimamente solo pienso en cómo sigue mi mascota y eso ya afecta mi rutina.,2,pets,label2
"El tiempo que pierdo viajando me arruinó el rendimiento en la facultad, llego a cursar con la cabeza tan embotada que no retengo una palabra",2,transportation,label2
Desde hace meses cualquier llamada de soporte me pone demasiado tenso.,2,technology,label2
"Siento una opresión en el pecho terrible cada vez que piso la estación de transferencia, la multitud y los empujones me tienen al borde del llanto",2,transportation,label2
Me da impotencia que mis viejos sigan tratándome como si tuviera doce años y cuestionen cada decisión que tomo,1,family,label1
salio el arcoiris despues de la lluvia de hoy,0,weather,label0
El tiempo perdido en el transporte ya está afectando mi descanso y mi rendimiento diario.,2,transportation,label2
Me da mucha inseguridad participar en el taller literario porque siento que mis interpretaciones son re básicas comparadas con el resto,1,books,label1
Estoy leyendo varias cosas al mismo tiempo y ya me confundí.,1,books,label1
Siento que los profesores no coordinan entre ellos y nos tiran todos los trabajos juntos al final,1,school,label1
"Quería leer un rato hoy, pero ya no me dio tiempo.",1,books,label1
"Siento que mi única utilidad era sacar buenas calificaciones y como ya no puedo, mi vida no vale nada",3,school,label3
"Mis compañeros me hacen sentir que soy un asco, creo que el mundo sería mejor si yo dejara de existir",3,school,label3
el subte se detuvo unos minutos entre estaciones,0,transportation,label0
"Salí de la guardia con las piernas de trapo, no me daban los tiempos ni para sentarme cinco minutos",1,work,label1
"Me siento un estorbo para el equipo, ya no quiero seguir.",3,programming,label3
Últimamente siento que ver películas se volvió otra cosa que hago por costumbre.,2,movies,label2
"Antes me encantaba ir al cine los findes, hace meses que cancelo todos los planes porque no tengo energía ni para fingir que disfruto la peli",2,movies,label2
No logro recuperar el interés por cocinar y eso ya afecta mi alimentación diaria.,2,cooking,label2
Cada vez me cuesta más equilibrar mi vida con todas las obligaciones familiares.,2,family,label2
"Sentarme en un restaurante lleno de ruido me sobreestimula al punto del colapso, ayer tuve que salir corriendo dejando la comida entera",2,restaurants,label2
llevamos al perro nuevo a que conozca el barrio,0,pets,label0
El cliente me cambió los requerimientos por tercera vez y tuve que tirar horas de diseño a la basura,1,work,label1
"Cancelé mi suscripción a la revista literaria, total ya no voy a estar vivo para el próximo mes",3,books,label3
Me preocupa tanto mi perrita que hasta me cuesta disfrutar mis días libres.,2,pets,label2
Por suerte el profe de algoritmos nos dejó usar internet para consultar la documentación oficial,0,university,label0
Llevo semanas sintiendo que la tecnología me consumió la vida personal y que no tengo fuerzas para desconectar este ciclo destructivo,2,technology,label2
Me siento completamente drenado después de atender clientes todo el día.,2,restaurants,label2
"Llevo un mes sin ver el sol y esta oscuridad constante me tiene atrapada en la cama, no tengo energía ni para ir a cursar",2,weather,label2
comprando entradas anticipadas para el museo,0,travel,label0
El camino estaba cerrado por mantenimiento.,1,transportation,label1
"Cada día de lluvia me hunde más, ojalá pudiera desaparecer.",3,weather,label3
"Siento que estoy defraudando a todos los que confiaron en mí para este desarrollo, la culpa no me deja vivir en paz",2,programming,label2
Subí una nueva versión del paquete a PyPI con soporte oficial para Python 3.12,0,programming,label0
Era la única compañía que tenía y ahora no encuentro razones para continuar.,3,pets,label3
"Mi rendimiento como bachero está por el piso, la fatiga mental es tan fuerte que paso horas mirando la pared sin poder reaccionar",2,restaurants,label2
Estoy comiendo re mal hace semanas porque el nudo en la garganta por los problemas del taller no me deja tragar nada,2,work,label2
"Tenías que flanquear por la izquierda boludo, nos regalamos los dos en el pasillo estrecho",0,gaming,label0
Cada visita al veterinario me deja emocionalmente agotado y ya es algo constante.,2,pets,label2
El micrófono de la notebook mete un zumbido re molesto en las llamadas y mis compañeros se quejan,1,technology,label1
"Tengo los gemelos que me laten del dolor después de correr los 15k, apenas puedo pisar",1,sports,label1
"Terminé la jornada con la cabeza quemadísima de tanto código, mañana sigo pero hoy no quiero ver otra terminal",1,programming,label1
Quién dejó la hornalla de atrás encendida al mínimo con la olla de sopa vacía?? Ojo con eso,0,cooking,label0
"El clima cambiante me tiene desconcertado, ya no le veo sentido a nada.",3,weather,label3
"El servicio fue amable, aunque un poco lento.",1,restaurants,label1
"El tornado pasó por mi pueblo y por mi vida, ya no quiero seguir.",3,weather,label3
El paquete lleva cuatro días demorado en el centro de distribución y nadie me da una respuesta clara,1,shopping,label1
"Uso las películas para disociar, me quedo mirando fijo la pantalla por horas sin procesar nada de la historia, solo existiendo con mucha angustia",2,movies,label2
Qué fastidio lidiar con los taxistas que te quieren cobrar el triple en la terminal por ser turista,1,travel,label1
