text,label
"Ya no aguanto las deudas de tanto comprar, siento que ya no quiero seguir viviendo así.",3
"Cada vez que reviso mi cuenta bancaria pienso que sería mejor no despertar más.",3
"Gasté todo lo que tenía en cosas que no necesitaba y ahora siento que no merezco seguir aquí.",3
"No puedo pagar la renta ni la comida porque me la pasé comprando, ojalá pudiera desaparecer.",3
"Mi familia estaría mejor sin mí, les arruiné la vida con mis compras compulsivas.",3
"Pensé que comprar me haría feliz y ahora solo quiero que todo termine.",3
"Las facturas no dejan de llegar y ya no encuentro ninguna razón para seguir.",3
"Perdí todos mis ahorros en ofertas tontas, ya no tiene sentido continuar.",3
"Me da pánico ver el saldo de la tarjeta, siento que ya no hay salida para mí.",3
"Estoy tan hundido en deudas por comprar que ya no quiero estar aquí.",3
"No le puedo dar ni lo básico a mis hijos por gastar en puras tonterías, quisiera no existir.",3
"Cada noche pienso en lo mucho que compré y en lo poco que valgo, ya no quiero seguir.",3
"Me la paso comprando para llenar el vacío y ahora solo quiero desaparecer.",3
"Debo tanto dinero de mis compras que siento que todos estarían mejor sin mí.",3
"Ya no puedo dormir pensando en lo que gasté, ojalá no despertara mañana.",3
"Arruiné mi crédito y mi vida por comprar sin control, ya no veo salida.",3
"Mis deudas de compras me tienen tan agotada que ya no quiero vivir.",3
"Compré cosas que ni usé y ahora siento que no merezco seguir adelante.",3
"El banco me está cobrando todo y ya no tengo fuerzas para seguir luchando.",3
"Siento que soy una carga para todos por mis gastos, mejor desaparezco.",3
"No puedo concentrarme en nada, solo pienso en las compras y en que ya no quiero estar.",3
"Me da vergüenza lo que gasté, ya no quiero enfrentar otro día.",3
"Mis tarjetas están al tope y ya no le veo sentido a seguir viviendo.",3
"Todo lo que compré no me trajo felicidad, solo ganas de no seguir.",3
"Estoy resignado, las deudas por compras me ganaron, ya no quiero estar aquí.",3
"Cada vez que veo las bolsas de cosas que compré me dan ganas de desaparecer.",3
"Perdí el trabajo por estar comprando en línea y ahora siento que no hay salida.",3
"Le fallé a mi familia por gastar en puras compras, ojalá no despertara.",3
"Ya no quiero revisar los estados de cuenta, prefiero no estar más.",3
"Compro y compro para sentir algo, pero ya solo quiero que todo acabe.",3
"Las deudas me están ahogando y siento que estarían mejor sin mí.",3
"No tengo ni para comer porque todo lo gasté en compras, ya no quiero seguir.",3
"Me siento tan culpable por lo que gasté que ya no merezco estar aquí.",3
"Estoy en un pozo por mis compras compulsivas, ya no veo ninguna salida.",3
"Ya no le encuentro sentido a nada, ni a comprar ni a vivir.",3
"Mis hijos necesitan cosas y yo gasté en tonterías, mejor desaparezco.",3
"Cada día es peor con las deudas, ojalá pudiera no despertar.",3
"Siento que fracasé como persona por gastar así, ya no quiero continuar.",3
"Las compras me destruyeron, ya no quiero estar en este mundo.",3
"Me la paso evitando llamadas de cobranza, ya no quiero vivir con esto.",3
"Gasté la herencia de mi mamá en compras y ahora solo quiero desaparecer.",3
"No puedo con esta ansiedad de deber tanto por comprar, ya no quiero seguir.",3
"Soy un desastre con el dinero y siento que estarían mejor sin mí.",3
"Compré para tapar mi tristeza y ahora la tristeza me quiere matar.",3
"Ya no tengo ahorros ni esperanza, las compras me quitaron todo, no quiero seguir.",3
"Me da tanta vergüenza lo que hice con el dinero que ya no quiero estar aquí.",3
"Las deudas de mis compras no me dejan dormir, ojalá no despertara.",3
"Estoy tan cansada de esta situación financiera que ya no le veo fin.",3
"Perdí todo por comprar sin pensar, ya no merezco seguir viviendo.",3
"Siento que mi vida no tiene arreglo después de tanto gastar, ya no quiero estar.",3
