text,label
"Hoy ando bien cansado después del trabajo.",1
"No me fue tan bien en el examen y me siento algo frustrado.",1
"Llevo varios días durmiendo mal.",1
"Tengo demasiadas cosas pendientes esta semana.",1
"Últimamente me cuesta concentrarme.",1
"Ando algo estresado con las entregas del trabajo.",1
"No sé, hoy me siento un poco desanimado sin razón clara.",1
"Discutí con mi pareja y quedé algo sensible.",1
"Ando corto de dinero este mes y eso me tiene nervioso.",1
"Siento que traigo la cabeza saturada de tanto pendiente.",1
"Hoy me costó horrible salir de la cama.",1
"Ando un poco irritable, creo que es por el cansancio.",1
"Tengo mucho trabajo acumulado y no sé por dónde empezar.",1
"Me siento algo solo desde que mis amigos se mudaron.",1
"Ando preocupado por los gastos del mes.",1
"Últimamente ceno tarde y duermo fatal.",1
"Hoy tuve un cruce feo con mi jefe, quedé molesto.",1
"Siento que ya no rindo igual en la escuela.",1
"Ando algo bajoneado, ha sido una semana pesada.",1
"Me cuesta desconectarme del trabajo aunque ya sea de noche.",1
"Hoy amanecí sin ánimos de hacer nada.",1
"Ando nervioso por la presentación de mañana.",1
"Siento que cargo con demasiadas responsabilidades ahorita.",1
"Últimamente me siento cansado aunque duerma bastante.",1
"Ando algo triste, extraño mi ciudad.",1
"Me siento agobiada con la tesis, no avanzo como quisiera.",1
"Hoy discutí con mi hermano y quedé de mal humor.",1
"Ando estresado, tengo tres exámenes la misma semana.",1
"Siento que necesito unos días libres ya.",1
"Me cuesta concentrarme en clase últimamente.",1
"Ando preocupado, no encuentro trabajo desde hace semanas.",1
"Hoy me sentí un poco fuera de lugar en la reunión.",1
"Últimamente ando algo ansioso antes de dormir.",1
"Siento que todo me cae encima esta semana.",1
"Ando cansado mentalmente, ha sido mucho trabajo seguido.",1
"Hoy tuve un mal día, nada salió como esperaba.",1
"Me siento algo desmotivado con la carrera.",1
"Ando con insomnio desde hace varios días.",1
"Siento que me falta energía para todo.",1
"Hoy me sentí un poco ignorado en la junta.",1
"Ando preocupado por la salud de mi abuela.",1
"Últimamente me siento un poco vacío, no sé explicarlo bien.",1
"Ando frustrado porque no avanzo en el proyecto.",1
"Siento que la semana no ha tenido ni un respiro.",1
"Hoy me costó concentrarme en el trabajo, ando disperso.",1
"Ando algo nervioso por los resultados médicos.",1
"Me siento cansada de tantas juntas seguidas.",1
"Últimamente ando de bajón, no sé bien por qué.",1
